pos,generation,rank,score,id
"[(116.0, 69.0), (273.0, 105.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (213.0, 639.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (45.0, 549.0), (220.0, 307.0), (2.0, 897.0), (278.0, 434.0), (189.0, 739.0), (330.0, 410.0), (444.0, 428.0), (493.0, 970.0), (494.0, 898.0), (528.0, 794.0), (276.0, 666.0), (761.0, 772.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (774.0, 130.0), (897.0, 324.0), (951.0, 209.0), (684.0, 273.0), (708.0, 99.0), (730.0, 742.0), (938.0, 646.0), (602.0, 68.0), (573.0, 903.0), (901.0, 639.0), (643.0, 404.0), (436.0, 619.0), (837.0, 787.0), (875.0, 407.0), (501.0, 287.0), (724.0, 631.0), (908.0, 534.0), (862.0, 361.0), (508.0, 31.0), (549.0, 329.0), (929.0, 389.0), (628.0, 311.0), (437.0, 601.0), (964.0, 726.0), (796.0, 310.0), (758.0, 405.0)]",124,1,16805.22717299195,7470
"[(98.0, 711.0), (45.0, 549.0), (220.0, 307.0), (549.0, 329.0), (862.0, 361.0), (758.0, 405.0), (724.0, 631.0), (684.0, 273.0), (875.0, 407.0), (774.0, 130.0), (708.0, 99.0), (929.0, 389.0), (897.0, 324.0), (901.0, 639.0), (938.0, 646.0), (330.0, 410.0), (444.0, 428.0), (278.0, 434.0), (189.0, 739.0), (493.0, 970.0), (704.0, 995.0), (116.0, 69.0), (273.0, 105.0), (628.0, 311.0), (951.0, 209.0), (761.0, 772.0), (528.0, 794.0), (898.0, 898.0), (2.0, 897.0), (101.0, 482.0), (213.0, 639.0), (436.0, 619.0), (908.0, 534.0), (921.0, 964.0), (437.0, 601.0), (602.0, 68.0), (508.0, 31.0), (3.0, 517.0), (328.0, 489.0), (501.0, 287.0), (643.0, 404.0), (796.0, 310.0), (730.0, 742.0), (345.0, 560.0), (276.0, 666.0), (837.0, 787.0), (964.0, 726.0), (573.0, 903.0), (494.0, 898.0), (371.0, 429.0)]",117,2,17139.775249441685,7019
"[(708.0, 99.0), (508.0, 31.0), (501.0, 287.0), (116.0, 69.0), (273.0, 105.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (213.0, 639.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (45.0, 549.0), (220.0, 307.0), (2.0, 897.0), (278.0, 434.0), (724.0, 631.0), (549.0, 329.0), (602.0, 68.0), (494.0, 898.0), (189.0, 739.0), (704.0, 995.0), (643.0, 404.0), (908.0, 534.0), (758.0, 405.0), (921.0, 964.0), (898.0, 898.0), (437.0, 601.0), (964.0, 726.0), (938.0, 646.0), (684.0, 273.0), (901.0, 639.0), (837.0, 787.0), (862.0, 361.0), (444.0, 428.0), (276.0, 666.0), (330.0, 410.0), (628.0, 311.0), (761.0, 772.0), (897.0, 324.0), (730.0, 742.0), (929.0, 389.0), (875.0, 407.0), (774.0, 130.0), (951.0, 209.0), (796.0, 310.0), (436.0, 619.0), (493.0, 970.0), (528.0, 794.0), (573.0, 903.0)]",128,3,17141.300945932,7674
"[(493.0, 970.0), (494.0, 898.0), (528.0, 794.0), (276.0, 666.0), (761.0, 772.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (774.0, 130.0), (897.0, 324.0), (951.0, 209.0), (684.0, 273.0), (3.0, 517.0), (98.0, 711.0), (45.0, 549.0), (220.0, 307.0), (730.0, 742.0), (908.0, 534.0), (964.0, 726.0), (901.0, 639.0), (444.0, 428.0), (837.0, 787.0), (189.0, 739.0), (2.0, 897.0), (345.0, 560.0), (101.0, 482.0), (508.0, 31.0), (929.0, 389.0), (862.0, 361.0), (938.0, 646.0), (573.0, 903.0), (436.0, 619.0), (501.0, 287.0), (371.0, 429.0), (437.0, 601.0), (549.0, 329.0), (758.0, 405.0), (724.0, 631.0), (628.0, 311.0), (796.0, 310.0), (116.0, 69.0), (330.0, 410.0), (875.0, 407.0), (602.0, 68.0), (273.0, 105.0), (278.0, 434.0), (328.0, 489.0), (213.0, 639.0), (708.0, 99.0), (643.0, 404.0)]",158,4,17182.382138417226,9480
"[(643.0, 404.0), (708.0, 99.0), (508.0, 31.0), (501.0, 287.0), (116.0, 69.0), (273.0, 105.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (213.0, 639.0), (101.0, 482.0), (3.0, 517.0), (330.0, 410.0), (444.0, 428.0), (493.0, 970.0), (494.0, 898.0), (528.0, 794.0), (276.0, 666.0), (761.0, 772.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (774.0, 130.0), (897.0, 324.0), (938.0, 646.0), (189.0, 739.0), (98.0, 711.0), (602.0, 68.0), (758.0, 405.0), (908.0, 534.0), (901.0, 639.0), (724.0, 631.0), (2.0, 897.0), (278.0, 434.0), (628.0, 311.0), (436.0, 619.0), (951.0, 209.0), (875.0, 407.0), (437.0, 601.0), (837.0, 787.0), (573.0, 903.0), (730.0, 742.0), (862.0, 361.0), (549.0, 329.0), (684.0, 273.0), (964.0, 726.0), (929.0, 389.0), (220.0, 307.0), (45.0, 549.0), (796.0, 310.0)]",126,5,17290.155784714145,7589
"[(774.0, 130.0), (708.0, 99.0), (929.0, 389.0), (897.0, 324.0), (901.0, 639.0), (938.0, 646.0), (330.0, 410.0), (444.0, 428.0), (278.0, 434.0), (189.0, 739.0), (493.0, 970.0), (704.0, 995.0), (508.0, 31.0), (501.0, 287.0), (116.0, 69.0), (273.0, 105.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (213.0, 639.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (45.0, 549.0), (2.0, 897.0), (951.0, 209.0), (437.0, 601.0), (602.0, 68.0), (276.0, 666.0), (549.0, 329.0), (796.0, 310.0), (643.0, 404.0), (862.0, 361.0), (875.0, 407.0), (628.0, 311.0), (436.0, 619.0), (724.0, 631.0), (220.0, 307.0), (761.0, 772.0), (921.0, 964.0), (684.0, 273.0), (964.0, 726.0), (837.0, 787.0), (573.0, 903.0), (730.0, 742.0), (528.0, 794.0), (494.0, 898.0), (898.0, 898.0), (758.0, 405.0), (908.0, 534.0)]",174,6,17343.63036952584,10436
"[(220.0, 307.0), (2.0, 897.0), (278.0, 434.0), (189.0, 739.0), (330.0, 410.0), (444.0, 428.0), (493.0, 970.0), (494.0, 898.0), (528.0, 794.0), (276.0, 666.0), (761.0, 772.0), (704.0, 995.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (213.0, 639.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (45.0, 549.0), (898.0, 898.0), (730.0, 742.0), (921.0, 964.0), (643.0, 404.0), (549.0, 329.0), (901.0, 639.0), (951.0, 209.0), (708.0, 99.0), (964.0, 726.0), (724.0, 631.0), (875.0, 407.0), (837.0, 787.0), (908.0, 534.0), (929.0, 389.0), (684.0, 273.0), (436.0, 619.0), (628.0, 311.0), (758.0, 405.0), (774.0, 130.0), (508.0, 31.0), (116.0, 69.0), (273.0, 105.0), (796.0, 310.0), (573.0, 903.0), (897.0, 324.0), (437.0, 601.0), (501.0, 287.0), (602.0, 68.0), (862.0, 361.0), (938.0, 646.0)]",194,7,17485.728390338652,11621
"[(493.0, 970.0), (704.0, 995.0), (116.0, 69.0), (273.0, 105.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (2.0, 897.0), (213.0, 639.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (938.0, 646.0), (929.0, 389.0), (602.0, 68.0), (684.0, 273.0), (875.0, 407.0), (774.0, 130.0), (708.0, 99.0), (897.0, 324.0), (901.0, 639.0), (330.0, 410.0), (444.0, 428.0), (278.0, 434.0), (220.0, 307.0), (528.0, 794.0), (494.0, 898.0), (724.0, 631.0), (549.0, 329.0), (951.0, 209.0), (796.0, 310.0), (761.0, 772.0), (501.0, 287.0), (628.0, 311.0), (45.0, 549.0), (276.0, 666.0), (643.0, 404.0), (508.0, 31.0), (837.0, 787.0), (921.0, 964.0), (898.0, 898.0), (758.0, 405.0), (908.0, 534.0), (964.0, 726.0), (730.0, 742.0), (437.0, 601.0), (862.0, 361.0), (436.0, 619.0), (573.0, 903.0), (189.0, 739.0)]",165,8,17557.471704329044,9919
"[(273.0, 105.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (213.0, 639.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (45.0, 549.0), (220.0, 307.0), (2.0, 897.0), (278.0, 434.0), (330.0, 410.0), (501.0, 287.0), (549.0, 329.0), (708.0, 99.0), (189.0, 739.0), (573.0, 903.0), (761.0, 772.0), (921.0, 964.0), (837.0, 787.0), (938.0, 646.0), (444.0, 428.0), (684.0, 273.0), (774.0, 130.0), (897.0, 324.0), (116.0, 69.0), (437.0, 601.0), (862.0, 361.0), (929.0, 389.0), (964.0, 726.0), (901.0, 639.0), (730.0, 742.0), (508.0, 31.0), (875.0, 407.0), (908.0, 534.0), (724.0, 631.0), (951.0, 209.0), (898.0, 898.0), (758.0, 405.0), (628.0, 311.0), (704.0, 995.0), (528.0, 794.0), (493.0, 970.0), (276.0, 666.0), (494.0, 898.0), (602.0, 68.0), (436.0, 619.0), (643.0, 404.0), (796.0, 310.0)]",142,9,17572.493221881457,8521
"[(938.0, 646.0), (330.0, 410.0), (444.0, 428.0), (278.0, 434.0), (189.0, 739.0), (493.0, 970.0), (704.0, 995.0), (508.0, 31.0), (501.0, 287.0), (116.0, 69.0), (273.0, 105.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (213.0, 639.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (45.0, 549.0), (220.0, 307.0), (2.0, 897.0), (573.0, 903.0), (494.0, 898.0), (602.0, 68.0), (875.0, 407.0), (758.0, 405.0), (437.0, 601.0), (964.0, 726.0), (898.0, 898.0), (761.0, 772.0), (837.0, 787.0), (862.0, 361.0), (724.0, 631.0), (528.0, 794.0), (730.0, 742.0), (628.0, 311.0), (929.0, 389.0), (774.0, 130.0), (921.0, 964.0), (908.0, 534.0), (684.0, 273.0), (276.0, 666.0), (901.0, 639.0), (436.0, 619.0), (549.0, 329.0), (951.0, 209.0), (796.0, 310.0), (708.0, 99.0), (643.0, 404.0), (897.0, 324.0)]",191,10,17721.501771144198,11450
