pos,generation,rank,score,id
"[(494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (273.0, 105.0), (444.0, 428.0), (371.0, 429.0), (116.0, 69.0), (508.0, 31.0), (501.0, 287.0), (549.0, 329.0), (796.0, 310.0), (862.0, 361.0), (929.0, 389.0), (897.0, 324.0), (908.0, 534.0), (901.0, 639.0), (643.0, 404.0), (708.0, 99.0), (628.0, 311.0), (730.0, 742.0), (875.0, 407.0), (951.0, 209.0), (774.0, 130.0), (684.0, 273.0), (602.0, 68.0), (758.0, 405.0), (437.0, 601.0)]",7950,1,11598.785505037364,437254
"[(437.0, 601.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (116.0, 69.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (371.0, 429.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (897.0, 324.0), (758.0, 405.0), (643.0, 404.0), (796.0, 310.0), (602.0, 68.0), (501.0, 287.0), (628.0, 311.0), (684.0, 273.0), (549.0, 329.0), (875.0, 407.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (901.0, 639.0), (730.0, 742.0), (444.0, 428.0), (273.0, 105.0), (508.0, 31.0)]",11563,2,11642.990346541037,635979
"[(493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (371.0, 429.0), (437.0, 601.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (116.0, 69.0), (444.0, 428.0), (602.0, 68.0), (508.0, 31.0), (774.0, 130.0), (708.0, 99.0), (897.0, 324.0), (796.0, 310.0), (862.0, 361.0), (929.0, 389.0), (908.0, 534.0), (549.0, 329.0), (684.0, 273.0), (628.0, 311.0), (501.0, 287.0), (273.0, 105.0), (643.0, 404.0), (875.0, 407.0), (951.0, 209.0), (758.0, 405.0), (901.0, 639.0), (730.0, 742.0)]",5186,3,11656.388030419237,285272
"[(436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (371.0, 429.0), (437.0, 601.0), (730.0, 742.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (116.0, 69.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (684.0, 273.0), (875.0, 407.0), (444.0, 428.0), (643.0, 404.0), (549.0, 329.0), (708.0, 99.0), (796.0, 310.0), (929.0, 389.0), (862.0, 361.0), (908.0, 534.0), (901.0, 639.0), (951.0, 209.0), (758.0, 405.0), (897.0, 324.0), (628.0, 311.0), (273.0, 105.0), (508.0, 31.0), (602.0, 68.0), (774.0, 130.0), (501.0, 287.0)]",11688,4,11904.833029370784,642834
"[(901.0, 639.0), (730.0, 742.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (116.0, 69.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (371.0, 429.0), (437.0, 601.0), (908.0, 534.0), (684.0, 273.0), (501.0, 287.0), (549.0, 329.0), (708.0, 99.0), (273.0, 105.0), (643.0, 404.0), (628.0, 311.0), (444.0, 428.0), (862.0, 361.0), (774.0, 130.0), (602.0, 68.0), (508.0, 31.0), (796.0, 310.0), (897.0, 324.0), (951.0, 209.0), (875.0, 407.0), (929.0, 389.0), (758.0, 405.0)]",1607,5,11980.05504720243,88385
"[(444.0, 428.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (116.0, 69.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (273.0, 105.0), (501.0, 287.0), (862.0, 361.0), (875.0, 407.0), (929.0, 389.0), (796.0, 310.0), (951.0, 209.0), (758.0, 405.0), (901.0, 639.0), (908.0, 534.0), (897.0, 324.0), (628.0, 311.0), (730.0, 742.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (437.0, 601.0), (643.0, 404.0), (508.0, 31.0), (602.0, 68.0), (549.0, 329.0), (371.0, 429.0), (330.0, 410.0)]",3235,6,11982.49498817501,177964
"[(437.0, 601.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (330.0, 410.0), (278.0, 434.0), (116.0, 69.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (273.0, 105.0), (508.0, 31.0), (501.0, 287.0), (774.0, 130.0), (708.0, 99.0), (897.0, 324.0), (929.0, 389.0), (628.0, 311.0), (602.0, 68.0), (951.0, 209.0), (730.0, 742.0), (901.0, 639.0), (908.0, 534.0), (444.0, 428.0), (549.0, 329.0), (371.0, 429.0), (758.0, 405.0), (862.0, 361.0), (796.0, 310.0), (684.0, 273.0), (643.0, 404.0), (875.0, 407.0)]",9739,7,11987.476296297713,535651
"[(328.0, 489.0), (220.0, 307.0), (273.0, 105.0), (444.0, 428.0), (371.0, 429.0), (437.0, 601.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (116.0, 69.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (901.0, 639.0), (929.0, 389.0), (875.0, 407.0), (643.0, 404.0), (796.0, 310.0), (951.0, 209.0), (862.0, 361.0), (897.0, 324.0), (684.0, 273.0), (501.0, 287.0), (345.0, 560.0), (730.0, 742.0), (549.0, 329.0), (602.0, 68.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (908.0, 534.0), (758.0, 405.0), (628.0, 311.0)]",7040,8,12025.291759045422,387210
"[(2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (116.0, 69.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (371.0, 429.0), (437.0, 601.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (901.0, 639.0), (929.0, 389.0), (730.0, 742.0), (921.0, 964.0), (796.0, 310.0), (628.0, 311.0), (684.0, 273.0), (602.0, 68.0), (549.0, 329.0), (273.0, 105.0), (508.0, 31.0), (501.0, 287.0), (908.0, 534.0), (951.0, 209.0), (708.0, 99.0), (897.0, 324.0), (862.0, 361.0), (875.0, 407.0), (774.0, 130.0), (444.0, 428.0), (758.0, 405.0), (643.0, 404.0)]",10708,9,12087.879644936207,588944
"[(901.0, 639.0), (730.0, 742.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (898.0, 898.0), (837.0, 787.0), (724.0, 631.0), (938.0, 646.0), (964.0, 726.0), (921.0, 964.0), (2.0, 897.0), (45.0, 549.0), (3.0, 517.0), (101.0, 482.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (528.0, 794.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (371.0, 429.0), (437.0, 601.0), (273.0, 105.0), (508.0, 31.0), (116.0, 69.0), (908.0, 534.0), (643.0, 404.0), (897.0, 324.0), (951.0, 209.0), (929.0, 389.0), (684.0, 273.0), (444.0, 428.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (501.0, 287.0), (549.0, 329.0), (862.0, 361.0), (875.0, 407.0), (758.0, 405.0), (628.0, 311.0), (796.0, 310.0)]",10715,10,12134.79960338054,589327
