pos,generation,rank,score
"[(330.0, 410.0), (602.0, 68.0), (508.0, 31.0), (761.0, 772.0), (3.0, 517.0), (45.0, 549.0), (2.0, 897.0), (371.0, 429.0), (98.0, 711.0), (101.0, 482.0), (549.0, 329.0), (774.0, 130.0), (278.0, 434.0), (345.0, 560.0), (213.0, 639.0), (189.0, 739.0), (493.0, 970.0), (573.0, 903.0), (328.0, 489.0), (437.0, 601.0), (116.0, 69.0), (273.0, 105.0), (862.0, 361.0), (929.0, 389.0), (501.0, 287.0), (220.0, 307.0), (758.0, 405.0), (684.0, 273.0), (898.0, 898.0), (436.0, 619.0), (276.0, 666.0), (494.0, 898.0), (901.0, 639.0), (921.0, 964.0), (704.0, 995.0), (730.0, 742.0), (708.0, 99.0), (951.0, 209.0), (444.0, 428.0), (528.0, 794.0), (628.0, 311.0), (938.0, 646.0), (964.0, 726.0), (796.0, 310.0), (875.0, 407.0), (837.0, 787.0), (724.0, 631.0), (643.0, 404.0), (908.0, 534.0), (897.0, 324.0)]",28,1,17897.297206885312
"[(278.0, 434.0), (45.0, 549.0), (98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (796.0, 310.0), (862.0, 361.0), (897.0, 324.0), (436.0, 619.0), (437.0, 601.0), (708.0, 99.0), (273.0, 105.0), (549.0, 329.0), (220.0, 307.0), (101.0, 482.0), (602.0, 68.0), (508.0, 31.0), (951.0, 209.0), (528.0, 794.0), (837.0, 787.0), (901.0, 639.0), (730.0, 742.0), (116.0, 69.0), (761.0, 772.0), (371.0, 429.0), (330.0, 410.0), (328.0, 489.0), (501.0, 287.0), (573.0, 903.0), (898.0, 898.0), (921.0, 964.0), (964.0, 726.0), (628.0, 311.0), (444.0, 428.0), (2.0, 897.0), (643.0, 404.0), (276.0, 666.0), (494.0, 898.0), (875.0, 407.0), (758.0, 405.0), (684.0, 273.0), (724.0, 631.0), (929.0, 389.0), (774.0, 130.0), (908.0, 534.0), (704.0, 995.0), (938.0, 646.0), (493.0, 970.0)]",31,2,18444.44220384132
"[(345.0, 560.0), (796.0, 310.0), (862.0, 361.0), (897.0, 324.0), (436.0, 619.0), (437.0, 601.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (276.0, 666.0), (875.0, 407.0), (929.0, 389.0), (643.0, 404.0), (964.0, 726.0), (951.0, 209.0), (758.0, 405.0), (774.0, 130.0), (116.0, 69.0), (908.0, 534.0), (493.0, 970.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (573.0, 903.0), (724.0, 631.0), (730.0, 742.0), (901.0, 639.0), (220.0, 307.0), (494.0, 898.0), (508.0, 31.0), (602.0, 68.0), (938.0, 646.0), (628.0, 311.0), (273.0, 105.0), (549.0, 329.0), (501.0, 287.0), (213.0, 639.0), (371.0, 429.0), (101.0, 482.0), (330.0, 410.0), (444.0, 428.0), (189.0, 739.0), (45.0, 549.0), (278.0, 434.0), (708.0, 99.0), (684.0, 273.0), (761.0, 772.0), (528.0, 794.0)]",43,3,18863.15133102366
"[(528.0, 794.0), (493.0, 970.0), (730.0, 742.0), (278.0, 434.0), (875.0, 407.0), (897.0, 324.0), (929.0, 389.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (862.0, 361.0), (643.0, 404.0), (964.0, 726.0), (951.0, 209.0), (602.0, 68.0), (494.0, 898.0), (98.0, 711.0), (101.0, 482.0), (273.0, 105.0), (774.0, 130.0), (684.0, 273.0), (908.0, 534.0), (938.0, 646.0), (436.0, 619.0), (213.0, 639.0), (573.0, 903.0), (2.0, 897.0), (45.0, 549.0), (437.0, 601.0), (444.0, 428.0), (761.0, 772.0), (796.0, 310.0), (708.0, 99.0), (501.0, 287.0), (724.0, 631.0), (758.0, 405.0), (189.0, 739.0), (276.0, 666.0), (116.0, 69.0), (628.0, 311.0), (901.0, 639.0), (345.0, 560.0), (220.0, 307.0), (371.0, 429.0), (3.0, 517.0), (508.0, 31.0), (549.0, 329.0), (330.0, 410.0)]",23,4,19205.66220632687
"[(628.0, 311.0), (508.0, 31.0), (602.0, 68.0), (897.0, 324.0), (929.0, 389.0), (328.0, 489.0), (528.0, 794.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (276.0, 666.0), (493.0, 970.0), (45.0, 549.0), (3.0, 517.0), (273.0, 105.0), (278.0, 434.0), (371.0, 429.0), (501.0, 287.0), (796.0, 310.0), (437.0, 601.0), (862.0, 361.0), (938.0, 646.0), (730.0, 742.0), (875.0, 407.0), (761.0, 772.0), (573.0, 903.0), (549.0, 329.0), (436.0, 619.0), (901.0, 639.0), (684.0, 273.0), (724.0, 631.0), (98.0, 711.0), (494.0, 898.0), (444.0, 428.0), (345.0, 560.0), (330.0, 410.0), (213.0, 639.0), (101.0, 482.0), (643.0, 404.0), (951.0, 209.0), (758.0, 405.0), (116.0, 69.0), (708.0, 99.0), (908.0, 534.0), (964.0, 726.0), (2.0, 897.0), (189.0, 739.0), (774.0, 130.0), (220.0, 307.0)]",47,5,19269.291239157137
"[(278.0, 434.0), (45.0, 549.0), (98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (796.0, 310.0), (862.0, 361.0), (897.0, 324.0), (436.0, 619.0), (437.0, 601.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (276.0, 666.0), (2.0, 897.0), (444.0, 428.0), (708.0, 99.0), (273.0, 105.0), (549.0, 329.0), (220.0, 307.0), (494.0, 898.0), (724.0, 631.0), (573.0, 903.0), (528.0, 794.0), (901.0, 639.0), (730.0, 742.0), (602.0, 68.0), (951.0, 209.0), (501.0, 287.0), (330.0, 410.0), (774.0, 130.0), (643.0, 404.0), (493.0, 970.0), (938.0, 646.0), (908.0, 534.0), (964.0, 726.0), (101.0, 482.0), (929.0, 389.0), (628.0, 311.0), (761.0, 772.0), (508.0, 31.0), (875.0, 407.0), (684.0, 273.0), (371.0, 429.0), (116.0, 69.0), (758.0, 405.0)]",26,6,19282.09780334893
"[(98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (328.0, 489.0), (437.0, 601.0), (330.0, 410.0), (494.0, 898.0), (116.0, 69.0), (101.0, 482.0), (273.0, 105.0), (774.0, 130.0), (684.0, 273.0), (908.0, 534.0), (938.0, 646.0), (436.0, 619.0), (2.0, 897.0), (45.0, 549.0), (921.0, 964.0), (602.0, 68.0), (220.0, 307.0), (837.0, 787.0), (761.0, 772.0), (964.0, 726.0), (501.0, 287.0), (704.0, 995.0), (901.0, 639.0), (796.0, 310.0), (951.0, 209.0), (862.0, 361.0), (758.0, 405.0), (929.0, 389.0), (276.0, 666.0), (444.0, 428.0), (643.0, 404.0), (528.0, 794.0), (730.0, 742.0), (724.0, 631.0), (278.0, 434.0), (549.0, 329.0), (628.0, 311.0), (371.0, 429.0), (897.0, 324.0), (898.0, 898.0), (875.0, 407.0), (708.0, 99.0), (508.0, 31.0)]",41,7,19315.53549190081
"[(189.0, 739.0), (493.0, 970.0), (573.0, 903.0), (796.0, 310.0), (774.0, 130.0), (758.0, 405.0), (220.0, 307.0), (45.0, 549.0), (2.0, 897.0), (101.0, 482.0), (98.0, 711.0), (901.0, 639.0), (494.0, 898.0), (273.0, 105.0), (875.0, 407.0), (897.0, 324.0), (929.0, 389.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (436.0, 619.0), (330.0, 410.0), (730.0, 742.0), (549.0, 329.0), (278.0, 434.0), (213.0, 639.0), (501.0, 287.0), (371.0, 429.0), (528.0, 794.0), (3.0, 517.0), (724.0, 631.0), (345.0, 560.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (444.0, 428.0), (938.0, 646.0), (951.0, 209.0), (862.0, 361.0), (684.0, 273.0), (643.0, 404.0), (908.0, 534.0), (761.0, 772.0), (964.0, 726.0), (276.0, 666.0), (628.0, 311.0), (437.0, 601.0)]",44,8,19334.90900731956
"[(494.0, 898.0), (116.0, 69.0), (101.0, 482.0), (273.0, 105.0), (774.0, 130.0), (684.0, 273.0), (908.0, 534.0), (938.0, 646.0), (436.0, 619.0), (2.0, 897.0), (45.0, 549.0), (921.0, 964.0), (573.0, 903.0), (724.0, 631.0), (493.0, 970.0), (875.0, 407.0), (704.0, 995.0), (730.0, 742.0), (528.0, 794.0), (964.0, 726.0), (837.0, 787.0), (898.0, 898.0), (761.0, 772.0), (213.0, 639.0), (189.0, 739.0), (278.0, 434.0), (549.0, 329.0), (98.0, 711.0), (508.0, 31.0), (901.0, 639.0), (862.0, 361.0), (708.0, 99.0), (220.0, 307.0), (3.0, 517.0), (328.0, 489.0), (929.0, 389.0), (643.0, 404.0), (897.0, 324.0), (602.0, 68.0), (276.0, 666.0), (501.0, 287.0), (437.0, 601.0), (371.0, 429.0), (444.0, 428.0), (330.0, 410.0), (345.0, 560.0), (628.0, 311.0), (758.0, 405.0), (796.0, 310.0), (951.0, 209.0)]",50,9,19337.70665167185
"[(494.0, 898.0), (101.0, 482.0), (273.0, 105.0), (774.0, 130.0), (220.0, 307.0), (508.0, 31.0), (708.0, 99.0), (573.0, 903.0), (901.0, 639.0), (328.0, 489.0), (938.0, 646.0), (730.0, 742.0), (921.0, 964.0), (898.0, 898.0), (862.0, 361.0), (643.0, 404.0), (837.0, 787.0), (964.0, 726.0), (929.0, 389.0), (875.0, 407.0), (897.0, 324.0), (908.0, 534.0), (951.0, 209.0), (330.0, 410.0), (278.0, 434.0), (345.0, 560.0), (704.0, 995.0), (213.0, 639.0), (444.0, 428.0), (493.0, 970.0), (98.0, 711.0), (116.0, 69.0), (501.0, 287.0), (602.0, 68.0), (528.0, 794.0), (724.0, 631.0), (2.0, 897.0), (437.0, 601.0), (436.0, 619.0), (758.0, 405.0), (549.0, 329.0), (761.0, 772.0), (796.0, 310.0), (628.0, 311.0), (3.0, 517.0), (45.0, 549.0), (276.0, 666.0), (189.0, 739.0), (684.0, 273.0), (371.0, 429.0)]",13,10,19448.125723065845
"[(45.0, 549.0), (98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (684.0, 273.0), (724.0, 631.0), (761.0, 772.0), (494.0, 898.0), (774.0, 130.0), (273.0, 105.0), (643.0, 404.0), (901.0, 639.0), (796.0, 310.0), (964.0, 726.0), (938.0, 646.0), (278.0, 434.0), (493.0, 970.0), (908.0, 534.0), (875.0, 407.0), (628.0, 311.0), (508.0, 31.0), (602.0, 68.0), (897.0, 324.0), (929.0, 389.0), (328.0, 489.0), (528.0, 794.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (276.0, 666.0), (436.0, 619.0), (2.0, 897.0), (444.0, 428.0), (730.0, 742.0), (708.0, 99.0), (501.0, 287.0), (101.0, 482.0), (437.0, 601.0), (220.0, 307.0), (951.0, 209.0), (330.0, 410.0), (371.0, 429.0), (549.0, 329.0), (862.0, 361.0), (758.0, 405.0), (573.0, 903.0), (116.0, 69.0)]",8,11,19461.56550571601
