pos,generation,rank,score
"[(528.0, 794.0), (493.0, 970.0), (730.0, 742.0), (278.0, 434.0), (875.0, 407.0), (897.0, 324.0), (929.0, 389.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (45.0, 549.0), (98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (684.0, 273.0), (724.0, 631.0), (761.0, 772.0), (494.0, 898.0), (774.0, 130.0), (273.0, 105.0), (220.0, 307.0), (901.0, 639.0), (573.0, 903.0), (276.0, 666.0), (2.0, 897.0), (758.0, 405.0), (964.0, 726.0), (501.0, 287.0), (708.0, 99.0), (628.0, 311.0), (862.0, 361.0), (643.0, 404.0), (116.0, 69.0), (444.0, 428.0), (330.0, 410.0), (437.0, 601.0), (951.0, 209.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (938.0, 646.0), (436.0, 619.0), (908.0, 534.0), (371.0, 429.0), (549.0, 329.0), (101.0, 482.0)]",18,12,19480.851693762397
"[(628.0, 311.0), (508.0, 31.0), (602.0, 68.0), (897.0, 324.0), (929.0, 389.0), (328.0, 489.0), (528.0, 794.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (276.0, 666.0), (493.0, 970.0), (573.0, 903.0), (796.0, 310.0), (774.0, 130.0), (758.0, 405.0), (220.0, 307.0), (45.0, 549.0), (2.0, 897.0), (101.0, 482.0), (98.0, 711.0), (901.0, 639.0), (501.0, 287.0), (951.0, 209.0), (345.0, 560.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (724.0, 631.0), (273.0, 105.0), (3.0, 517.0), (189.0, 739.0), (494.0, 898.0), (708.0, 99.0), (684.0, 273.0), (116.0, 69.0), (938.0, 646.0), (862.0, 361.0), (549.0, 329.0), (643.0, 404.0), (908.0, 534.0), (730.0, 742.0), (437.0, 601.0), (964.0, 726.0), (213.0, 639.0), (330.0, 410.0), (875.0, 407.0), (761.0, 772.0), (436.0, 619.0)]",38,13,19523.48030607603
"[(643.0, 404.0), (758.0, 405.0), (528.0, 794.0), (116.0, 69.0), (862.0, 361.0), (730.0, 742.0), (837.0, 787.0), (901.0, 639.0), (724.0, 631.0), (796.0, 310.0), (898.0, 898.0), (761.0, 772.0), (908.0, 534.0), (951.0, 209.0), (602.0, 68.0), (938.0, 646.0), (921.0, 964.0), (276.0, 666.0), (2.0, 897.0), (501.0, 287.0), (875.0, 407.0), (704.0, 995.0), (328.0, 489.0), (684.0, 273.0), (708.0, 99.0), (493.0, 970.0), (45.0, 549.0), (3.0, 517.0), (273.0, 105.0), (508.0, 31.0), (628.0, 311.0), (929.0, 389.0), (897.0, 324.0), (278.0, 434.0), (371.0, 429.0), (330.0, 410.0), (98.0, 711.0), (101.0, 482.0), (549.0, 329.0), (774.0, 130.0), (573.0, 903.0), (437.0, 601.0), (213.0, 639.0), (220.0, 307.0), (345.0, 560.0), (444.0, 428.0), (964.0, 726.0), (494.0, 898.0), (189.0, 739.0), (436.0, 619.0)]",17,14,19530.79150999758
"[(101.0, 482.0), (724.0, 631.0), (837.0, 787.0), (964.0, 726.0), (704.0, 995.0), (278.0, 434.0), (45.0, 549.0), (98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (328.0, 489.0), (437.0, 601.0), (330.0, 410.0), (116.0, 69.0), (371.0, 429.0), (901.0, 639.0), (549.0, 329.0), (862.0, 361.0), (602.0, 68.0), (758.0, 405.0), (643.0, 404.0), (938.0, 646.0), (929.0, 389.0), (951.0, 209.0), (494.0, 898.0), (921.0, 964.0), (897.0, 324.0), (708.0, 99.0), (628.0, 311.0), (220.0, 307.0), (2.0, 897.0), (898.0, 898.0), (908.0, 534.0), (875.0, 407.0), (796.0, 310.0), (730.0, 742.0), (684.0, 273.0), (436.0, 619.0), (774.0, 130.0), (444.0, 428.0), (501.0, 287.0), (276.0, 666.0), (761.0, 772.0), (273.0, 105.0), (508.0, 31.0), (528.0, 794.0)]",16,15,19540.606800865407
"[(98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (684.0, 273.0), (724.0, 631.0), (761.0, 772.0), (494.0, 898.0), (774.0, 130.0), (273.0, 105.0), (220.0, 307.0), (875.0, 407.0), (897.0, 324.0), (929.0, 389.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (862.0, 361.0), (643.0, 404.0), (964.0, 726.0), (951.0, 209.0), (730.0, 742.0), (501.0, 287.0), (444.0, 428.0), (549.0, 329.0), (628.0, 311.0), (508.0, 31.0), (116.0, 69.0), (276.0, 666.0), (45.0, 549.0), (573.0, 903.0), (493.0, 970.0), (437.0, 601.0), (758.0, 405.0), (938.0, 646.0), (371.0, 429.0), (796.0, 310.0), (708.0, 99.0), (330.0, 410.0), (602.0, 68.0), (901.0, 639.0), (528.0, 794.0), (436.0, 619.0), (2.0, 897.0), (908.0, 534.0), (101.0, 482.0), (278.0, 434.0)]",41,16,19546.111057049096
"[(278.0, 434.0), (45.0, 549.0), (98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (796.0, 310.0), (862.0, 361.0), (897.0, 324.0), (436.0, 619.0), (437.0, 601.0), (494.0, 898.0), (901.0, 639.0), (921.0, 964.0), (704.0, 995.0), (730.0, 742.0), (708.0, 99.0), (951.0, 209.0), (444.0, 428.0), (528.0, 794.0), (628.0, 311.0), (938.0, 646.0), (964.0, 726.0), (724.0, 631.0), (837.0, 787.0), (273.0, 105.0), (276.0, 666.0), (328.0, 489.0), (549.0, 329.0), (101.0, 482.0), (330.0, 410.0), (2.0, 897.0), (898.0, 898.0), (875.0, 407.0), (493.0, 970.0), (684.0, 273.0), (508.0, 31.0), (602.0, 68.0), (761.0, 772.0), (573.0, 903.0), (371.0, 429.0), (501.0, 287.0), (929.0, 389.0), (774.0, 130.0), (643.0, 404.0), (908.0, 534.0), (220.0, 307.0), (758.0, 405.0), (116.0, 69.0)]",29,17,19550.126944189156
"[(3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (796.0, 310.0), (862.0, 361.0), (897.0, 324.0), (436.0, 619.0), (437.0, 601.0), (494.0, 898.0), (901.0, 639.0), (921.0, 964.0), (758.0, 405.0), (220.0, 307.0), (45.0, 549.0), (2.0, 897.0), (101.0, 482.0), (98.0, 711.0), (501.0, 287.0), (951.0, 209.0), (444.0, 428.0), (371.0, 429.0), (328.0, 489.0), (929.0, 389.0), (643.0, 404.0), (774.0, 130.0), (908.0, 534.0), (549.0, 329.0), (573.0, 903.0), (724.0, 631.0), (493.0, 970.0), (875.0, 407.0), (704.0, 995.0), (730.0, 742.0), (528.0, 794.0), (964.0, 726.0), (116.0, 69.0), (837.0, 787.0), (898.0, 898.0), (761.0, 772.0), (628.0, 311.0), (330.0, 410.0), (273.0, 105.0), (602.0, 68.0), (508.0, 31.0), (684.0, 273.0), (708.0, 99.0), (276.0, 666.0), (278.0, 434.0), (938.0, 646.0)]",45,18,19626.092928089587
"[(684.0, 273.0), (724.0, 631.0), (761.0, 772.0), (494.0, 898.0), (528.0, 794.0), (643.0, 404.0), (901.0, 639.0), (964.0, 726.0), (938.0, 646.0), (278.0, 434.0), (493.0, 970.0), (875.0, 407.0), (45.0, 549.0), (98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (796.0, 310.0), (898.0, 898.0), (921.0, 964.0), (837.0, 787.0), (897.0, 324.0), (774.0, 130.0), (628.0, 311.0), (220.0, 307.0), (330.0, 410.0), (573.0, 903.0), (730.0, 742.0), (758.0, 405.0), (437.0, 601.0), (328.0, 489.0), (862.0, 361.0), (276.0, 666.0), (444.0, 428.0), (508.0, 31.0), (951.0, 209.0), (273.0, 105.0), (501.0, 287.0), (436.0, 619.0), (704.0, 995.0), (929.0, 389.0), (549.0, 329.0), (116.0, 69.0), (371.0, 429.0), (101.0, 482.0), (602.0, 68.0), (708.0, 99.0), (908.0, 534.0), (2.0, 897.0)]",31,19,19686.744205499428
"[(213.0, 639.0), (189.0, 739.0), (493.0, 970.0), (573.0, 903.0), (796.0, 310.0), (774.0, 130.0), (758.0, 405.0), (220.0, 307.0), (45.0, 549.0), (2.0, 897.0), (101.0, 482.0), (98.0, 711.0), (862.0, 361.0), (897.0, 324.0), (436.0, 619.0), (437.0, 601.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (276.0, 666.0), (330.0, 410.0), (3.0, 517.0), (929.0, 389.0), (116.0, 69.0), (901.0, 639.0), (643.0, 404.0), (964.0, 726.0), (761.0, 772.0), (724.0, 631.0), (494.0, 898.0), (528.0, 794.0), (549.0, 329.0), (501.0, 287.0), (602.0, 68.0), (951.0, 209.0), (278.0, 434.0), (730.0, 742.0), (273.0, 105.0), (371.0, 429.0), (508.0, 31.0), (908.0, 534.0), (938.0, 646.0), (345.0, 560.0), (628.0, 311.0), (875.0, 407.0), (708.0, 99.0), (444.0, 428.0), (684.0, 273.0)]",51,20,19768.138680901287
"[(213.0, 639.0), (189.0, 739.0), (493.0, 970.0), (573.0, 903.0), (796.0, 310.0), (774.0, 130.0), (758.0, 405.0), (220.0, 307.0), (45.0, 549.0), (2.0, 897.0), (101.0, 482.0), (98.0, 711.0), (901.0, 639.0), (501.0, 287.0), (761.0, 772.0), (921.0, 964.0), (278.0, 434.0), (345.0, 560.0), (328.0, 489.0), (276.0, 666.0), (549.0, 329.0), (875.0, 407.0), (862.0, 361.0), (724.0, 631.0), (898.0, 898.0), (908.0, 534.0), (602.0, 68.0), (964.0, 726.0), (3.0, 517.0), (951.0, 209.0), (897.0, 324.0), (643.0, 404.0), (708.0, 99.0), (684.0, 273.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (929.0, 389.0), (730.0, 742.0), (437.0, 601.0), (837.0, 787.0), (704.0, 995.0), (330.0, 410.0), (938.0, 646.0), (528.0, 794.0), (436.0, 619.0), (371.0, 429.0), (628.0, 311.0), (494.0, 898.0), (444.0, 428.0)]",28,21,19794.79368682751
"[(684.0, 273.0), (708.0, 99.0), (493.0, 970.0), (45.0, 549.0), (3.0, 517.0), (273.0, 105.0), (508.0, 31.0), (628.0, 311.0), (278.0, 434.0), (371.0, 429.0), (501.0, 287.0), (796.0, 310.0), (328.0, 489.0), (437.0, 601.0), (116.0, 69.0), (549.0, 329.0), (908.0, 534.0), (938.0, 646.0), (964.0, 726.0), (898.0, 898.0), (724.0, 631.0), (704.0, 995.0), (436.0, 619.0), (528.0, 794.0), (758.0, 405.0), (730.0, 742.0), (897.0, 324.0), (330.0, 410.0), (213.0, 639.0), (774.0, 130.0), (602.0, 68.0), (951.0, 209.0), (875.0, 407.0), (494.0, 898.0), (929.0, 389.0), (444.0, 428.0), (643.0, 404.0), (837.0, 787.0), (101.0, 482.0), (921.0, 964.0), (573.0, 903.0), (761.0, 772.0), (220.0, 307.0), (276.0, 666.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (901.0, 639.0), (862.0, 361.0), (345.0, 560.0)]",36,22,19826.727367082938
"[(437.0, 601.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (276.0, 666.0), (2.0, 897.0), (444.0, 428.0), (708.0, 99.0), (273.0, 105.0), (549.0, 329.0), (724.0, 631.0), (628.0, 311.0), (875.0, 407.0), (220.0, 307.0), (528.0, 794.0), (897.0, 324.0), (862.0, 361.0), (951.0, 209.0), (508.0, 31.0), (774.0, 130.0), (643.0, 404.0), (494.0, 898.0), (189.0, 739.0), (45.0, 549.0), (330.0, 410.0), (758.0, 405.0), (964.0, 726.0), (278.0, 434.0), (98.0, 711.0), (345.0, 560.0), (3.0, 517.0), (213.0, 639.0), (796.0, 310.0), (371.0, 429.0), (730.0, 742.0), (761.0, 772.0), (938.0, 646.0), (493.0, 970.0), (573.0, 903.0), (901.0, 639.0), (908.0, 534.0), (684.0, 273.0), (116.0, 69.0), (436.0, 619.0), (929.0, 389.0), (101.0, 482.0), (501.0, 287.0), (602.0, 68.0)]",26,23,19869.256301992315
"[(704.0, 995.0), (328.0, 489.0), (684.0, 273.0), (708.0, 99.0), (493.0, 970.0), (45.0, 549.0), (3.0, 517.0), (273.0, 105.0), (508.0, 31.0), (628.0, 311.0), (929.0, 389.0), (897.0, 324.0), (276.0, 666.0), (549.0, 329.0), (875.0, 407.0), (862.0, 361.0), (724.0, 631.0), (898.0, 898.0), (908.0, 534.0), (602.0, 68.0), (964.0, 726.0), (951.0, 209.0), (774.0, 130.0), (901.0, 639.0), (444.0, 428.0), (796.0, 310.0), (345.0, 560.0), (2.0, 897.0), (220.0, 307.0), (213.0, 639.0), (101.0, 482.0), (278.0, 434.0), (837.0, 787.0), (573.0, 903.0), (371.0, 429.0), (116.0, 69.0), (330.0, 410.0), (730.0, 742.0), (938.0, 646.0), (528.0, 794.0), (758.0, 405.0), (189.0, 739.0), (98.0, 711.0), (494.0, 898.0), (921.0, 964.0), (761.0, 772.0), (643.0, 404.0), (501.0, 287.0), (436.0, 619.0), (437.0, 601.0)]",33,24,19879.7205910798
"[(45.0, 549.0), (98.0, 711.0), (3.0, 517.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (328.0, 489.0), (437.0, 601.0), (330.0, 410.0), (116.0, 69.0), (101.0, 482.0), (901.0, 639.0), (494.0, 898.0), (273.0, 105.0), (875.0, 407.0), (897.0, 324.0), (929.0, 389.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (730.0, 742.0), (862.0, 361.0), (278.0, 434.0), (684.0, 273.0), (761.0, 772.0), (2.0, 897.0), (774.0, 130.0), (628.0, 311.0), (908.0, 534.0), (951.0, 209.0), (220.0, 307.0), (708.0, 99.0), (796.0, 310.0), (758.0, 405.0), (549.0, 329.0), (938.0, 646.0), (444.0, 428.0), (371.0, 429.0), (436.0, 619.0), (528.0, 794.0), (501.0, 287.0), (602.0, 68.0), (276.0, 666.0), (921.0, 964.0), (724.0, 631.0), (964.0, 726.0), (643.0, 404.0), (508.0, 31.0)]",47,25,19879.94859775919
"[(897.0, 324.0), (929.0, 389.0), (328.0, 489.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (862.0, 361.0), (643.0, 404.0), (964.0, 726.0), (951.0, 209.0), (602.0, 68.0), (684.0, 273.0), (708.0, 99.0), (493.0, 970.0), (45.0, 549.0), (3.0, 517.0), (273.0, 105.0), (508.0, 31.0), (628.0, 311.0), (278.0, 434.0), (371.0, 429.0), (501.0, 287.0), (796.0, 310.0), (213.0, 639.0), (345.0, 560.0), (494.0, 898.0), (330.0, 410.0), (116.0, 69.0), (908.0, 534.0), (761.0, 772.0), (437.0, 601.0), (436.0, 619.0), (444.0, 428.0), (189.0, 739.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (901.0, 639.0), (730.0, 742.0), (220.0, 307.0), (276.0, 666.0), (549.0, 329.0), (98.0, 711.0), (528.0, 794.0), (774.0, 130.0), (758.0, 405.0), (573.0, 903.0), (2.0, 897.0), (101.0, 482.0)]",31,26,19911.536646580687
"[(951.0, 209.0), (643.0, 404.0), (708.0, 99.0), (684.0, 273.0), (273.0, 105.0), (116.0, 69.0), (730.0, 742.0), (437.0, 601.0), (328.0, 489.0), (774.0, 130.0), (220.0, 307.0), (98.0, 711.0), (278.0, 434.0), (875.0, 407.0), (897.0, 324.0), (929.0, 389.0), (898.0, 898.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (45.0, 549.0), (573.0, 903.0), (101.0, 482.0), (189.0, 739.0), (276.0, 666.0), (3.0, 517.0), (436.0, 619.0), (330.0, 410.0), (213.0, 639.0), (508.0, 31.0), (761.0, 772.0), (494.0, 898.0), (964.0, 726.0), (528.0, 794.0), (444.0, 428.0), (862.0, 361.0), (602.0, 68.0), (549.0, 329.0), (501.0, 287.0), (493.0, 970.0), (724.0, 631.0), (758.0, 405.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (628.0, 311.0), (2.0, 897.0), (371.0, 429.0), (796.0, 310.0), (345.0, 560.0)]",37,27,19938.068834875732
