pos,generation,rank,score
"[(330.0, 410.0), (276.0, 666.0), (189.0, 739.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (938.0, 646.0), (730.0, 742.0), (573.0, 903.0), (628.0, 311.0), (875.0, 407.0), (508.0, 31.0), (116.0, 69.0), (501.0, 287.0), (437.0, 601.0), (273.0, 105.0), (213.0, 639.0), (220.0, 307.0), (549.0, 329.0), (101.0, 482.0), (436.0, 619.0), (493.0, 970.0), (278.0, 434.0), (897.0, 324.0), (774.0, 130.0), (371.0, 429.0), (758.0, 405.0), (921.0, 964.0), (908.0, 534.0), (708.0, 99.0), (602.0, 68.0), (643.0, 404.0), (444.0, 428.0), (704.0, 995.0), (724.0, 631.0), (345.0, 560.0), (796.0, 310.0), (951.0, 209.0), (929.0, 389.0), (862.0, 361.0), (684.0, 273.0), (964.0, 726.0), (98.0, 711.0), (898.0, 898.0), (901.0, 639.0), (528.0, 794.0), (837.0, 787.0), (494.0, 898.0), (761.0, 772.0), (328.0, 489.0)]",38,11,19582.426171242674
"[(276.0, 666.0), (189.0, 739.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (938.0, 646.0), (730.0, 742.0), (573.0, 903.0), (493.0, 970.0), (724.0, 631.0), (371.0, 429.0), (628.0, 311.0), (444.0, 428.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (345.0, 560.0), (213.0, 639.0), (708.0, 99.0), (436.0, 619.0), (528.0, 794.0), (704.0, 995.0), (901.0, 639.0), (328.0, 489.0), (278.0, 434.0), (921.0, 964.0), (837.0, 787.0), (951.0, 209.0), (684.0, 273.0), (875.0, 407.0), (761.0, 772.0), (330.0, 410.0), (437.0, 601.0), (964.0, 726.0), (898.0, 898.0), (643.0, 404.0), (508.0, 31.0), (98.0, 711.0), (929.0, 389.0), (774.0, 130.0), (908.0, 534.0), (602.0, 68.0), (494.0, 898.0), (501.0, 287.0), (101.0, 482.0), (796.0, 310.0), (758.0, 405.0), (549.0, 329.0), (862.0, 361.0), (897.0, 324.0)]",33,12,19597.00743984366
"[(3.0, 517.0), (345.0, 560.0), (528.0, 794.0), (704.0, 995.0), (875.0, 407.0), (964.0, 726.0), (921.0, 964.0), (278.0, 434.0), (116.0, 69.0), (330.0, 410.0), (501.0, 287.0), (437.0, 601.0), (273.0, 105.0), (213.0, 639.0), (220.0, 307.0), (549.0, 329.0), (101.0, 482.0), (189.0, 739.0), (436.0, 619.0), (493.0, 970.0), (2.0, 897.0), (98.0, 711.0), (758.0, 405.0), (796.0, 310.0), (708.0, 99.0), (908.0, 534.0), (628.0, 311.0), (951.0, 209.0), (444.0, 428.0), (684.0, 273.0), (328.0, 489.0), (862.0, 361.0), (897.0, 324.0), (938.0, 646.0), (730.0, 742.0), (371.0, 429.0), (45.0, 549.0), (573.0, 903.0), (837.0, 787.0), (774.0, 130.0), (643.0, 404.0), (901.0, 639.0), (929.0, 389.0), (602.0, 68.0), (508.0, 31.0), (761.0, 772.0), (724.0, 631.0), (276.0, 666.0), (494.0, 898.0), (898.0, 898.0)]",10,13,19737.022626837905
"[(929.0, 389.0), (862.0, 361.0), (549.0, 329.0), (371.0, 429.0), (328.0, 489.0), (278.0, 434.0), (345.0, 560.0), (494.0, 898.0), (330.0, 410.0), (276.0, 666.0), (116.0, 69.0), (220.0, 307.0), (437.0, 601.0), (758.0, 405.0), (436.0, 619.0), (98.0, 711.0), (273.0, 105.0), (724.0, 631.0), (901.0, 639.0), (444.0, 428.0), (493.0, 970.0), (964.0, 726.0), (573.0, 903.0), (921.0, 964.0), (897.0, 324.0), (796.0, 310.0), (189.0, 739.0), (213.0, 639.0), (643.0, 404.0), (774.0, 130.0), (908.0, 534.0), (501.0, 287.0), (684.0, 273.0), (951.0, 209.0), (898.0, 898.0), (704.0, 995.0), (528.0, 794.0), (3.0, 517.0), (2.0, 897.0), (837.0, 787.0), (761.0, 772.0), (708.0, 99.0), (602.0, 68.0), (730.0, 742.0), (875.0, 407.0), (938.0, 646.0), (628.0, 311.0), (101.0, 482.0), (45.0, 549.0), (508.0, 31.0)]",47,14,19844.6938334909
"[(951.0, 209.0), (898.0, 898.0), (964.0, 726.0), (528.0, 794.0), (837.0, 787.0), (761.0, 772.0), (437.0, 601.0), (897.0, 324.0), (921.0, 964.0), (796.0, 310.0), (758.0, 405.0), (278.0, 434.0), (273.0, 105.0), (508.0, 31.0), (774.0, 130.0), (724.0, 631.0), (493.0, 970.0), (573.0, 903.0), (929.0, 389.0), (45.0, 549.0), (101.0, 482.0), (276.0, 666.0), (189.0, 739.0), (2.0, 897.0), (98.0, 711.0), (436.0, 619.0), (3.0, 517.0), (704.0, 995.0), (862.0, 361.0), (643.0, 404.0), (444.0, 428.0), (628.0, 311.0), (901.0, 639.0), (938.0, 646.0), (908.0, 534.0), (328.0, 489.0), (875.0, 407.0), (501.0, 287.0), (549.0, 329.0), (494.0, 898.0), (708.0, 99.0), (602.0, 68.0), (345.0, 560.0), (371.0, 429.0), (730.0, 742.0), (220.0, 307.0), (213.0, 639.0), (116.0, 69.0), (684.0, 273.0), (330.0, 410.0)]",50,15,19883.132788749634
"[(330.0, 410.0), (276.0, 666.0), (189.0, 739.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (938.0, 646.0), (730.0, 742.0), (573.0, 903.0), (493.0, 970.0), (444.0, 428.0), (273.0, 105.0), (371.0, 429.0), (328.0, 489.0), (278.0, 434.0), (345.0, 560.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (528.0, 794.0), (437.0, 601.0), (921.0, 964.0), (964.0, 726.0), (116.0, 69.0), (901.0, 639.0), (724.0, 631.0), (508.0, 31.0), (929.0, 389.0), (708.0, 99.0), (602.0, 68.0), (758.0, 405.0), (628.0, 311.0), (101.0, 482.0), (898.0, 898.0), (684.0, 273.0), (774.0, 130.0), (436.0, 619.0), (501.0, 287.0), (897.0, 324.0), (862.0, 361.0), (908.0, 534.0), (643.0, 404.0), (796.0, 310.0), (837.0, 787.0), (213.0, 639.0), (951.0, 209.0), (220.0, 307.0), (875.0, 407.0), (549.0, 329.0), (98.0, 711.0)]",34,16,19952.55292274685
"[(116.0, 69.0), (330.0, 410.0), (501.0, 287.0), (437.0, 601.0), (273.0, 105.0), (508.0, 31.0), (774.0, 130.0), (796.0, 310.0), (724.0, 631.0), (493.0, 970.0), (573.0, 903.0), (929.0, 389.0), (45.0, 549.0), (101.0, 482.0), (3.0, 517.0), (2.0, 897.0), (276.0, 666.0), (901.0, 639.0), (371.0, 429.0), (951.0, 209.0), (643.0, 404.0), (628.0, 311.0), (938.0, 646.0), (549.0, 329.0), (494.0, 898.0), (704.0, 995.0), (328.0, 489.0), (189.0, 739.0), (213.0, 639.0), (897.0, 324.0), (964.0, 726.0), (730.0, 742.0), (345.0, 560.0), (761.0, 772.0), (758.0, 405.0), (837.0, 787.0), (528.0, 794.0), (921.0, 964.0), (898.0, 898.0), (908.0, 534.0), (862.0, 361.0), (278.0, 434.0), (220.0, 307.0), (875.0, 407.0), (444.0, 428.0), (98.0, 711.0), (708.0, 99.0), (602.0, 68.0), (436.0, 619.0), (684.0, 273.0)]",28,17,20029.494657872496
"[(628.0, 311.0), (437.0, 601.0), (278.0, 434.0), (602.0, 68.0), (862.0, 361.0), (761.0, 772.0), (908.0, 534.0), (758.0, 405.0), (875.0, 407.0), (643.0, 404.0), (951.0, 209.0), (921.0, 964.0), (897.0, 324.0), (837.0, 787.0), (898.0, 898.0), (101.0, 482.0), (330.0, 410.0), (276.0, 666.0), (189.0, 739.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (938.0, 646.0), (730.0, 742.0), (436.0, 619.0), (549.0, 329.0), (724.0, 631.0), (213.0, 639.0), (796.0, 310.0), (573.0, 903.0), (704.0, 995.0), (98.0, 711.0), (501.0, 287.0), (508.0, 31.0), (684.0, 273.0), (273.0, 105.0), (929.0, 389.0), (528.0, 794.0), (493.0, 970.0), (964.0, 726.0), (901.0, 639.0), (220.0, 307.0), (328.0, 489.0), (494.0, 898.0), (774.0, 130.0), (708.0, 99.0), (345.0, 560.0), (116.0, 69.0), (444.0, 428.0), (371.0, 429.0)]",38,18,20054.637578858048
"[(602.0, 68.0), (643.0, 404.0), (758.0, 405.0), (951.0, 209.0), (901.0, 639.0), (964.0, 726.0), (493.0, 970.0), (444.0, 428.0), (494.0, 898.0), (875.0, 407.0), (862.0, 361.0), (921.0, 964.0), (704.0, 995.0), (898.0, 898.0), (528.0, 794.0), (761.0, 772.0), (684.0, 273.0), (908.0, 534.0), (98.0, 711.0), (101.0, 482.0), (436.0, 619.0), (213.0, 639.0), (929.0, 389.0), (938.0, 646.0), (730.0, 742.0), (189.0, 739.0), (345.0, 560.0), (2.0, 897.0), (371.0, 429.0), (774.0, 130.0), (501.0, 287.0), (708.0, 99.0), (276.0, 666.0), (3.0, 517.0), (837.0, 787.0), (724.0, 631.0), (278.0, 434.0), (549.0, 329.0), (573.0, 903.0), (220.0, 307.0), (273.0, 105.0), (628.0, 311.0), (330.0, 410.0), (437.0, 601.0), (45.0, 549.0), (328.0, 489.0), (116.0, 69.0), (508.0, 31.0), (796.0, 310.0), (897.0, 324.0)]",47,19,20055.727753568448
"[(837.0, 787.0), (898.0, 898.0), (101.0, 482.0), (330.0, 410.0), (276.0, 666.0), (189.0, 739.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (938.0, 646.0), (730.0, 742.0), (573.0, 903.0), (704.0, 995.0), (508.0, 31.0), (116.0, 69.0), (929.0, 389.0), (774.0, 130.0), (684.0, 273.0), (708.0, 99.0), (437.0, 601.0), (328.0, 489.0), (220.0, 307.0), (761.0, 772.0), (796.0, 310.0), (278.0, 434.0), (602.0, 68.0), (643.0, 404.0), (758.0, 405.0), (951.0, 209.0), (901.0, 639.0), (964.0, 726.0), (493.0, 970.0), (444.0, 428.0), (494.0, 898.0), (875.0, 407.0), (862.0, 361.0), (921.0, 964.0), (528.0, 794.0), (345.0, 560.0), (501.0, 287.0), (549.0, 329.0), (908.0, 534.0), (213.0, 639.0), (273.0, 105.0), (436.0, 619.0), (98.0, 711.0), (628.0, 311.0), (724.0, 631.0), (897.0, 324.0), (371.0, 429.0)]",38,20,20079.86902829773
