pos,generation,rank,score
"[(724.0, 631.0), (875.0, 407.0), (964.0, 726.0), (921.0, 964.0), (758.0, 405.0), (951.0, 209.0), (938.0, 646.0), (837.0, 787.0), (898.0, 898.0), (437.0, 601.0), (573.0, 903.0), (704.0, 995.0), (730.0, 742.0), (501.0, 287.0), (3.0, 517.0), (213.0, 639.0), (493.0, 970.0), (101.0, 482.0), (189.0, 739.0), (98.0, 711.0), (116.0, 69.0), (774.0, 130.0), (345.0, 560.0), (684.0, 273.0), (796.0, 310.0), (908.0, 534.0), (761.0, 772.0), (371.0, 429.0), (708.0, 99.0), (273.0, 105.0), (628.0, 311.0), (330.0, 410.0), (2.0, 897.0), (276.0, 666.0), (494.0, 898.0), (436.0, 619.0), (220.0, 307.0), (602.0, 68.0), (328.0, 489.0), (549.0, 329.0), (278.0, 434.0), (528.0, 794.0), (45.0, 549.0), (444.0, 428.0), (929.0, 389.0), (897.0, 324.0), (901.0, 639.0), (508.0, 31.0), (862.0, 361.0), (643.0, 404.0)]",45,11,19190.692346338277
"[(328.0, 489.0), (330.0, 410.0), (549.0, 329.0), (437.0, 601.0), (189.0, 739.0), (45.0, 549.0), (3.0, 517.0), (898.0, 898.0), (901.0, 639.0), (704.0, 995.0), (837.0, 787.0), (897.0, 324.0), (213.0, 639.0), (2.0, 897.0), (116.0, 69.0), (494.0, 898.0), (921.0, 964.0), (964.0, 726.0), (875.0, 407.0), (951.0, 209.0), (628.0, 311.0), (796.0, 310.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (508.0, 31.0), (501.0, 287.0), (761.0, 772.0), (220.0, 307.0), (573.0, 903.0), (758.0, 405.0), (98.0, 711.0), (371.0, 429.0), (278.0, 434.0), (276.0, 666.0), (774.0, 130.0), (602.0, 68.0), (730.0, 742.0), (436.0, 619.0), (643.0, 404.0), (493.0, 970.0), (528.0, 794.0), (724.0, 631.0), (444.0, 428.0), (684.0, 273.0), (345.0, 560.0), (101.0, 482.0), (273.0, 105.0)]",7,12,19200.061145373318
"[(921.0, 964.0), (964.0, 726.0), (875.0, 407.0), (951.0, 209.0), (628.0, 311.0), (796.0, 310.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (508.0, 31.0), (643.0, 404.0), (328.0, 489.0), (278.0, 434.0), (494.0, 898.0), (437.0, 601.0), (549.0, 329.0), (45.0, 549.0), (837.0, 787.0), (704.0, 995.0), (898.0, 898.0), (901.0, 639.0), (602.0, 68.0), (220.0, 307.0), (444.0, 428.0), (761.0, 772.0), (897.0, 324.0), (273.0, 105.0), (371.0, 429.0), (330.0, 410.0), (436.0, 619.0), (528.0, 794.0), (2.0, 897.0), (684.0, 273.0), (724.0, 631.0), (573.0, 903.0), (730.0, 742.0), (501.0, 287.0), (3.0, 517.0), (213.0, 639.0), (493.0, 970.0), (758.0, 405.0), (101.0, 482.0), (189.0, 739.0), (98.0, 711.0), (116.0, 69.0), (345.0, 560.0), (276.0, 666.0), (774.0, 130.0)]",37,13,19240.628917939208
"[(45.0, 549.0), (3.0, 517.0), (328.0, 489.0), (189.0, 739.0), (371.0, 429.0), (436.0, 619.0), (528.0, 794.0), (276.0, 666.0), (573.0, 903.0), (116.0, 69.0), (774.0, 130.0), (938.0, 646.0), (921.0, 964.0), (758.0, 405.0), (951.0, 209.0), (862.0, 361.0), (761.0, 772.0), (837.0, 787.0), (898.0, 898.0), (730.0, 742.0), (796.0, 310.0), (908.0, 534.0), (901.0, 639.0), (897.0, 324.0), (501.0, 287.0), (273.0, 105.0), (964.0, 726.0), (508.0, 31.0), (929.0, 389.0), (708.0, 99.0), (724.0, 631.0), (875.0, 407.0), (278.0, 434.0), (101.0, 482.0), (684.0, 273.0), (549.0, 329.0), (628.0, 311.0), (437.0, 601.0), (444.0, 428.0), (602.0, 68.0), (98.0, 711.0), (213.0, 639.0), (2.0, 897.0), (704.0, 995.0), (643.0, 404.0), (330.0, 410.0), (345.0, 560.0), (220.0, 307.0), (493.0, 970.0), (494.0, 898.0)]",25,14,19245.203068408715
"[(573.0, 903.0), (328.0, 489.0), (330.0, 410.0), (549.0, 329.0), (437.0, 601.0), (189.0, 739.0), (45.0, 549.0), (3.0, 517.0), (898.0, 898.0), (901.0, 639.0), (704.0, 995.0), (837.0, 787.0), (684.0, 273.0), (444.0, 428.0), (730.0, 742.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (875.0, 407.0), (951.0, 209.0), (278.0, 434.0), (493.0, 970.0), (494.0, 898.0), (758.0, 405.0), (528.0, 794.0), (602.0, 68.0), (276.0, 666.0), (708.0, 99.0), (796.0, 310.0), (220.0, 307.0), (101.0, 482.0), (643.0, 404.0), (897.0, 324.0), (2.0, 897.0), (213.0, 639.0), (628.0, 311.0), (501.0, 287.0), (116.0, 69.0), (371.0, 429.0), (774.0, 130.0), (273.0, 105.0), (508.0, 31.0), (436.0, 619.0), (98.0, 711.0), (345.0, 560.0), (761.0, 772.0)]",35,15,19252.922865086763
"[(730.0, 742.0), (704.0, 995.0), (964.0, 726.0), (875.0, 407.0), (951.0, 209.0), (796.0, 310.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (508.0, 31.0), (273.0, 105.0), (501.0, 287.0), (897.0, 324.0), (220.0, 307.0), (101.0, 482.0), (328.0, 489.0), (116.0, 69.0), (901.0, 639.0), (724.0, 631.0), (493.0, 970.0), (276.0, 666.0), (921.0, 964.0), (898.0, 898.0), (602.0, 68.0), (278.0, 434.0), (528.0, 794.0), (494.0, 898.0), (643.0, 404.0), (2.0, 897.0), (444.0, 428.0), (549.0, 329.0), (3.0, 517.0), (45.0, 549.0), (761.0, 772.0), (573.0, 903.0), (330.0, 410.0), (345.0, 560.0), (628.0, 311.0), (371.0, 429.0), (758.0, 405.0), (684.0, 273.0), (189.0, 739.0), (213.0, 639.0), (436.0, 619.0), (837.0, 787.0), (774.0, 130.0), (437.0, 601.0), (98.0, 711.0)]",16,16,19263.025742483806
"[(774.0, 130.0), (964.0, 726.0), (724.0, 631.0), (938.0, 646.0), (761.0, 772.0), (573.0, 903.0), (493.0, 970.0), (213.0, 639.0), (2.0, 897.0), (98.0, 711.0), (602.0, 68.0), (628.0, 311.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (273.0, 105.0), (501.0, 287.0), (897.0, 324.0), (730.0, 742.0), (704.0, 995.0), (436.0, 619.0), (345.0, 560.0), (45.0, 549.0), (189.0, 739.0), (371.0, 429.0), (758.0, 405.0), (528.0, 794.0), (549.0, 329.0), (494.0, 898.0), (101.0, 482.0), (3.0, 517.0), (278.0, 434.0), (837.0, 787.0), (921.0, 964.0), (898.0, 898.0), (796.0, 310.0), (220.0, 307.0), (444.0, 428.0), (328.0, 489.0), (643.0, 404.0), (875.0, 407.0), (437.0, 601.0), (508.0, 31.0), (276.0, 666.0), (951.0, 209.0), (116.0, 69.0), (330.0, 410.0), (684.0, 273.0), (901.0, 639.0)]",49,17,19325.727015549208
"[(730.0, 742.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (875.0, 407.0), (951.0, 209.0), (278.0, 434.0), (493.0, 970.0), (437.0, 601.0), (761.0, 772.0), (901.0, 639.0), (549.0, 329.0), (330.0, 410.0), (116.0, 69.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (628.0, 311.0), (837.0, 787.0), (897.0, 324.0), (796.0, 310.0), (273.0, 105.0), (101.0, 482.0), (643.0, 404.0), (774.0, 130.0), (684.0, 273.0), (708.0, 99.0), (328.0, 489.0), (898.0, 898.0), (220.0, 307.0), (444.0, 428.0), (758.0, 405.0), (436.0, 619.0), (189.0, 739.0), (528.0, 794.0), (501.0, 287.0), (602.0, 68.0), (573.0, 903.0), (345.0, 560.0), (704.0, 995.0), (276.0, 666.0), (98.0, 711.0), (494.0, 898.0), (213.0, 639.0), (508.0, 31.0), (371.0, 429.0)]",46,18,19345.82218126085
"[(684.0, 273.0), (444.0, 428.0), (730.0, 742.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (875.0, 407.0), (951.0, 209.0), (371.0, 429.0), (708.0, 99.0), (273.0, 105.0), (628.0, 311.0), (330.0, 410.0), (2.0, 897.0), (276.0, 666.0), (494.0, 898.0), (436.0, 619.0), (220.0, 307.0), (602.0, 68.0), (328.0, 489.0), (501.0, 287.0), (345.0, 560.0), (643.0, 404.0), (101.0, 482.0), (437.0, 601.0), (278.0, 434.0), (758.0, 405.0), (901.0, 639.0), (898.0, 898.0), (837.0, 787.0), (774.0, 130.0), (704.0, 995.0), (761.0, 772.0), (3.0, 517.0), (45.0, 549.0), (116.0, 69.0), (549.0, 329.0), (897.0, 324.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (796.0, 310.0), (528.0, 794.0), (508.0, 31.0), (189.0, 739.0), (213.0, 639.0)]",48,19,19349.82392553448
"[(628.0, 311.0), (796.0, 310.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (508.0, 31.0), (501.0, 287.0), (761.0, 772.0), (220.0, 307.0), (573.0, 903.0), (328.0, 489.0), (330.0, 410.0), (549.0, 329.0), (437.0, 601.0), (189.0, 739.0), (45.0, 549.0), (3.0, 517.0), (898.0, 898.0), (901.0, 639.0), (704.0, 995.0), (837.0, 787.0), (98.0, 711.0), (436.0, 619.0), (528.0, 794.0), (371.0, 429.0), (273.0, 105.0), (278.0, 434.0), (602.0, 68.0), (494.0, 898.0), (493.0, 970.0), (921.0, 964.0), (276.0, 666.0), (724.0, 631.0), (730.0, 742.0), (897.0, 324.0), (951.0, 209.0), (684.0, 273.0), (101.0, 482.0), (213.0, 639.0), (2.0, 897.0), (643.0, 404.0), (964.0, 726.0), (774.0, 130.0), (758.0, 405.0), (444.0, 428.0), (875.0, 407.0), (116.0, 69.0), (345.0, 560.0)]",11,20,19364.61117292558
"[(837.0, 787.0), (684.0, 273.0), (444.0, 428.0), (730.0, 742.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (875.0, 407.0), (704.0, 995.0), (761.0, 772.0), (3.0, 517.0), (45.0, 549.0), (116.0, 69.0), (549.0, 329.0), (897.0, 324.0), (98.0, 711.0), (493.0, 970.0), (573.0, 903.0), (796.0, 310.0), (528.0, 794.0), (901.0, 639.0), (774.0, 130.0), (951.0, 209.0), (494.0, 898.0), (213.0, 639.0), (276.0, 666.0), (758.0, 405.0), (278.0, 434.0), (371.0, 429.0), (220.0, 307.0), (189.0, 739.0), (436.0, 619.0), (898.0, 898.0), (273.0, 105.0), (708.0, 99.0), (330.0, 410.0), (345.0, 560.0), (2.0, 897.0), (643.0, 404.0), (437.0, 601.0), (508.0, 31.0), (602.0, 68.0), (628.0, 311.0), (328.0, 489.0), (101.0, 482.0), (501.0, 287.0)]",50,21,19399.3698025948
"[(493.0, 970.0), (494.0, 898.0), (345.0, 560.0), (704.0, 995.0), (2.0, 897.0), (101.0, 482.0), (189.0, 739.0), (643.0, 404.0), (951.0, 209.0), (116.0, 69.0), (45.0, 549.0), (98.0, 711.0), (602.0, 68.0), (436.0, 619.0), (213.0, 639.0), (3.0, 517.0), (220.0, 307.0), (276.0, 666.0), (573.0, 903.0), (371.0, 429.0), (444.0, 428.0), (862.0, 361.0), (328.0, 489.0), (501.0, 287.0), (796.0, 310.0), (921.0, 964.0), (964.0, 726.0), (528.0, 794.0), (724.0, 631.0), (758.0, 405.0), (549.0, 329.0), (774.0, 130.0), (938.0, 646.0), (901.0, 639.0), (628.0, 311.0), (330.0, 410.0), (761.0, 772.0), (898.0, 898.0), (278.0, 434.0), (929.0, 389.0), (875.0, 407.0), (897.0, 324.0), (908.0, 534.0), (837.0, 787.0), (708.0, 99.0), (273.0, 105.0), (508.0, 31.0), (684.0, 273.0), (730.0, 742.0), (437.0, 601.0)]",42,22,19403.625869620348
"[(875.0, 407.0), (951.0, 209.0), (796.0, 310.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (273.0, 105.0), (501.0, 287.0), (897.0, 324.0), (602.0, 68.0), (730.0, 742.0), (724.0, 631.0), (508.0, 31.0), (330.0, 410.0), (345.0, 560.0), (328.0, 489.0), (901.0, 639.0), (704.0, 995.0), (528.0, 794.0), (276.0, 666.0), (436.0, 619.0), (494.0, 898.0), (189.0, 739.0), (45.0, 549.0), (371.0, 429.0), (761.0, 772.0), (278.0, 434.0), (437.0, 601.0), (758.0, 405.0), (774.0, 130.0), (549.0, 329.0), (213.0, 639.0), (628.0, 311.0), (116.0, 69.0), (684.0, 273.0), (921.0, 964.0), (643.0, 404.0), (3.0, 517.0), (220.0, 307.0), (2.0, 897.0), (101.0, 482.0), (837.0, 787.0), (964.0, 726.0), (898.0, 898.0), (98.0, 711.0), (573.0, 903.0), (493.0, 970.0), (444.0, 428.0)]",18,23,19409.441229520235
"[(758.0, 405.0), (951.0, 209.0), (938.0, 646.0), (837.0, 787.0), (898.0, 898.0), (437.0, 601.0), (573.0, 903.0), (704.0, 995.0), (213.0, 639.0), (328.0, 489.0), (345.0, 560.0), (774.0, 130.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (508.0, 31.0), (501.0, 287.0), (761.0, 772.0), (220.0, 307.0), (330.0, 410.0), (549.0, 329.0), (796.0, 310.0), (371.0, 429.0), (189.0, 739.0), (964.0, 726.0), (724.0, 631.0), (684.0, 273.0), (643.0, 404.0), (116.0, 69.0), (45.0, 549.0), (493.0, 970.0), (528.0, 794.0), (436.0, 619.0), (98.0, 711.0), (101.0, 482.0), (628.0, 311.0), (897.0, 324.0), (444.0, 428.0), (276.0, 666.0), (3.0, 517.0), (273.0, 105.0), (2.0, 897.0), (875.0, 407.0), (901.0, 639.0), (921.0, 964.0), (602.0, 68.0), (908.0, 534.0), (730.0, 742.0), (494.0, 898.0), (278.0, 434.0)]",38,24,19451.703585360297
"[(330.0, 410.0), (116.0, 69.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (628.0, 311.0), (837.0, 787.0), (951.0, 209.0), (796.0, 310.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (901.0, 639.0), (897.0, 324.0), (501.0, 287.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (929.0, 389.0), (875.0, 407.0), (602.0, 68.0), (684.0, 273.0), (573.0, 903.0), (371.0, 429.0), (437.0, 601.0), (494.0, 898.0), (189.0, 739.0), (549.0, 329.0), (98.0, 711.0), (898.0, 898.0), (704.0, 995.0), (276.0, 666.0), (774.0, 130.0), (758.0, 405.0), (708.0, 99.0), (213.0, 639.0), (761.0, 772.0), (730.0, 742.0), (528.0, 794.0), (101.0, 482.0), (493.0, 970.0), (273.0, 105.0), (220.0, 307.0), (328.0, 489.0), (444.0, 428.0), (278.0, 434.0), (508.0, 31.0), (345.0, 560.0), (436.0, 619.0), (643.0, 404.0)]",50,25,19458.494111335556
"[(897.0, 324.0), (330.0, 410.0), (273.0, 105.0), (98.0, 711.0), (602.0, 68.0), (724.0, 631.0), (875.0, 407.0), (964.0, 726.0), (921.0, 964.0), (758.0, 405.0), (951.0, 209.0), (938.0, 646.0), (628.0, 311.0), (796.0, 310.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (508.0, 31.0), (501.0, 287.0), (371.0, 429.0), (220.0, 307.0), (730.0, 742.0), (573.0, 903.0), (493.0, 970.0), (761.0, 772.0), (774.0, 130.0), (345.0, 560.0), (2.0, 897.0), (276.0, 666.0), (278.0, 434.0), (328.0, 489.0), (549.0, 329.0), (528.0, 794.0), (45.0, 549.0), (101.0, 482.0), (837.0, 787.0), (684.0, 273.0), (116.0, 69.0), (444.0, 428.0), (189.0, 739.0), (3.0, 517.0), (494.0, 898.0), (704.0, 995.0), (643.0, 404.0), (436.0, 619.0), (213.0, 639.0), (437.0, 601.0), (901.0, 639.0), (898.0, 898.0)]",39,26,19518.239210509197
"[(938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (273.0, 105.0), (501.0, 287.0), (602.0, 68.0), (758.0, 405.0), (98.0, 711.0), (116.0, 69.0), (761.0, 772.0), (345.0, 560.0), (774.0, 130.0), (796.0, 310.0), (444.0, 428.0), (276.0, 666.0), (45.0, 549.0), (371.0, 429.0), (549.0, 329.0), (278.0, 434.0), (220.0, 307.0), (3.0, 517.0), (437.0, 601.0), (436.0, 619.0), (101.0, 482.0), (189.0, 739.0), (704.0, 995.0), (837.0, 787.0), (528.0, 794.0), (213.0, 639.0), (508.0, 31.0), (330.0, 410.0), (898.0, 898.0), (964.0, 726.0), (921.0, 964.0), (643.0, 404.0), (494.0, 898.0), (328.0, 489.0), (573.0, 903.0), (897.0, 324.0), (684.0, 273.0), (628.0, 311.0), (493.0, 970.0), (2.0, 897.0), (730.0, 742.0), (875.0, 407.0), (951.0, 209.0), (901.0, 639.0), (724.0, 631.0)]",37,27,19537.0905577462
