pos,generation,rank,score
"[(437.0, 601.0), (761.0, 772.0), (901.0, 639.0), (493.0, 970.0), (549.0, 329.0), (330.0, 410.0), (116.0, 69.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (628.0, 311.0), (837.0, 787.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (602.0, 68.0), (436.0, 619.0), (213.0, 639.0), (345.0, 560.0), (273.0, 105.0), (328.0, 489.0), (528.0, 794.0), (704.0, 995.0), (573.0, 903.0), (189.0, 739.0), (101.0, 482.0), (371.0, 429.0), (730.0, 742.0), (278.0, 434.0), (276.0, 666.0), (494.0, 898.0), (508.0, 31.0), (220.0, 307.0), (643.0, 404.0), (501.0, 287.0), (98.0, 711.0), (898.0, 898.0), (758.0, 405.0), (724.0, 631.0), (708.0, 99.0), (684.0, 273.0), (444.0, 428.0), (796.0, 310.0), (774.0, 130.0)]",51,1,17747.550283759276
"[(444.0, 428.0), (276.0, 666.0), (45.0, 549.0), (371.0, 429.0), (549.0, 329.0), (278.0, 434.0), (220.0, 307.0), (3.0, 517.0), (437.0, 601.0), (436.0, 619.0), (101.0, 482.0), (189.0, 739.0), (330.0, 410.0), (345.0, 560.0), (328.0, 489.0), (901.0, 639.0), (704.0, 995.0), (528.0, 794.0), (494.0, 898.0), (684.0, 273.0), (897.0, 324.0), (908.0, 534.0), (862.0, 361.0), (921.0, 964.0), (929.0, 389.0), (774.0, 130.0), (964.0, 726.0), (724.0, 631.0), (938.0, 646.0), (761.0, 772.0), (573.0, 903.0), (493.0, 970.0), (213.0, 639.0), (2.0, 897.0), (98.0, 711.0), (602.0, 68.0), (628.0, 311.0), (508.0, 31.0), (951.0, 209.0), (116.0, 69.0), (898.0, 898.0), (730.0, 742.0), (758.0, 405.0), (273.0, 105.0), (643.0, 404.0), (796.0, 310.0), (875.0, 407.0), (837.0, 787.0), (501.0, 287.0), (708.0, 99.0)]",46,2,17809.27912779819
"[(273.0, 105.0), (897.0, 324.0), (875.0, 407.0), (602.0, 68.0), (684.0, 273.0), (444.0, 428.0), (730.0, 742.0), (724.0, 631.0), (898.0, 898.0), (921.0, 964.0), (437.0, 601.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (501.0, 287.0), (436.0, 619.0), (330.0, 410.0), (837.0, 787.0), (774.0, 130.0), (628.0, 311.0), (371.0, 429.0), (508.0, 31.0), (493.0, 970.0), (494.0, 898.0), (345.0, 560.0), (704.0, 995.0), (2.0, 897.0), (101.0, 482.0), (189.0, 739.0), (643.0, 404.0), (951.0, 209.0), (116.0, 69.0), (45.0, 549.0), (98.0, 711.0), (528.0, 794.0), (901.0, 639.0), (549.0, 329.0), (328.0, 489.0), (213.0, 639.0), (3.0, 517.0), (220.0, 307.0), (278.0, 434.0), (758.0, 405.0), (796.0, 310.0), (761.0, 772.0), (573.0, 903.0), (276.0, 666.0)]",33,3,18286.619377722986
"[(437.0, 601.0), (761.0, 772.0), (901.0, 639.0), (493.0, 970.0), (549.0, 329.0), (330.0, 410.0), (116.0, 69.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (628.0, 311.0), (837.0, 787.0), (951.0, 209.0), (796.0, 310.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (273.0, 105.0), (501.0, 287.0), (897.0, 324.0), (602.0, 68.0), (730.0, 742.0), (704.0, 995.0), (436.0, 619.0), (101.0, 482.0), (758.0, 405.0), (508.0, 31.0), (684.0, 273.0), (774.0, 130.0), (643.0, 404.0), (371.0, 429.0), (328.0, 489.0), (898.0, 898.0), (724.0, 631.0), (875.0, 407.0), (276.0, 666.0), (444.0, 428.0), (345.0, 560.0), (528.0, 794.0), (213.0, 639.0), (573.0, 903.0), (921.0, 964.0), (964.0, 726.0), (189.0, 739.0), (98.0, 711.0), (220.0, 307.0), (278.0, 434.0), (494.0, 898.0)]",19,4,18712.887484542414
"[(444.0, 428.0), (730.0, 742.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (875.0, 407.0), (951.0, 209.0), (278.0, 434.0), (684.0, 273.0), (761.0, 772.0), (549.0, 329.0), (116.0, 69.0), (371.0, 429.0), (220.0, 307.0), (330.0, 410.0), (573.0, 903.0), (273.0, 105.0), (528.0, 794.0), (2.0, 897.0), (493.0, 970.0), (213.0, 639.0), (189.0, 739.0), (345.0, 560.0), (901.0, 639.0), (436.0, 619.0), (643.0, 404.0), (837.0, 787.0), (708.0, 99.0), (98.0, 711.0), (276.0, 666.0), (437.0, 601.0), (628.0, 311.0), (508.0, 31.0), (602.0, 68.0), (897.0, 324.0), (796.0, 310.0), (704.0, 995.0), (494.0, 898.0), (898.0, 898.0), (501.0, 287.0), (3.0, 517.0), (101.0, 482.0), (45.0, 549.0), (758.0, 405.0), (774.0, 130.0), (328.0, 489.0)]",45,5,18817.402442672465
"[(730.0, 742.0), (704.0, 995.0), (964.0, 726.0), (875.0, 407.0), (951.0, 209.0), (796.0, 310.0), (938.0, 646.0), (908.0, 534.0), (643.0, 404.0), (330.0, 410.0), (278.0, 434.0), (758.0, 405.0), (862.0, 361.0), (929.0, 389.0), (708.0, 99.0), (273.0, 105.0), (501.0, 287.0), (897.0, 324.0), (602.0, 68.0), (436.0, 619.0), (213.0, 639.0), (3.0, 517.0), (220.0, 307.0), (276.0, 666.0), (573.0, 903.0), (493.0, 970.0), (2.0, 897.0), (371.0, 429.0), (345.0, 560.0), (444.0, 428.0), (901.0, 639.0), (774.0, 130.0), (898.0, 898.0), (837.0, 787.0), (328.0, 489.0), (45.0, 549.0), (101.0, 482.0), (724.0, 631.0), (98.0, 711.0), (437.0, 601.0), (528.0, 794.0), (628.0, 311.0), (508.0, 31.0), (189.0, 739.0), (116.0, 69.0), (494.0, 898.0), (549.0, 329.0), (684.0, 273.0), (921.0, 964.0), (761.0, 772.0)]",35,6,18940.85130397321
"[(938.0, 646.0), (921.0, 964.0), (758.0, 405.0), (951.0, 209.0), (862.0, 361.0), (761.0, 772.0), (837.0, 787.0), (898.0, 898.0), (730.0, 742.0), (796.0, 310.0), (908.0, 534.0), (901.0, 639.0), (494.0, 898.0), (964.0, 726.0), (875.0, 407.0), (628.0, 311.0), (929.0, 389.0), (708.0, 99.0), (508.0, 31.0), (220.0, 307.0), (273.0, 105.0), (278.0, 434.0), (602.0, 68.0), (116.0, 69.0), (101.0, 482.0), (330.0, 410.0), (493.0, 970.0), (2.0, 897.0), (437.0, 601.0), (328.0, 489.0), (213.0, 639.0), (345.0, 560.0), (98.0, 711.0), (684.0, 273.0), (436.0, 619.0), (528.0, 794.0), (444.0, 428.0), (774.0, 130.0), (643.0, 404.0), (3.0, 517.0), (704.0, 995.0), (276.0, 666.0), (45.0, 549.0), (573.0, 903.0), (897.0, 324.0), (501.0, 287.0), (549.0, 329.0), (189.0, 739.0), (371.0, 429.0), (724.0, 631.0)]",42,7,18996.138710097006
"[(684.0, 273.0), (444.0, 428.0), (730.0, 742.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (875.0, 407.0), (704.0, 995.0), (116.0, 69.0), (101.0, 482.0), (330.0, 410.0), (493.0, 970.0), (2.0, 897.0), (437.0, 601.0), (328.0, 489.0), (213.0, 639.0), (345.0, 560.0), (98.0, 711.0), (436.0, 619.0), (278.0, 434.0), (45.0, 549.0), (708.0, 99.0), (761.0, 772.0), (276.0, 666.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (628.0, 311.0), (501.0, 287.0), (273.0, 105.0), (951.0, 209.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (3.0, 517.0), (573.0, 903.0), (528.0, 794.0), (901.0, 639.0), (643.0, 404.0), (898.0, 898.0), (774.0, 130.0), (189.0, 739.0), (494.0, 898.0), (837.0, 787.0), (371.0, 429.0), (220.0, 307.0)]",51,8,19066.622463902062
"[(684.0, 273.0), (444.0, 428.0), (730.0, 742.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (929.0, 389.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (602.0, 68.0), (436.0, 619.0), (213.0, 639.0), (3.0, 517.0), (220.0, 307.0), (276.0, 666.0), (573.0, 903.0), (493.0, 970.0), (2.0, 897.0), (371.0, 429.0), (345.0, 560.0), (45.0, 549.0), (528.0, 794.0), (501.0, 287.0), (708.0, 99.0), (330.0, 410.0), (116.0, 69.0), (704.0, 995.0), (328.0, 489.0), (189.0, 739.0), (273.0, 105.0), (278.0, 434.0), (758.0, 405.0), (98.0, 711.0), (494.0, 898.0), (898.0, 898.0), (101.0, 482.0), (508.0, 31.0), (901.0, 639.0), (761.0, 772.0), (774.0, 130.0), (643.0, 404.0), (437.0, 601.0), (837.0, 787.0), (796.0, 310.0), (549.0, 329.0), (628.0, 311.0)]",37,9,19083.507862974096
"[(758.0, 405.0), (951.0, 209.0), (862.0, 361.0), (761.0, 772.0), (837.0, 787.0), (898.0, 898.0), (730.0, 742.0), (796.0, 310.0), (908.0, 534.0), (901.0, 639.0), (897.0, 324.0), (501.0, 287.0), (724.0, 631.0), (921.0, 964.0), (964.0, 726.0), (938.0, 646.0), (929.0, 389.0), (875.0, 407.0), (602.0, 68.0), (684.0, 273.0), (573.0, 903.0), (278.0, 434.0), (213.0, 639.0), (189.0, 739.0), (371.0, 429.0), (549.0, 329.0), (437.0, 601.0), (345.0, 560.0), (528.0, 794.0), (101.0, 482.0), (494.0, 898.0), (116.0, 69.0), (436.0, 619.0), (220.0, 307.0), (45.0, 549.0), (276.0, 666.0), (273.0, 105.0), (2.0, 897.0), (330.0, 410.0), (98.0, 711.0), (3.0, 517.0), (643.0, 404.0), (774.0, 130.0), (628.0, 311.0), (708.0, 99.0), (493.0, 970.0), (328.0, 489.0), (508.0, 31.0), (704.0, 995.0), (444.0, 428.0)]",38,10,19124.51536403856
