pos,generation,rank,score,id
"[(704.0, 995.0), (573.0, 903.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (901.0, 639.0), (898.0, 898.0), (528.0, 794.0), (493.0, 970.0), (494.0, 898.0), (98.0, 711.0), (45.0, 549.0), (189.0, 739.0), (2.0, 897.0), (276.0, 666.0), (213.0, 639.0), (3.0, 517.0), (101.0, 482.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (602.0, 68.0), (708.0, 99.0), (951.0, 209.0), (897.0, 324.0), (875.0, 407.0), (908.0, 534.0), (938.0, 646.0), (921.0, 964.0), (929.0, 389.0), (444.0, 428.0), (628.0, 311.0), (643.0, 404.0), (862.0, 361.0), (774.0, 130.0), (730.0, 742.0), (345.0, 560.0), (328.0, 489.0), (436.0, 619.0), (437.0, 601.0), (758.0, 405.0), (724.0, 631.0), (501.0, 287.0), (371.0, 429.0), (278.0, 434.0), (330.0, 410.0), (549.0, 329.0), (796.0, 310.0), (684.0, 273.0)]",13959,1,11635.387422662829,767786
"[(875.0, 407.0), (908.0, 534.0), (938.0, 646.0), (921.0, 964.0), (704.0, 995.0), (573.0, 903.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (901.0, 639.0), (898.0, 898.0), (528.0, 794.0), (493.0, 970.0), (189.0, 739.0), (494.0, 898.0), (98.0, 711.0), (45.0, 549.0), (2.0, 897.0), (276.0, 666.0), (213.0, 639.0), (3.0, 517.0), (101.0, 482.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (602.0, 68.0), (708.0, 99.0), (774.0, 130.0), (897.0, 324.0), (730.0, 742.0), (796.0, 310.0), (628.0, 311.0), (929.0, 389.0), (862.0, 361.0), (684.0, 273.0), (437.0, 601.0), (444.0, 428.0), (643.0, 404.0), (724.0, 631.0), (951.0, 209.0), (758.0, 405.0), (501.0, 287.0), (436.0, 619.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (330.0, 410.0), (549.0, 329.0), (345.0, 560.0)]",13947,2,11850.0866733109,767094
"[(444.0, 428.0), (371.0, 429.0), (345.0, 560.0), (328.0, 489.0), (501.0, 287.0), (278.0, 434.0), (684.0, 273.0), (862.0, 361.0), (758.0, 405.0), (330.0, 410.0), (724.0, 631.0), (436.0, 619.0), (549.0, 329.0), (929.0, 389.0), (774.0, 130.0), (730.0, 742.0), (437.0, 601.0), (628.0, 311.0), (643.0, 404.0), (897.0, 324.0), (951.0, 209.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (273.0, 105.0), (220.0, 307.0), (101.0, 482.0), (3.0, 517.0), (213.0, 639.0), (276.0, 666.0), (2.0, 897.0), (189.0, 739.0), (45.0, 549.0), (98.0, 711.0), (494.0, 898.0), (493.0, 970.0), (528.0, 794.0), (898.0, 898.0), (901.0, 639.0), (964.0, 726.0), (837.0, 787.0), (761.0, 772.0), (573.0, 903.0), (704.0, 995.0), (921.0, 964.0), (938.0, 646.0), (908.0, 534.0), (796.0, 310.0), (875.0, 407.0)]",13970,3,11935.754154436365,768376
"[(45.0, 549.0), (189.0, 739.0), (2.0, 897.0), (276.0, 666.0), (213.0, 639.0), (3.0, 517.0), (101.0, 482.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (602.0, 68.0), (708.0, 99.0), (951.0, 209.0), (897.0, 324.0), (875.0, 407.0), (908.0, 534.0), (938.0, 646.0), (921.0, 964.0), (704.0, 995.0), (573.0, 903.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (901.0, 639.0), (898.0, 898.0), (528.0, 794.0), (493.0, 970.0), (494.0, 898.0), (98.0, 711.0), (758.0, 405.0), (862.0, 361.0), (549.0, 329.0), (501.0, 287.0), (436.0, 619.0), (328.0, 489.0), (330.0, 410.0), (628.0, 311.0), (684.0, 273.0), (774.0, 130.0), (929.0, 389.0), (643.0, 404.0), (437.0, 601.0), (371.0, 429.0), (730.0, 742.0), (796.0, 310.0), (278.0, 434.0), (444.0, 428.0), (345.0, 560.0), (724.0, 631.0)]",13888,4,12049.178165704843,763849
"[(436.0, 619.0), (774.0, 130.0), (724.0, 631.0), (862.0, 361.0), (549.0, 329.0), (684.0, 273.0), (643.0, 404.0), (444.0, 428.0), (371.0, 429.0), (345.0, 560.0), (501.0, 287.0), (328.0, 489.0), (628.0, 311.0), (758.0, 405.0), (796.0, 310.0), (730.0, 742.0), (437.0, 601.0), (929.0, 389.0), (330.0, 410.0), (220.0, 307.0), (101.0, 482.0), (3.0, 517.0), (213.0, 639.0), (276.0, 666.0), (2.0, 897.0), (189.0, 739.0), (45.0, 549.0), (98.0, 711.0), (494.0, 898.0), (493.0, 970.0), (528.0, 794.0), (898.0, 898.0), (901.0, 639.0), (964.0, 726.0), (837.0, 787.0), (761.0, 772.0), (573.0, 903.0), (704.0, 995.0), (921.0, 964.0), (938.0, 646.0), (908.0, 534.0), (875.0, 407.0), (897.0, 324.0), (951.0, 209.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (273.0, 105.0), (278.0, 434.0)]",13793,5,12059.62009394752,758624
"[(45.0, 549.0), (189.0, 739.0), (2.0, 897.0), (276.0, 666.0), (213.0, 639.0), (3.0, 517.0), (101.0, 482.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (602.0, 68.0), (708.0, 99.0), (951.0, 209.0), (897.0, 324.0), (494.0, 898.0), (493.0, 970.0), (528.0, 794.0), (898.0, 898.0), (901.0, 639.0), (964.0, 726.0), (837.0, 787.0), (761.0, 772.0), (573.0, 903.0), (704.0, 995.0), (921.0, 964.0), (938.0, 646.0), (908.0, 534.0), (875.0, 407.0), (929.0, 389.0), (758.0, 405.0), (501.0, 287.0), (278.0, 434.0), (724.0, 631.0), (371.0, 429.0), (444.0, 428.0), (549.0, 329.0), (436.0, 619.0), (345.0, 560.0), (328.0, 489.0), (330.0, 410.0), (437.0, 601.0), (643.0, 404.0), (774.0, 130.0), (796.0, 310.0), (684.0, 273.0), (628.0, 311.0), (862.0, 361.0), (98.0, 711.0), (730.0, 742.0)]",13773,6,12074.059150934443,757510
"[(101.0, 482.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (602.0, 68.0), (708.0, 99.0), (951.0, 209.0), (897.0, 324.0), (875.0, 407.0), (908.0, 534.0), (938.0, 646.0), (921.0, 964.0), (704.0, 995.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (901.0, 639.0), (898.0, 898.0), (528.0, 794.0), (493.0, 970.0), (494.0, 898.0), (98.0, 711.0), (45.0, 549.0), (189.0, 739.0), (2.0, 897.0), (276.0, 666.0), (213.0, 639.0), (3.0, 517.0), (761.0, 772.0), (730.0, 742.0), (929.0, 389.0), (436.0, 619.0), (330.0, 410.0), (774.0, 130.0), (549.0, 329.0), (724.0, 631.0), (862.0, 361.0), (758.0, 405.0), (345.0, 560.0), (628.0, 311.0), (643.0, 404.0), (444.0, 428.0), (796.0, 310.0), (684.0, 273.0), (437.0, 601.0), (371.0, 429.0), (328.0, 489.0), (278.0, 434.0), (501.0, 287.0)]",13699,7,12089.14255286493,753489
"[(761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (901.0, 639.0), (898.0, 898.0), (528.0, 794.0), (493.0, 970.0), (494.0, 898.0), (98.0, 711.0), (45.0, 549.0), (189.0, 739.0), (2.0, 897.0), (276.0, 666.0), (213.0, 639.0), (3.0, 517.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (602.0, 68.0), (708.0, 99.0), (951.0, 209.0), (897.0, 324.0), (875.0, 407.0), (908.0, 534.0), (938.0, 646.0), (921.0, 964.0), (704.0, 995.0), (573.0, 903.0), (437.0, 601.0), (444.0, 428.0), (628.0, 311.0), (724.0, 631.0), (758.0, 405.0), (929.0, 389.0), (501.0, 287.0), (549.0, 329.0), (330.0, 410.0), (278.0, 434.0), (436.0, 619.0), (796.0, 310.0), (774.0, 130.0), (862.0, 361.0), (730.0, 742.0), (643.0, 404.0), (328.0, 489.0), (345.0, 560.0), (684.0, 273.0), (101.0, 482.0), (371.0, 429.0)]",13944,8,12095.651043763277,766941
"[(951.0, 209.0), (897.0, 324.0), (875.0, 407.0), (908.0, 534.0), (938.0, 646.0), (921.0, 964.0), (704.0, 995.0), (573.0, 903.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (901.0, 639.0), (898.0, 898.0), (528.0, 794.0), (493.0, 970.0), (189.0, 739.0), (2.0, 897.0), (276.0, 666.0), (213.0, 639.0), (3.0, 517.0), (101.0, 482.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (602.0, 68.0), (708.0, 99.0), (774.0, 130.0), (862.0, 361.0), (330.0, 410.0), (684.0, 273.0), (643.0, 404.0), (730.0, 742.0), (796.0, 310.0), (929.0, 389.0), (345.0, 560.0), (437.0, 601.0), (278.0, 434.0), (98.0, 711.0), (45.0, 549.0), (371.0, 429.0), (328.0, 489.0), (724.0, 631.0), (758.0, 405.0), (549.0, 329.0), (501.0, 287.0), (444.0, 428.0), (628.0, 311.0), (494.0, 898.0), (436.0, 619.0)]",13730,9,12161.053857493544,755161
"[(938.0, 646.0), (921.0, 964.0), (704.0, 995.0), (573.0, 903.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (901.0, 639.0), (898.0, 898.0), (528.0, 794.0), (493.0, 970.0), (494.0, 898.0), (98.0, 711.0), (45.0, 549.0), (189.0, 739.0), (2.0, 897.0), (276.0, 666.0), (213.0, 639.0), (3.0, 517.0), (101.0, 482.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (602.0, 68.0), (708.0, 99.0), (774.0, 130.0), (501.0, 287.0), (862.0, 361.0), (730.0, 742.0), (330.0, 410.0), (643.0, 404.0), (328.0, 489.0), (278.0, 434.0), (345.0, 560.0), (758.0, 405.0), (628.0, 311.0), (549.0, 329.0), (724.0, 631.0), (437.0, 601.0), (444.0, 428.0), (908.0, 534.0), (684.0, 273.0), (929.0, 389.0), (875.0, 407.0), (951.0, 209.0), (796.0, 310.0), (897.0, 324.0), (371.0, 429.0), (436.0, 619.0)]",13963,10,12209.766937552351,767969
