pos,generation,rank,score,id
"[(444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (875.0, 407.0), (862.0, 361.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (549.0, 329.0), (684.0, 273.0), (758.0, 405.0), (643.0, 404.0), (796.0, 310.0), (628.0, 311.0), (501.0, 287.0), (330.0, 410.0), (724.0, 631.0), (837.0, 787.0), (761.0, 772.0), (730.0, 742.0)]",8927,1,7478.3100455355525,714153
"[(330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (724.0, 631.0), (908.0, 534.0), (684.0, 273.0), (796.0, 310.0), (897.0, 324.0), (929.0, 389.0), (951.0, 209.0), (758.0, 405.0), (875.0, 407.0), (862.0, 361.0), (628.0, 311.0), (549.0, 329.0), (643.0, 404.0), (501.0, 287.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0)]",9499,2,7792.628178838108,759872
"[(938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (724.0, 631.0), (875.0, 407.0), (897.0, 324.0), (929.0, 389.0), (796.0, 310.0), (758.0, 405.0), (684.0, 273.0), (862.0, 361.0), (643.0, 404.0), (628.0, 311.0), (501.0, 287.0), (549.0, 329.0)]",9393,3,7814.93633028128,751432
"[(371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0), (501.0, 287.0), (628.0, 311.0), (549.0, 329.0), (758.0, 405.0), (897.0, 324.0), (684.0, 273.0), (643.0, 404.0), (724.0, 631.0), (875.0, 407.0), (862.0, 361.0), (929.0, 389.0), (796.0, 310.0), (444.0, 428.0)]",9506,4,7823.623743744388,760451
"[(704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (875.0, 407.0), (862.0, 361.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (724.0, 631.0), (796.0, 310.0), (684.0, 273.0), (628.0, 311.0), (549.0, 329.0), (643.0, 404.0), (758.0, 405.0), (444.0, 428.0), (501.0, 287.0), (330.0, 410.0), (278.0, 434.0), (371.0, 429.0)]",9899,5,7855.864368601011,791929
"[(330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (758.0, 405.0), (908.0, 534.0), (862.0, 361.0), (897.0, 324.0), (929.0, 389.0), (796.0, 310.0), (724.0, 631.0), (549.0, 329.0), (501.0, 287.0), (628.0, 311.0), (643.0, 404.0), (684.0, 273.0), (875.0, 407.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0)]",8409,6,7881.330230398264,672661
"[(345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (875.0, 407.0), (862.0, 361.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (501.0, 287.0), (371.0, 429.0), (643.0, 404.0), (549.0, 329.0), (328.0, 489.0), (330.0, 410.0), (628.0, 311.0), (684.0, 273.0), (796.0, 310.0), (758.0, 405.0), (724.0, 631.0), (444.0, 428.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0)]",9032,7,7891.926485135835,722525
"[(328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (278.0, 434.0), (330.0, 410.0), (444.0, 428.0), (897.0, 324.0), (758.0, 405.0), (724.0, 631.0), (875.0, 407.0), (862.0, 361.0), (684.0, 273.0), (796.0, 310.0), (628.0, 311.0), (643.0, 404.0), (549.0, 329.0), (371.0, 429.0), (501.0, 287.0)]",9416,8,7914.498725596021,753242
"[(444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (436.0, 619.0), (345.0, 560.0), (276.0, 666.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0), (643.0, 404.0), (501.0, 287.0), (549.0, 329.0), (875.0, 407.0), (897.0, 324.0), (862.0, 361.0), (758.0, 405.0), (796.0, 310.0), (628.0, 311.0), (684.0, 273.0), (724.0, 631.0), (437.0, 601.0)]",8590,9,7918.665171077273,687182
"[(330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (758.0, 405.0), (684.0, 273.0), (929.0, 389.0), (875.0, 407.0), (643.0, 404.0), (549.0, 329.0), (628.0, 311.0), (724.0, 631.0), (501.0, 287.0), (796.0, 310.0), (862.0, 361.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0)]",9683,10,7921.277237679122,774594
"[(528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (724.0, 631.0), (684.0, 273.0), (796.0, 310.0), (628.0, 311.0), (501.0, 287.0), (549.0, 329.0), (897.0, 324.0), (862.0, 361.0), (758.0, 405.0), (643.0, 404.0), (875.0, 407.0)]",9421,11,7925.967288040869,753698
"[(328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (875.0, 407.0), (862.0, 361.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (444.0, 428.0), (549.0, 329.0), (371.0, 429.0), (278.0, 434.0), (330.0, 410.0), (643.0, 404.0), (796.0, 310.0), (758.0, 405.0), (501.0, 287.0), (628.0, 311.0), (684.0, 273.0), (724.0, 631.0)]",9005,12,7950.050582455408,720407
"[(328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (278.0, 434.0), (330.0, 410.0), (444.0, 428.0), (643.0, 404.0), (875.0, 407.0), (897.0, 324.0), (796.0, 310.0), (628.0, 311.0), (862.0, 361.0), (684.0, 273.0), (758.0, 405.0), (549.0, 329.0), (501.0, 287.0), (371.0, 429.0), (724.0, 631.0)]",9404,13,7956.046279856008,752326
"[(273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (758.0, 405.0), (724.0, 631.0), (796.0, 310.0), (875.0, 407.0), (643.0, 404.0), (628.0, 311.0), (684.0, 273.0), (549.0, 329.0), (501.0, 287.0), (862.0, 361.0), (897.0, 324.0), (929.0, 389.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0)]",9415,14,7963.548024692465,753146
"[(951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (724.0, 631.0), (643.0, 404.0), (684.0, 273.0), (549.0, 329.0), (628.0, 311.0), (501.0, 287.0), (862.0, 361.0), (796.0, 310.0), (897.0, 324.0), (875.0, 407.0), (758.0, 405.0), (929.0, 389.0)]",9382,15,7978.840700428927,750547
"[(444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (436.0, 619.0), (345.0, 560.0), (528.0, 794.0), (437.0, 601.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (724.0, 631.0), (549.0, 329.0), (684.0, 273.0), (628.0, 311.0), (501.0, 287.0), (796.0, 310.0), (929.0, 389.0), (875.0, 407.0), (897.0, 324.0), (862.0, 361.0), (643.0, 404.0), (758.0, 405.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0)]",7727,16,7989.313082519793,618141
"[(345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (758.0, 405.0), (684.0, 273.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (278.0, 434.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (628.0, 311.0), (549.0, 329.0), (501.0, 287.0), (875.0, 407.0), (862.0, 361.0), (929.0, 389.0), (796.0, 310.0), (643.0, 404.0), (897.0, 324.0), (951.0, 209.0), (724.0, 631.0)]",9989,17,8116.001916575467,799124
"[(761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (278.0, 434.0), (330.0, 410.0), (444.0, 428.0), (371.0, 429.0), (328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (875.0, 407.0), (897.0, 324.0), (758.0, 405.0), (724.0, 631.0), (796.0, 310.0), (684.0, 273.0), (501.0, 287.0), (628.0, 311.0), (643.0, 404.0), (549.0, 329.0), (862.0, 361.0)]",9977,18,8258.873820260156,798170
"[(328.0, 489.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (875.0, 407.0), (862.0, 361.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (501.0, 287.0), (371.0, 429.0), (724.0, 631.0), (796.0, 310.0), (758.0, 405.0), (549.0, 329.0), (628.0, 311.0), (444.0, 428.0), (330.0, 410.0), (643.0, 404.0), (684.0, 273.0), (278.0, 434.0)]",9960,19,8290.535664135816,796759
"[(45.0, 549.0), (101.0, 482.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (494.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (875.0, 407.0), (862.0, 361.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (549.0, 329.0), (628.0, 311.0), (643.0, 404.0), (796.0, 310.0), (758.0, 405.0), (501.0, 287.0), (684.0, 273.0), (371.0, 429.0), (724.0, 631.0), (444.0, 428.0), (278.0, 434.0), (330.0, 410.0), (328.0, 489.0), (3.0, 517.0)]",9635,20,8610.37066517815,770780
