pos,generation,rank,score,id
"[(875.0, 407.0), (761.0, 772.0), (276.0, 666.0), (101.0, 482.0), (437.0, 601.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (508.0, 31.0), (549.0, 329.0), (330.0, 410.0), (278.0, 434.0), (189.0, 739.0), (528.0, 794.0), (929.0, 389.0), (730.0, 742.0), (371.0, 429.0), (116.0, 69.0), (273.0, 105.0), (684.0, 273.0), (602.0, 68.0), (774.0, 130.0), (345.0, 560.0), (328.0, 489.0), (628.0, 311.0), (708.0, 99.0), (643.0, 404.0), (501.0, 287.0), (220.0, 307.0), (436.0, 619.0), (724.0, 631.0), (951.0, 209.0), (444.0, 428.0), (494.0, 898.0)]",970,11,15919.867442496046,58239
"[(573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (684.0, 273.0), (501.0, 287.0), (708.0, 99.0), (774.0, 130.0), (628.0, 311.0), (328.0, 489.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (493.0, 970.0), (494.0, 898.0), (897.0, 324.0), (643.0, 404.0), (437.0, 601.0), (796.0, 310.0), (724.0, 631.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (436.0, 619.0), (508.0, 31.0), (549.0, 329.0), (189.0, 739.0), (730.0, 742.0), (371.0, 429.0), (444.0, 428.0), (761.0, 772.0), (528.0, 794.0), (276.0, 666.0), (278.0, 434.0), (602.0, 68.0), (875.0, 407.0), (929.0, 389.0), (758.0, 405.0), (330.0, 410.0), (938.0, 646.0)]",1118,12,15948.400870753612,67112
"[(3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (929.0, 389.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (328.0, 489.0), (371.0, 429.0), (730.0, 742.0), (761.0, 772.0), (684.0, 273.0), (116.0, 69.0), (708.0, 99.0), (220.0, 307.0), (101.0, 482.0), (508.0, 31.0), (330.0, 410.0), (528.0, 794.0), (345.0, 560.0), (494.0, 898.0), (273.0, 105.0), (549.0, 329.0), (501.0, 287.0), (278.0, 434.0), (774.0, 130.0), (875.0, 407.0), (444.0, 428.0), (602.0, 68.0), (437.0, 601.0), (436.0, 619.0), (189.0, 739.0), (276.0, 666.0), (724.0, 631.0), (643.0, 404.0), (628.0, 311.0)]",1128,13,15949.712824589975,67712
"[(494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (276.0, 666.0), (528.0, 794.0), (189.0, 739.0), (45.0, 549.0), (213.0, 639.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (116.0, 69.0), (684.0, 273.0), (951.0, 209.0), (761.0, 772.0), (328.0, 489.0), (875.0, 407.0), (437.0, 601.0), (101.0, 482.0), (278.0, 434.0), (330.0, 410.0), (220.0, 307.0), (549.0, 329.0), (730.0, 742.0), (708.0, 99.0), (273.0, 105.0), (602.0, 68.0), (628.0, 311.0), (508.0, 31.0), (501.0, 287.0), (774.0, 130.0), (929.0, 389.0), (643.0, 404.0), (444.0, 428.0), (436.0, 619.0), (345.0, 560.0), (371.0, 429.0), (724.0, 631.0)]",1196,14,15958.301959306958,71759
"[(345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (328.0, 489.0), (101.0, 482.0), (3.0, 517.0), (116.0, 69.0), (98.0, 711.0), (2.0, 897.0), (213.0, 639.0), (276.0, 666.0), (189.0, 739.0), (528.0, 794.0), (436.0, 619.0), (45.0, 549.0), (437.0, 601.0), (602.0, 68.0), (774.0, 130.0), (501.0, 287.0), (684.0, 273.0), (643.0, 404.0), (875.0, 407.0), (628.0, 311.0), (929.0, 389.0), (549.0, 329.0), (724.0, 631.0), (951.0, 209.0), (371.0, 429.0), (708.0, 99.0), (494.0, 898.0), (862.0, 361.0), (761.0, 772.0), (730.0, 742.0), (508.0, 31.0), (444.0, 428.0), (330.0, 410.0), (278.0, 434.0), (220.0, 307.0), (273.0, 105.0)]",457,15,15961.592353652297,27452
"[(493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (929.0, 389.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (328.0, 489.0), (101.0, 482.0), (3.0, 517.0), (116.0, 69.0), (98.0, 711.0), (2.0, 897.0), (213.0, 639.0), (276.0, 666.0), (371.0, 429.0), (278.0, 434.0), (189.0, 739.0), (628.0, 311.0), (494.0, 898.0), (45.0, 549.0), (220.0, 307.0), (602.0, 68.0), (549.0, 329.0), (345.0, 560.0), (528.0, 794.0), (501.0, 287.0), (330.0, 410.0), (730.0, 742.0), (444.0, 428.0), (684.0, 273.0), (643.0, 404.0), (436.0, 619.0), (437.0, 601.0), (761.0, 772.0), (774.0, 130.0), (708.0, 99.0), (724.0, 631.0), (875.0, 407.0), (273.0, 105.0), (508.0, 31.0)]",830,16,15965.930096417995,49783
"[(908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (708.0, 99.0), (774.0, 130.0), (929.0, 389.0), (508.0, 31.0), (116.0, 69.0), (628.0, 311.0), (328.0, 489.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (724.0, 631.0), (276.0, 666.0), (875.0, 407.0), (897.0, 324.0), (758.0, 405.0), (730.0, 742.0), (837.0, 787.0), (938.0, 646.0), (330.0, 410.0), (549.0, 329.0), (189.0, 739.0), (528.0, 794.0), (964.0, 726.0), (761.0, 772.0), (643.0, 404.0), (273.0, 105.0), (501.0, 287.0), (278.0, 434.0), (220.0, 307.0), (436.0, 619.0), (444.0, 428.0), (371.0, 429.0), (437.0, 601.0), (602.0, 68.0), (494.0, 898.0), (796.0, 310.0), (684.0, 273.0)]",1073,17,16051.519476374235,64405
"[(493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (897.0, 324.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (276.0, 666.0), (528.0, 794.0), (189.0, 739.0), (501.0, 287.0), (508.0, 31.0), (796.0, 310.0), (273.0, 105.0), (643.0, 404.0), (708.0, 99.0), (116.0, 69.0), (220.0, 307.0), (278.0, 434.0), (758.0, 405.0), (774.0, 130.0), (929.0, 389.0), (437.0, 601.0), (213.0, 639.0), (101.0, 482.0), (730.0, 742.0), (345.0, 560.0), (444.0, 428.0), (684.0, 273.0), (549.0, 329.0), (628.0, 311.0), (436.0, 619.0), (602.0, 68.0), (45.0, 549.0), (371.0, 429.0), (330.0, 410.0), (328.0, 489.0)]",875,18,16094.096844209544,52540
"[(704.0, 995.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (897.0, 324.0), (938.0, 646.0), (724.0, 631.0), (508.0, 31.0), (436.0, 619.0), (501.0, 287.0), (602.0, 68.0), (444.0, 428.0), (101.0, 482.0), (437.0, 601.0), (278.0, 434.0), (330.0, 410.0), (929.0, 389.0), (774.0, 130.0), (220.0, 307.0), (528.0, 794.0), (730.0, 742.0), (758.0, 405.0), (116.0, 69.0), (273.0, 105.0), (796.0, 310.0), (708.0, 99.0), (549.0, 329.0), (628.0, 311.0), (684.0, 273.0), (276.0, 666.0), (189.0, 739.0), (761.0, 772.0), (643.0, 404.0), (875.0, 407.0), (328.0, 489.0), (371.0, 429.0)]",1192,19,16110.43422187668,71518
"[(761.0, 772.0), (921.0, 964.0), (704.0, 995.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (898.0, 898.0), (862.0, 361.0), (951.0, 209.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (724.0, 631.0), (436.0, 619.0), (444.0, 428.0), (273.0, 105.0), (330.0, 410.0), (684.0, 273.0), (708.0, 99.0), (875.0, 407.0), (528.0, 794.0), (220.0, 307.0), (189.0, 739.0), (101.0, 482.0), (437.0, 601.0), (938.0, 646.0), (643.0, 404.0), (774.0, 130.0), (730.0, 742.0), (276.0, 666.0), (116.0, 69.0), (501.0, 287.0), (371.0, 429.0), (278.0, 434.0), (549.0, 329.0), (929.0, 389.0), (602.0, 68.0), (328.0, 489.0), (508.0, 31.0), (628.0, 311.0)]",615,20,16114.457267058777,36883
"[(45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (898.0, 898.0), (921.0, 964.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (276.0, 666.0), (528.0, 794.0), (189.0, 739.0), (501.0, 287.0), (508.0, 31.0), (444.0, 428.0), (602.0, 68.0), (862.0, 361.0), (730.0, 742.0), (684.0, 273.0), (330.0, 410.0), (328.0, 489.0), (628.0, 311.0), (643.0, 404.0), (929.0, 389.0), (708.0, 99.0), (951.0, 209.0), (774.0, 130.0), (116.0, 69.0), (436.0, 619.0), (371.0, 429.0), (273.0, 105.0), (101.0, 482.0), (704.0, 995.0), (437.0, 601.0), (220.0, 307.0), (278.0, 434.0), (549.0, 329.0)]",634,21,16116.799463284986,38030
"[(3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (328.0, 489.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (898.0, 898.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (921.0, 964.0), (704.0, 995.0), (494.0, 898.0), (276.0, 666.0), (101.0, 482.0), (437.0, 601.0), (371.0, 429.0), (938.0, 646.0), (796.0, 310.0), (189.0, 739.0), (643.0, 404.0), (929.0, 389.0), (730.0, 742.0), (528.0, 794.0), (436.0, 619.0), (278.0, 434.0), (897.0, 324.0), (901.0, 639.0), (708.0, 99.0), (602.0, 68.0), (220.0, 307.0), (330.0, 410.0), (444.0, 428.0), (758.0, 405.0), (116.0, 69.0), (508.0, 31.0), (951.0, 209.0), (774.0, 130.0), (684.0, 273.0), (549.0, 329.0), (273.0, 105.0), (628.0, 311.0), (501.0, 287.0), (862.0, 361.0)]",497,22,16117.592792052656,29820
"[(437.0, 601.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (494.0, 898.0), (964.0, 726.0), (730.0, 742.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (328.0, 489.0), (116.0, 69.0), (101.0, 482.0), (436.0, 619.0), (189.0, 739.0), (220.0, 307.0), (330.0, 410.0), (929.0, 389.0), (951.0, 209.0), (643.0, 404.0), (774.0, 130.0), (708.0, 99.0), (602.0, 68.0), (875.0, 407.0), (549.0, 329.0), (273.0, 105.0), (684.0, 273.0), (724.0, 631.0), (444.0, 428.0), (278.0, 434.0), (628.0, 311.0), (761.0, 772.0), (862.0, 361.0), (528.0, 794.0), (371.0, 429.0), (345.0, 560.0), (276.0, 666.0), (501.0, 287.0), (508.0, 31.0)]",1178,23,16120.191311179864,70678
"[(704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (929.0, 389.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (328.0, 489.0), (101.0, 482.0), (437.0, 601.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (494.0, 898.0), (964.0, 726.0), (875.0, 407.0), (708.0, 99.0), (684.0, 273.0), (908.0, 534.0), (724.0, 631.0), (901.0, 639.0), (761.0, 772.0), (528.0, 794.0), (278.0, 434.0), (273.0, 105.0), (189.0, 739.0), (116.0, 69.0), (436.0, 619.0), (549.0, 329.0), (220.0, 307.0), (371.0, 429.0), (730.0, 742.0), (628.0, 311.0), (602.0, 68.0), (774.0, 130.0), (276.0, 666.0), (345.0, 560.0), (508.0, 31.0), (330.0, 410.0), (501.0, 287.0), (444.0, 428.0), (643.0, 404.0)]",953,24,16150.288802173025,57214
"[(328.0, 489.0), (101.0, 482.0), (3.0, 517.0), (116.0, 69.0), (98.0, 711.0), (2.0, 897.0), (213.0, 639.0), (276.0, 666.0), (189.0, 739.0), (528.0, 794.0), (436.0, 619.0), (45.0, 549.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (774.0, 130.0), (371.0, 429.0), (345.0, 560.0), (330.0, 410.0), (929.0, 389.0), (951.0, 209.0), (628.0, 311.0), (278.0, 434.0), (494.0, 898.0), (708.0, 99.0), (508.0, 31.0), (724.0, 631.0), (730.0, 742.0), (573.0, 903.0), (493.0, 970.0), (220.0, 307.0), (444.0, 428.0), (684.0, 273.0), (875.0, 407.0), (501.0, 287.0), (437.0, 601.0), (761.0, 772.0), (549.0, 329.0), (602.0, 68.0), (273.0, 105.0), (643.0, 404.0)]",995,25,16152.485302654117,59721
"[(875.0, 407.0), (761.0, 772.0), (921.0, 964.0), (704.0, 995.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (328.0, 489.0), (220.0, 307.0), (276.0, 666.0), (901.0, 639.0), (758.0, 405.0), (602.0, 68.0), (508.0, 31.0), (929.0, 389.0), (862.0, 361.0), (628.0, 311.0), (774.0, 130.0), (951.0, 209.0), (897.0, 324.0), (444.0, 428.0), (101.0, 482.0), (330.0, 410.0), (278.0, 434.0), (371.0, 429.0), (796.0, 310.0), (724.0, 631.0), (837.0, 787.0), (898.0, 898.0), (493.0, 970.0), (528.0, 794.0), (908.0, 534.0), (501.0, 287.0), (436.0, 619.0), (684.0, 273.0), (573.0, 903.0), (189.0, 739.0), (708.0, 99.0), (116.0, 69.0), (273.0, 105.0), (643.0, 404.0), (437.0, 601.0), (549.0, 329.0), (730.0, 742.0), (964.0, 726.0), (938.0, 646.0)]",284,26,16153.862691882327,17031
