pos,generation,rank,score
"[(704.0, 995.0), (898.0, 898.0), (758.0, 405.0), (929.0, 389.0), (964.0, 726.0), (908.0, 534.0), (875.0, 407.0), (684.0, 273.0), (796.0, 310.0), (643.0, 404.0), (628.0, 311.0), (437.0, 601.0), (837.0, 787.0), (730.0, 742.0), (724.0, 631.0), (444.0, 428.0), (116.0, 69.0), (862.0, 361.0), (938.0, 646.0), (901.0, 639.0), (921.0, 964.0), (189.0, 739.0), (276.0, 666.0), (2.0, 897.0), (98.0, 711.0), (330.0, 410.0), (220.0, 307.0), (573.0, 903.0), (897.0, 324.0), (508.0, 31.0), (501.0, 287.0), (951.0, 209.0), (436.0, 619.0), (328.0, 489.0), (273.0, 105.0), (3.0, 517.0), (549.0, 329.0), (774.0, 130.0), (278.0, 434.0), (213.0, 639.0), (101.0, 482.0), (602.0, 68.0), (371.0, 429.0), (345.0, 560.0), (761.0, 772.0), (45.0, 549.0), (708.0, 99.0), (528.0, 794.0), (493.0, 970.0), (494.0, 898.0)]",40,1,18745.35752517205
"[(45.0, 549.0), (101.0, 482.0), (436.0, 619.0), (494.0, 898.0), (704.0, 995.0), (898.0, 898.0), (758.0, 405.0), (929.0, 389.0), (938.0, 646.0), (573.0, 903.0), (276.0, 666.0), (684.0, 273.0), (862.0, 361.0), (708.0, 99.0), (643.0, 404.0), (837.0, 787.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (330.0, 410.0), (528.0, 794.0), (875.0, 407.0), (796.0, 310.0), (964.0, 726.0), (901.0, 639.0), (897.0, 324.0), (371.0, 429.0), (724.0, 631.0), (951.0, 209.0), (437.0, 601.0), (501.0, 287.0), (774.0, 130.0), (549.0, 329.0), (508.0, 31.0), (116.0, 69.0), (98.0, 711.0), (3.0, 517.0), (444.0, 428.0), (328.0, 489.0), (908.0, 534.0), (2.0, 897.0), (273.0, 105.0), (220.0, 307.0), (628.0, 311.0), (602.0, 68.0), (278.0, 434.0), (213.0, 639.0), (730.0, 742.0), (345.0, 560.0)]",50,2,18902.271809587728
"[(628.0, 311.0), (774.0, 130.0), (528.0, 794.0), (708.0, 99.0), (602.0, 68.0), (758.0, 405.0), (898.0, 898.0), (938.0, 646.0), (730.0, 742.0), (921.0, 964.0), (901.0, 639.0), (444.0, 428.0), (908.0, 534.0), (929.0, 389.0), (724.0, 631.0), (897.0, 324.0), (862.0, 361.0), (964.0, 726.0), (704.0, 995.0), (493.0, 970.0), (875.0, 407.0), (437.0, 601.0), (345.0, 560.0), (549.0, 329.0), (761.0, 772.0), (278.0, 434.0), (213.0, 639.0), (436.0, 619.0), (101.0, 482.0), (273.0, 105.0), (643.0, 404.0), (45.0, 549.0), (189.0, 739.0), (116.0, 69.0), (328.0, 489.0), (276.0, 666.0), (796.0, 310.0), (684.0, 273.0), (508.0, 31.0), (951.0, 209.0), (501.0, 287.0), (837.0, 787.0), (494.0, 898.0), (573.0, 903.0), (371.0, 429.0), (2.0, 897.0), (3.0, 517.0), (98.0, 711.0), (330.0, 410.0), (220.0, 307.0)]",32,3,18919.912157613002
"[(437.0, 601.0), (371.0, 429.0), (444.0, 428.0), (3.0, 517.0), (98.0, 711.0), (213.0, 639.0), (774.0, 130.0), (875.0, 407.0), (951.0, 209.0), (862.0, 361.0), (708.0, 99.0), (643.0, 404.0), (837.0, 787.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (45.0, 549.0), (101.0, 482.0), (436.0, 619.0), (730.0, 742.0), (964.0, 726.0), (758.0, 405.0), (796.0, 310.0), (501.0, 287.0), (494.0, 898.0), (328.0, 489.0), (116.0, 69.0), (330.0, 410.0), (901.0, 639.0), (508.0, 31.0), (898.0, 898.0), (929.0, 389.0), (938.0, 646.0), (573.0, 903.0), (276.0, 666.0), (684.0, 273.0), (704.0, 995.0), (273.0, 105.0), (220.0, 307.0), (278.0, 434.0), (2.0, 897.0), (345.0, 560.0), (528.0, 794.0), (602.0, 68.0), (628.0, 311.0), (549.0, 329.0), (724.0, 631.0), (897.0, 324.0), (908.0, 534.0)]",30,4,18973.041219327934
"[(371.0, 429.0), (330.0, 410.0), (628.0, 311.0), (2.0, 897.0), (276.0, 666.0), (220.0, 307.0), (929.0, 389.0), (875.0, 407.0), (708.0, 99.0), (774.0, 130.0), (837.0, 787.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (45.0, 549.0), (101.0, 482.0), (436.0, 619.0), (494.0, 898.0), (704.0, 995.0), (898.0, 898.0), (758.0, 405.0), (964.0, 726.0), (573.0, 903.0), (730.0, 742.0), (796.0, 310.0), (897.0, 324.0), (602.0, 68.0), (549.0, 329.0), (278.0, 434.0), (643.0, 404.0), (724.0, 631.0), (901.0, 639.0), (213.0, 639.0), (116.0, 69.0), (508.0, 31.0), (444.0, 428.0), (501.0, 287.0), (328.0, 489.0), (345.0, 560.0), (938.0, 646.0), (273.0, 105.0), (528.0, 794.0), (684.0, 273.0), (862.0, 361.0), (951.0, 209.0), (3.0, 517.0), (437.0, 601.0), (908.0, 534.0), (98.0, 711.0)]",38,5,19200.842367325167
"[(724.0, 631.0), (897.0, 324.0), (862.0, 361.0), (501.0, 287.0), (964.0, 726.0), (761.0, 772.0), (704.0, 995.0), (684.0, 273.0), (908.0, 534.0), (494.0, 898.0), (508.0, 31.0), (116.0, 69.0), (273.0, 105.0), (549.0, 329.0), (220.0, 307.0), (213.0, 639.0), (875.0, 407.0), (436.0, 619.0), (628.0, 311.0), (708.0, 99.0), (602.0, 68.0), (758.0, 405.0), (898.0, 898.0), (938.0, 646.0), (730.0, 742.0), (921.0, 964.0), (901.0, 639.0), (444.0, 428.0), (774.0, 130.0), (528.0, 794.0), (929.0, 389.0), (371.0, 429.0), (98.0, 711.0), (493.0, 970.0), (837.0, 787.0), (573.0, 903.0), (437.0, 601.0), (951.0, 209.0), (278.0, 434.0), (328.0, 489.0), (276.0, 666.0), (796.0, 310.0), (643.0, 404.0), (345.0, 560.0), (189.0, 739.0), (45.0, 549.0), (2.0, 897.0), (3.0, 517.0), (101.0, 482.0), (330.0, 410.0)]",15,6,19203.41903809834
"[(774.0, 130.0), (875.0, 407.0), (951.0, 209.0), (862.0, 361.0), (708.0, 99.0), (643.0, 404.0), (837.0, 787.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (45.0, 549.0), (330.0, 410.0), (436.0, 619.0), (528.0, 794.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (371.0, 429.0), (345.0, 560.0), (444.0, 428.0), (276.0, 666.0), (501.0, 287.0), (573.0, 903.0), (929.0, 389.0), (964.0, 726.0), (328.0, 489.0), (901.0, 639.0), (437.0, 601.0), (2.0, 897.0), (278.0, 434.0), (220.0, 307.0), (116.0, 69.0), (628.0, 311.0), (897.0, 324.0), (758.0, 405.0), (796.0, 310.0), (494.0, 898.0), (908.0, 534.0), (938.0, 646.0), (98.0, 711.0), (213.0, 639.0), (704.0, 995.0), (3.0, 517.0), (101.0, 482.0), (724.0, 631.0), (898.0, 898.0), (549.0, 329.0), (730.0, 742.0), (684.0, 273.0)]",40,7,19374.013766033804
"[(189.0, 739.0), (3.0, 517.0), (101.0, 482.0), (98.0, 711.0), (328.0, 489.0), (276.0, 666.0), (220.0, 307.0), (929.0, 389.0), (938.0, 646.0), (901.0, 639.0), (724.0, 631.0), (897.0, 324.0), (875.0, 407.0), (2.0, 897.0), (708.0, 99.0), (774.0, 130.0), (837.0, 787.0), (908.0, 534.0), (573.0, 903.0), (494.0, 898.0), (213.0, 639.0), (330.0, 410.0), (921.0, 964.0), (436.0, 619.0), (528.0, 794.0), (862.0, 361.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (371.0, 429.0), (345.0, 560.0), (444.0, 428.0), (45.0, 549.0), (704.0, 995.0), (501.0, 287.0), (761.0, 772.0), (951.0, 209.0), (684.0, 273.0), (278.0, 434.0), (643.0, 404.0), (549.0, 329.0), (628.0, 311.0), (116.0, 69.0), (898.0, 898.0), (493.0, 970.0), (730.0, 742.0), (964.0, 726.0), (758.0, 405.0), (796.0, 310.0), (437.0, 601.0)]",30,8,19429.65488994475
"[(45.0, 549.0), (330.0, 410.0), (436.0, 619.0), (528.0, 794.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (371.0, 429.0), (345.0, 560.0), (444.0, 428.0), (276.0, 666.0), (501.0, 287.0), (761.0, 772.0), (3.0, 517.0), (116.0, 69.0), (189.0, 739.0), (101.0, 482.0), (98.0, 711.0), (328.0, 489.0), (220.0, 307.0), (929.0, 389.0), (437.0, 601.0), (549.0, 329.0), (643.0, 404.0), (684.0, 273.0), (494.0, 898.0), (875.0, 407.0), (897.0, 324.0), (278.0, 434.0), (724.0, 631.0), (837.0, 787.0), (730.0, 742.0), (704.0, 995.0), (901.0, 639.0), (938.0, 646.0), (921.0, 964.0), (573.0, 903.0), (493.0, 970.0), (213.0, 639.0), (796.0, 310.0), (951.0, 209.0), (908.0, 534.0), (708.0, 99.0), (898.0, 898.0), (2.0, 897.0), (774.0, 130.0), (628.0, 311.0), (758.0, 405.0), (862.0, 361.0), (964.0, 726.0)]",49,9,19533.820476023622
"[(278.0, 434.0), (501.0, 287.0), (862.0, 361.0), (724.0, 631.0), (761.0, 772.0), (704.0, 995.0), (684.0, 273.0), (908.0, 534.0), (951.0, 209.0), (628.0, 311.0), (273.0, 105.0), (328.0, 489.0), (494.0, 898.0), (3.0, 517.0), (116.0, 69.0), (189.0, 739.0), (101.0, 482.0), (45.0, 549.0), (371.0, 429.0), (708.0, 99.0), (602.0, 68.0), (774.0, 130.0), (573.0, 903.0), (796.0, 310.0), (875.0, 407.0), (436.0, 619.0), (437.0, 601.0), (938.0, 646.0), (898.0, 898.0), (345.0, 560.0), (929.0, 389.0), (901.0, 639.0), (837.0, 787.0), (964.0, 726.0), (2.0, 897.0), (493.0, 970.0), (921.0, 964.0), (730.0, 742.0), (758.0, 405.0), (897.0, 324.0), (643.0, 404.0), (330.0, 410.0), (508.0, 31.0), (98.0, 711.0), (444.0, 428.0), (213.0, 639.0), (528.0, 794.0), (549.0, 329.0), (276.0, 666.0), (220.0, 307.0)]",45,10,19578.11870888334
