pos,generation,rank,score
"[(875.0, 407.0), (774.0, 130.0), (444.0, 428.0), (273.0, 105.0), (897.0, 324.0), (758.0, 405.0), (951.0, 209.0), (549.0, 329.0), (862.0, 361.0), (929.0, 389.0), (898.0, 898.0), (901.0, 639.0), (278.0, 434.0), (328.0, 489.0), (371.0, 429.0), (493.0, 970.0), (708.0, 99.0), (602.0, 68.0), (501.0, 287.0), (684.0, 273.0), (436.0, 619.0), (276.0, 666.0), (45.0, 549.0), (330.0, 410.0), (2.0, 897.0), (101.0, 482.0), (730.0, 742.0), (938.0, 646.0), (437.0, 601.0), (837.0, 787.0), (528.0, 794.0), (964.0, 726.0), (796.0, 310.0), (643.0, 404.0), (704.0, 995.0), (908.0, 534.0), (724.0, 631.0), (761.0, 772.0), (220.0, 307.0), (573.0, 903.0), (494.0, 898.0), (921.0, 964.0), (628.0, 311.0), (508.0, 31.0), (3.0, 517.0), (213.0, 639.0), (116.0, 69.0), (345.0, 560.0), (98.0, 711.0), (189.0, 739.0)]",13,11,19600.230193926607
"[(774.0, 130.0), (837.0, 787.0), (908.0, 534.0), (573.0, 903.0), (494.0, 898.0), (213.0, 639.0), (330.0, 410.0), (921.0, 964.0), (436.0, 619.0), (528.0, 794.0), (862.0, 361.0), (602.0, 68.0), (875.0, 407.0), (951.0, 209.0), (708.0, 99.0), (643.0, 404.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (45.0, 549.0), (444.0, 428.0), (345.0, 560.0), (730.0, 742.0), (964.0, 726.0), (938.0, 646.0), (704.0, 995.0), (901.0, 639.0), (898.0, 898.0), (796.0, 310.0), (278.0, 434.0), (929.0, 389.0), (897.0, 324.0), (220.0, 307.0), (116.0, 69.0), (98.0, 711.0), (501.0, 287.0), (371.0, 429.0), (328.0, 489.0), (101.0, 482.0), (437.0, 601.0), (276.0, 666.0), (2.0, 897.0), (758.0, 405.0), (684.0, 273.0), (273.0, 105.0), (549.0, 329.0), (628.0, 311.0), (508.0, 31.0), (724.0, 631.0), (3.0, 517.0)]",41,12,19623.804520096193
"[(508.0, 31.0), (897.0, 324.0), (758.0, 405.0), (951.0, 209.0), (908.0, 534.0), (761.0, 772.0), (549.0, 329.0), (273.0, 105.0), (862.0, 361.0), (929.0, 389.0), (898.0, 898.0), (901.0, 639.0), (437.0, 601.0), (724.0, 631.0), (213.0, 639.0), (276.0, 666.0), (220.0, 307.0), (602.0, 68.0), (938.0, 646.0), (837.0, 787.0), (493.0, 970.0), (921.0, 964.0), (730.0, 742.0), (494.0, 898.0), (3.0, 517.0), (116.0, 69.0), (684.0, 273.0), (189.0, 739.0), (101.0, 482.0), (45.0, 549.0), (573.0, 903.0), (345.0, 560.0), (796.0, 310.0), (708.0, 99.0), (875.0, 407.0), (774.0, 130.0), (704.0, 995.0), (501.0, 287.0), (964.0, 726.0), (643.0, 404.0), (436.0, 619.0), (528.0, 794.0), (444.0, 428.0), (278.0, 434.0), (328.0, 489.0), (371.0, 429.0), (330.0, 410.0), (628.0, 311.0), (2.0, 897.0), (98.0, 711.0)]",5,13,19638.963299385752
"[(528.0, 794.0), (278.0, 434.0), (494.0, 898.0), (929.0, 389.0), (761.0, 772.0), (964.0, 726.0), (837.0, 787.0), (908.0, 534.0), (875.0, 407.0), (684.0, 273.0), (796.0, 310.0), (643.0, 404.0), (371.0, 429.0), (444.0, 428.0), (3.0, 517.0), (98.0, 711.0), (213.0, 639.0), (774.0, 130.0), (951.0, 209.0), (862.0, 361.0), (708.0, 99.0), (549.0, 329.0), (330.0, 410.0), (345.0, 560.0), (2.0, 897.0), (101.0, 482.0), (45.0, 549.0), (724.0, 631.0), (921.0, 964.0), (493.0, 970.0), (436.0, 619.0), (328.0, 489.0), (704.0, 995.0), (116.0, 69.0), (602.0, 68.0), (938.0, 646.0), (276.0, 666.0), (758.0, 405.0), (220.0, 307.0), (897.0, 324.0), (898.0, 898.0), (501.0, 287.0), (189.0, 739.0), (573.0, 903.0), (730.0, 742.0), (901.0, 639.0), (437.0, 601.0), (628.0, 311.0), (508.0, 31.0), (273.0, 105.0)]",47,14,19698.06411924727
"[(796.0, 310.0), (549.0, 329.0), (628.0, 311.0), (273.0, 105.0), (101.0, 482.0), (189.0, 739.0), (98.0, 711.0), (501.0, 287.0), (276.0, 666.0), (328.0, 489.0), (3.0, 517.0), (116.0, 69.0), (330.0, 410.0), (2.0, 897.0), (220.0, 307.0), (929.0, 389.0), (875.0, 407.0), (708.0, 99.0), (774.0, 130.0), (837.0, 787.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (643.0, 404.0), (724.0, 631.0), (528.0, 794.0), (573.0, 903.0), (938.0, 646.0), (436.0, 619.0), (862.0, 361.0), (345.0, 560.0), (508.0, 31.0), (951.0, 209.0), (602.0, 68.0), (908.0, 534.0), (898.0, 898.0), (758.0, 405.0), (704.0, 995.0), (964.0, 726.0), (901.0, 639.0), (494.0, 898.0), (371.0, 429.0), (213.0, 639.0), (730.0, 742.0), (45.0, 549.0), (897.0, 324.0), (684.0, 273.0), (444.0, 428.0), (437.0, 601.0), (278.0, 434.0)]",47,15,19728.536070441623
"[(101.0, 482.0), (98.0, 711.0), (3.0, 517.0), (643.0, 404.0), (345.0, 560.0), (276.0, 666.0), (328.0, 489.0), (371.0, 429.0), (436.0, 619.0), (116.0, 69.0), (220.0, 307.0), (501.0, 287.0), (951.0, 209.0), (862.0, 361.0), (708.0, 99.0), (837.0, 787.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (45.0, 549.0), (330.0, 410.0), (437.0, 601.0), (508.0, 31.0), (684.0, 273.0), (602.0, 68.0), (758.0, 405.0), (273.0, 105.0), (964.0, 726.0), (929.0, 389.0), (444.0, 428.0), (2.0, 897.0), (875.0, 407.0), (573.0, 903.0), (938.0, 646.0), (901.0, 639.0), (528.0, 794.0), (908.0, 534.0), (796.0, 310.0), (774.0, 130.0), (213.0, 639.0), (549.0, 329.0), (278.0, 434.0), (724.0, 631.0), (730.0, 742.0), (628.0, 311.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (897.0, 324.0)]",46,16,19739.914839138193
"[(508.0, 31.0), (116.0, 69.0), (273.0, 105.0), (220.0, 307.0), (213.0, 639.0), (875.0, 407.0), (628.0, 311.0), (708.0, 99.0), (602.0, 68.0), (684.0, 273.0), (921.0, 964.0), (730.0, 742.0), (643.0, 404.0), (45.0, 549.0), (189.0, 739.0), (328.0, 489.0), (276.0, 666.0), (796.0, 310.0), (951.0, 209.0), (501.0, 287.0), (837.0, 787.0), (3.0, 517.0), (494.0, 898.0), (897.0, 324.0), (929.0, 389.0), (901.0, 639.0), (436.0, 619.0), (573.0, 903.0), (371.0, 429.0), (330.0, 410.0), (101.0, 482.0), (2.0, 897.0), (278.0, 434.0), (345.0, 560.0), (862.0, 361.0), (964.0, 726.0), (437.0, 601.0), (724.0, 631.0), (938.0, 646.0), (908.0, 534.0), (898.0, 898.0), (528.0, 794.0), (493.0, 970.0), (758.0, 405.0), (444.0, 428.0), (761.0, 772.0), (704.0, 995.0), (774.0, 130.0), (549.0, 329.0), (98.0, 711.0)]",34,17,19744.858949305337
"[(897.0, 324.0), (862.0, 361.0), (951.0, 209.0), (213.0, 639.0), (437.0, 601.0), (929.0, 389.0), (964.0, 726.0), (704.0, 995.0), (549.0, 329.0), (628.0, 311.0), (774.0, 130.0), (528.0, 794.0), (708.0, 99.0), (602.0, 68.0), (758.0, 405.0), (898.0, 898.0), (938.0, 646.0), (730.0, 742.0), (921.0, 964.0), (901.0, 639.0), (444.0, 428.0), (875.0, 407.0), (330.0, 410.0), (508.0, 31.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (3.0, 517.0), (643.0, 404.0), (345.0, 560.0), (276.0, 666.0), (328.0, 489.0), (371.0, 429.0), (436.0, 619.0), (116.0, 69.0), (220.0, 307.0), (501.0, 287.0), (573.0, 903.0), (494.0, 898.0), (278.0, 434.0), (273.0, 105.0), (189.0, 739.0), (493.0, 970.0), (796.0, 310.0), (2.0, 897.0), (761.0, 772.0), (837.0, 787.0), (724.0, 631.0), (684.0, 273.0), (908.0, 534.0)]",24,18,19815.15344066212
"[(444.0, 428.0), (908.0, 534.0), (929.0, 389.0), (724.0, 631.0), (897.0, 324.0), (862.0, 361.0), (964.0, 726.0), (704.0, 995.0), (493.0, 970.0), (875.0, 407.0), (437.0, 601.0), (345.0, 560.0), (602.0, 68.0), (758.0, 405.0), (898.0, 898.0), (938.0, 646.0), (2.0, 897.0), (837.0, 787.0), (573.0, 903.0), (494.0, 898.0), (213.0, 639.0), (330.0, 410.0), (708.0, 99.0), (643.0, 404.0), (951.0, 209.0), (761.0, 772.0), (508.0, 31.0), (774.0, 130.0), (901.0, 639.0), (371.0, 429.0), (45.0, 549.0), (528.0, 794.0), (730.0, 742.0), (220.0, 307.0), (684.0, 273.0), (796.0, 310.0), (549.0, 329.0), (628.0, 311.0), (273.0, 105.0), (101.0, 482.0), (189.0, 739.0), (98.0, 711.0), (501.0, 287.0), (276.0, 666.0), (328.0, 489.0), (3.0, 517.0), (116.0, 69.0), (278.0, 434.0), (436.0, 619.0), (921.0, 964.0)]",33,19,19827.937468007145
"[(938.0, 646.0), (837.0, 787.0), (493.0, 970.0), (921.0, 964.0), (730.0, 742.0), (494.0, 898.0), (3.0, 517.0), (116.0, 69.0), (684.0, 273.0), (189.0, 739.0), (101.0, 482.0), (45.0, 549.0), (328.0, 489.0), (371.0, 429.0), (708.0, 99.0), (602.0, 68.0), (501.0, 287.0), (436.0, 619.0), (276.0, 666.0), (330.0, 410.0), (2.0, 897.0), (273.0, 105.0), (897.0, 324.0), (862.0, 361.0), (951.0, 209.0), (213.0, 639.0), (437.0, 601.0), (929.0, 389.0), (964.0, 726.0), (704.0, 995.0), (549.0, 329.0), (628.0, 311.0), (774.0, 130.0), (528.0, 794.0), (761.0, 772.0), (908.0, 534.0), (901.0, 639.0), (345.0, 560.0), (220.0, 307.0), (98.0, 711.0), (875.0, 407.0), (796.0, 310.0), (573.0, 903.0), (278.0, 434.0), (724.0, 631.0), (898.0, 898.0), (643.0, 404.0), (508.0, 31.0), (444.0, 428.0), (758.0, 405.0)]",19,20,19838.23334251872
"[(684.0, 273.0), (508.0, 31.0), (951.0, 209.0), (501.0, 287.0), (837.0, 787.0), (494.0, 898.0), (573.0, 903.0), (371.0, 429.0), (2.0, 897.0), (3.0, 517.0), (98.0, 711.0), (330.0, 410.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (45.0, 549.0), (101.0, 482.0), (436.0, 619.0), (730.0, 742.0), (964.0, 726.0), (758.0, 405.0), (796.0, 310.0), (862.0, 361.0), (602.0, 68.0), (444.0, 428.0), (213.0, 639.0), (898.0, 898.0), (328.0, 489.0), (901.0, 639.0), (528.0, 794.0), (276.0, 666.0), (708.0, 99.0), (345.0, 560.0), (908.0, 534.0), (116.0, 69.0), (774.0, 130.0), (549.0, 329.0), (278.0, 434.0), (273.0, 105.0), (220.0, 307.0), (628.0, 311.0), (875.0, 407.0), (704.0, 995.0), (724.0, 631.0), (929.0, 389.0), (938.0, 646.0), (897.0, 324.0), (643.0, 404.0), (437.0, 601.0)]",49,21,19838.97409997738
"[(501.0, 287.0), (964.0, 726.0), (643.0, 404.0), (436.0, 619.0), (528.0, 794.0), (444.0, 428.0), (278.0, 434.0), (328.0, 489.0), (371.0, 429.0), (330.0, 410.0), (628.0, 311.0), (2.0, 897.0), (276.0, 666.0), (220.0, 307.0), (929.0, 389.0), (875.0, 407.0), (708.0, 99.0), (774.0, 130.0), (837.0, 787.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (437.0, 601.0), (897.0, 324.0), (549.0, 329.0), (704.0, 995.0), (938.0, 646.0), (951.0, 209.0), (98.0, 711.0), (758.0, 405.0), (345.0, 560.0), (213.0, 639.0), (724.0, 631.0), (898.0, 898.0), (730.0, 742.0), (908.0, 534.0), (508.0, 31.0), (101.0, 482.0), (494.0, 898.0), (573.0, 903.0), (862.0, 361.0), (901.0, 639.0), (684.0, 273.0), (796.0, 310.0), (116.0, 69.0), (3.0, 517.0), (45.0, 549.0), (602.0, 68.0), (273.0, 105.0)]",31,22,19898.693129883788
"[(938.0, 646.0), (837.0, 787.0), (493.0, 970.0), (921.0, 964.0), (730.0, 742.0), (494.0, 898.0), (3.0, 517.0), (116.0, 69.0), (684.0, 273.0), (189.0, 739.0), (101.0, 482.0), (45.0, 549.0), (345.0, 560.0), (508.0, 31.0), (964.0, 726.0), (898.0, 898.0), (573.0, 903.0), (724.0, 631.0), (704.0, 995.0), (213.0, 639.0), (278.0, 434.0), (796.0, 310.0), (951.0, 209.0), (437.0, 601.0), (862.0, 361.0), (708.0, 99.0), (643.0, 404.0), (371.0, 429.0), (98.0, 711.0), (528.0, 794.0), (276.0, 666.0), (330.0, 410.0), (758.0, 405.0), (549.0, 329.0), (436.0, 619.0), (897.0, 324.0), (761.0, 772.0), (2.0, 897.0), (628.0, 311.0), (774.0, 130.0), (444.0, 428.0), (501.0, 287.0), (602.0, 68.0), (273.0, 105.0), (328.0, 489.0), (220.0, 307.0), (908.0, 534.0), (929.0, 389.0), (901.0, 639.0), (875.0, 407.0)]",16,23,19908.911703798334
"[(898.0, 898.0), (938.0, 646.0), (116.0, 69.0), (3.0, 517.0), (330.0, 410.0), (901.0, 639.0), (573.0, 903.0), (436.0, 619.0), (189.0, 739.0), (101.0, 482.0), (220.0, 307.0), (345.0, 560.0), (328.0, 489.0), (371.0, 429.0), (708.0, 99.0), (602.0, 68.0), (501.0, 287.0), (276.0, 666.0), (2.0, 897.0), (273.0, 105.0), (897.0, 324.0), (862.0, 361.0), (758.0, 405.0), (493.0, 970.0), (704.0, 995.0), (45.0, 549.0), (508.0, 31.0), (528.0, 794.0), (278.0, 434.0), (494.0, 898.0), (929.0, 389.0), (761.0, 772.0), (964.0, 726.0), (837.0, 787.0), (908.0, 534.0), (875.0, 407.0), (684.0, 273.0), (796.0, 310.0), (643.0, 404.0), (628.0, 311.0), (437.0, 601.0), (730.0, 742.0), (724.0, 631.0), (444.0, 428.0), (213.0, 639.0), (921.0, 964.0), (774.0, 130.0), (951.0, 209.0), (98.0, 711.0), (549.0, 329.0)]",29,24,19968.45829998646
"[(837.0, 787.0), (921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (45.0, 549.0), (101.0, 482.0), (436.0, 619.0), (494.0, 898.0), (704.0, 995.0), (898.0, 898.0), (758.0, 405.0), (929.0, 389.0), (964.0, 726.0), (908.0, 534.0), (875.0, 407.0), (684.0, 273.0), (796.0, 310.0), (643.0, 404.0), (628.0, 311.0), (437.0, 601.0), (730.0, 742.0), (330.0, 410.0), (328.0, 489.0), (273.0, 105.0), (897.0, 324.0), (602.0, 68.0), (220.0, 307.0), (938.0, 646.0), (276.0, 666.0), (2.0, 897.0), (774.0, 130.0), (508.0, 31.0), (278.0, 434.0), (3.0, 517.0), (501.0, 287.0), (98.0, 711.0), (708.0, 99.0), (345.0, 560.0), (213.0, 639.0), (444.0, 428.0), (371.0, 429.0), (116.0, 69.0), (901.0, 639.0), (528.0, 794.0), (549.0, 329.0), (573.0, 903.0), (951.0, 209.0), (724.0, 631.0), (862.0, 361.0)]",37,25,20043.060941931748
"[(921.0, 964.0), (761.0, 772.0), (493.0, 970.0), (189.0, 739.0), (45.0, 549.0), (101.0, 482.0), (436.0, 619.0), (494.0, 898.0), (704.0, 995.0), (898.0, 898.0), (758.0, 405.0), (929.0, 389.0), (938.0, 646.0), (573.0, 903.0), (276.0, 666.0), (684.0, 273.0), (273.0, 105.0), (220.0, 307.0), (278.0, 434.0), (2.0, 897.0), (345.0, 560.0), (528.0, 794.0), (330.0, 410.0), (862.0, 361.0), (908.0, 534.0), (643.0, 404.0), (508.0, 31.0), (774.0, 130.0), (602.0, 68.0), (3.0, 517.0), (371.0, 429.0), (116.0, 69.0), (549.0, 329.0), (796.0, 310.0), (628.0, 311.0), (901.0, 639.0), (98.0, 711.0), (501.0, 287.0), (444.0, 428.0), (875.0, 407.0), (437.0, 601.0), (837.0, 787.0), (730.0, 742.0), (964.0, 726.0), (708.0, 99.0), (213.0, 639.0), (951.0, 209.0), (328.0, 489.0), (724.0, 631.0), (897.0, 324.0)]",39,26,20075.344045709073
"[(501.0, 287.0), (345.0, 560.0), (213.0, 639.0), (573.0, 903.0), (444.0, 428.0), (493.0, 970.0), (189.0, 739.0), (964.0, 726.0), (898.0, 898.0), (761.0, 772.0), (549.0, 329.0), (643.0, 404.0), (938.0, 646.0), (730.0, 742.0), (921.0, 964.0), (901.0, 639.0), (875.0, 407.0), (330.0, 410.0), (508.0, 31.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (796.0, 310.0), (758.0, 405.0), (628.0, 311.0), (2.0, 897.0), (276.0, 666.0), (436.0, 619.0), (951.0, 209.0), (897.0, 324.0), (3.0, 517.0), (862.0, 361.0), (908.0, 534.0), (837.0, 787.0), (437.0, 601.0), (278.0, 434.0), (273.0, 105.0), (220.0, 307.0), (684.0, 273.0), (602.0, 68.0), (708.0, 99.0), (704.0, 995.0), (528.0, 794.0), (494.0, 898.0), (328.0, 489.0), (724.0, 631.0), (774.0, 130.0), (116.0, 69.0), (929.0, 389.0), (371.0, 429.0)]",34,27,20090.704498011743
