pos,generation,rank,score,id
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26762,1,9230.136520768074,2140927
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26851,2,9230.136520768074,2148097
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26950,3,9230.136520768074,2156002
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26717,4,9230.136520768074,2137365
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26865,5,9230.136520768074,2149185
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26895,6,9230.136520768074,2151608
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26899,7,9230.136520768074,2151916
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26860,8,9230.136520768074,2148758
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26748,9,9230.136520768074,2139832
"[(494.0, 898.0), (704.0, 995.0), (921.0, 964.0), (898.0, 898.0), (493.0, 970.0), (573.0, 903.0), (730.0, 742.0), (761.0, 772.0), (837.0, 787.0), (964.0, 726.0), (938.0, 646.0), (901.0, 639.0), (908.0, 534.0), (929.0, 389.0), (862.0, 361.0), (875.0, 407.0), (951.0, 209.0), (897.0, 324.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (628.0, 311.0), (796.0, 310.0), (724.0, 631.0), (758.0, 405.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (220.0, 307.0), (116.0, 69.0), (330.0, 410.0), (213.0, 639.0), (3.0, 517.0), (45.0, 549.0), (101.0, 482.0), (98.0, 711.0), (189.0, 739.0), (2.0, 897.0), (328.0, 489.0), (345.0, 560.0), (371.0, 429.0), (278.0, 434.0), (444.0, 428.0), (437.0, 601.0), (436.0, 619.0), (276.0, 666.0), (528.0, 794.0)]",26952,10,9230.136520768074,2156146
