pos,generation,rank,score,id
"[(964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (643.0, 404.0), (758.0, 405.0), (684.0, 273.0), (628.0, 311.0), (549.0, 329.0), (501.0, 287.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (704.0, 995.0), (493.0, 970.0), (573.0, 903.0), (761.0, 772.0), (837.0, 787.0), (921.0, 964.0), (901.0, 639.0), (898.0, 898.0), (494.0, 898.0), (437.0, 601.0), (436.0, 619.0), (328.0, 489.0), (101.0, 482.0), (273.0, 105.0), (189.0, 739.0), (276.0, 666.0), (3.0, 517.0), (45.0, 549.0), (371.0, 429.0), (116.0, 69.0), (220.0, 307.0), (330.0, 410.0), (278.0, 434.0), (2.0, 897.0), (98.0, 711.0), (213.0, 639.0), (444.0, 428.0), (345.0, 560.0), (528.0, 794.0), (730.0, 742.0), (724.0, 631.0)]",7572,1,11819.988532535363,416472
"[(724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (643.0, 404.0), (758.0, 405.0), (684.0, 273.0), (628.0, 311.0), (549.0, 329.0), (501.0, 287.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (921.0, 964.0), (898.0, 898.0), (761.0, 772.0), (704.0, 995.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (901.0, 639.0), (494.0, 898.0), (730.0, 742.0), (528.0, 794.0), (278.0, 434.0), (45.0, 549.0), (189.0, 739.0), (371.0, 429.0), (3.0, 517.0), (2.0, 897.0), (213.0, 639.0), (345.0, 560.0), (437.0, 601.0), (273.0, 105.0), (116.0, 69.0), (220.0, 307.0), (101.0, 482.0), (98.0, 711.0), (444.0, 428.0), (328.0, 489.0), (276.0, 666.0), (330.0, 410.0), (436.0, 619.0)]",5302,2,11843.544234274803,291626
"[(643.0, 404.0), (758.0, 405.0), (684.0, 273.0), (628.0, 311.0), (549.0, 329.0), (501.0, 287.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (921.0, 964.0), (898.0, 898.0), (761.0, 772.0), (704.0, 995.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (901.0, 639.0), (494.0, 898.0), (730.0, 742.0), (724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (330.0, 410.0), (444.0, 428.0), (3.0, 517.0), (45.0, 549.0), (220.0, 307.0), (328.0, 489.0), (116.0, 69.0), (273.0, 105.0), (528.0, 794.0), (345.0, 560.0), (436.0, 619.0), (371.0, 429.0), (101.0, 482.0), (276.0, 666.0), (278.0, 434.0), (189.0, 739.0), (2.0, 897.0), (213.0, 639.0), (98.0, 711.0), (437.0, 601.0)]",7851,3,11878.731468291844,431807
"[(897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (921.0, 964.0), (898.0, 898.0), (761.0, 772.0), (704.0, 995.0), (493.0, 970.0), (573.0, 903.0), (494.0, 898.0), (730.0, 742.0), (724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (643.0, 404.0), (758.0, 405.0), (684.0, 273.0), (628.0, 311.0), (549.0, 329.0), (501.0, 287.0), (444.0, 428.0), (98.0, 711.0), (220.0, 307.0), (371.0, 429.0), (101.0, 482.0), (330.0, 410.0), (437.0, 601.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (189.0, 739.0), (276.0, 666.0), (213.0, 639.0), (528.0, 794.0), (837.0, 787.0), (901.0, 639.0), (2.0, 897.0), (328.0, 489.0), (436.0, 619.0), (345.0, 560.0), (116.0, 69.0), (273.0, 105.0)]",8992,4,11905.904609753123,494559
"[(684.0, 273.0), (628.0, 311.0), (549.0, 329.0), (501.0, 287.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (921.0, 964.0), (898.0, 898.0), (704.0, 995.0), (493.0, 970.0), (573.0, 903.0), (494.0, 898.0), (730.0, 742.0), (724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (643.0, 404.0), (758.0, 405.0), (761.0, 772.0), (528.0, 794.0), (901.0, 639.0), (837.0, 787.0), (276.0, 666.0), (3.0, 517.0), (116.0, 69.0), (345.0, 560.0), (213.0, 639.0), (45.0, 549.0), (330.0, 410.0), (273.0, 105.0), (444.0, 428.0), (371.0, 429.0), (437.0, 601.0), (328.0, 489.0), (278.0, 434.0), (436.0, 619.0), (98.0, 711.0), (2.0, 897.0), (189.0, 739.0), (101.0, 482.0), (220.0, 307.0)]",10738,5,11906.620190138814,590587
"[(549.0, 329.0), (628.0, 311.0), (501.0, 287.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (921.0, 964.0), (898.0, 898.0), (761.0, 772.0), (730.0, 742.0), (724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (758.0, 405.0), (684.0, 273.0), (437.0, 601.0), (328.0, 489.0), (220.0, 307.0), (371.0, 429.0), (101.0, 482.0), (45.0, 549.0), (116.0, 69.0), (273.0, 105.0), (444.0, 428.0), (330.0, 410.0), (3.0, 517.0), (213.0, 639.0), (528.0, 794.0), (2.0, 897.0), (98.0, 711.0), (493.0, 970.0), (494.0, 898.0), (643.0, 404.0), (901.0, 639.0), (837.0, 787.0), (704.0, 995.0), (573.0, 903.0), (278.0, 434.0), (436.0, 619.0), (189.0, 739.0), (276.0, 666.0), (345.0, 560.0)]",5485,6,11929.359368147181,301668
"[(549.0, 329.0), (501.0, 287.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (921.0, 964.0), (898.0, 898.0), (761.0, 772.0), (704.0, 995.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (901.0, 639.0), (494.0, 898.0), (730.0, 742.0), (724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (643.0, 404.0), (758.0, 405.0), (684.0, 273.0), (330.0, 410.0), (220.0, 307.0), (436.0, 619.0), (528.0, 794.0), (3.0, 517.0), (2.0, 897.0), (98.0, 711.0), (101.0, 482.0), (189.0, 739.0), (276.0, 666.0), (328.0, 489.0), (116.0, 69.0), (273.0, 105.0), (371.0, 429.0), (278.0, 434.0), (213.0, 639.0), (437.0, 601.0), (45.0, 549.0), (345.0, 560.0), (444.0, 428.0), (628.0, 311.0)]",11624,7,11997.554203602798,639314
"[(493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (901.0, 639.0), (494.0, 898.0), (730.0, 742.0), (724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (643.0, 404.0), (758.0, 405.0), (684.0, 273.0), (628.0, 311.0), (549.0, 329.0), (501.0, 287.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (921.0, 964.0), (898.0, 898.0), (761.0, 772.0), (704.0, 995.0), (328.0, 489.0), (371.0, 429.0), (330.0, 410.0), (98.0, 711.0), (276.0, 666.0), (345.0, 560.0), (436.0, 619.0), (528.0, 794.0), (220.0, 307.0), (45.0, 549.0), (101.0, 482.0), (3.0, 517.0), (437.0, 601.0), (213.0, 639.0), (189.0, 739.0), (2.0, 897.0), (444.0, 428.0), (116.0, 69.0), (273.0, 105.0), (278.0, 434.0)]",11094,8,12005.768570399841,610163
"[(643.0, 404.0), (758.0, 405.0), (684.0, 273.0), (628.0, 311.0), (549.0, 329.0), (501.0, 287.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (704.0, 995.0), (493.0, 970.0), (573.0, 903.0), (761.0, 772.0), (837.0, 787.0), (921.0, 964.0), (901.0, 639.0), (898.0, 898.0), (494.0, 898.0), (730.0, 742.0), (724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (528.0, 794.0), (436.0, 619.0), (444.0, 428.0), (278.0, 434.0), (437.0, 601.0), (345.0, 560.0), (2.0, 897.0), (3.0, 517.0), (328.0, 489.0), (213.0, 639.0), (45.0, 549.0), (273.0, 105.0), (220.0, 307.0), (98.0, 711.0), (189.0, 739.0), (101.0, 482.0), (330.0, 410.0), (371.0, 429.0), (116.0, 69.0), (276.0, 666.0)]",7982,9,12013.389042885969,439049
"[(494.0, 898.0), (730.0, 742.0), (724.0, 631.0), (964.0, 726.0), (862.0, 361.0), (875.0, 407.0), (938.0, 646.0), (758.0, 405.0), (684.0, 273.0), (897.0, 324.0), (951.0, 209.0), (774.0, 130.0), (708.0, 99.0), (508.0, 31.0), (602.0, 68.0), (796.0, 310.0), (929.0, 389.0), (908.0, 534.0), (704.0, 995.0), (493.0, 970.0), (573.0, 903.0), (761.0, 772.0), (837.0, 787.0), (921.0, 964.0), (528.0, 794.0), (901.0, 639.0), (898.0, 898.0), (189.0, 739.0), (213.0, 639.0), (276.0, 666.0), (437.0, 601.0), (371.0, 429.0), (278.0, 434.0), (45.0, 549.0), (2.0, 897.0), (3.0, 517.0), (98.0, 711.0), (345.0, 560.0), (549.0, 329.0), (628.0, 311.0), (501.0, 287.0), (328.0, 489.0), (101.0, 482.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (444.0, 428.0), (436.0, 619.0), (643.0, 404.0), (330.0, 410.0)]",310,10,12046.69641729686,17074
