pos,generation,rank,score
"[(684.0, 273.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (921.0, 964.0), (704.0, 995.0), (901.0, 639.0), (964.0, 726.0), (929.0, 389.0), (875.0, 407.0), (116.0, 69.0), (220.0, 307.0), (549.0, 329.0), (602.0, 68.0), (628.0, 311.0), (951.0, 209.0), (862.0, 361.0), (758.0, 405.0), (908.0, 534.0), (276.0, 666.0), (898.0, 898.0), (837.0, 787.0), (761.0, 772.0), (897.0, 324.0), (371.0, 429.0), (98.0, 711.0), (938.0, 646.0), (730.0, 742.0), (273.0, 105.0), (3.0, 517.0), (189.0, 739.0), (101.0, 482.0), (437.0, 601.0), (494.0, 898.0), (345.0, 560.0), (796.0, 310.0), (573.0, 903.0), (724.0, 631.0), (45.0, 549.0), (330.0, 410.0), (501.0, 287.0), (278.0, 434.0), (643.0, 404.0), (2.0, 897.0), (213.0, 639.0), (328.0, 489.0), (444.0, 428.0), (436.0, 619.0), (528.0, 794.0), (493.0, 970.0)]",47,1,18349.726100846514
"[(444.0, 428.0), (371.0, 429.0), (116.0, 69.0), (45.0, 549.0), (837.0, 787.0), (898.0, 898.0), (730.0, 742.0), (901.0, 639.0), (921.0, 964.0), (761.0, 772.0), (684.0, 273.0), (189.0, 739.0), (330.0, 410.0), (494.0, 898.0), (493.0, 970.0), (328.0, 489.0), (501.0, 287.0), (278.0, 434.0), (276.0, 666.0), (3.0, 517.0), (273.0, 105.0), (573.0, 903.0), (951.0, 209.0), (758.0, 405.0), (602.0, 68.0), (549.0, 329.0), (796.0, 310.0), (708.0, 99.0), (774.0, 130.0), (897.0, 324.0), (508.0, 31.0), (2.0, 897.0), (964.0, 726.0), (938.0, 646.0), (875.0, 407.0), (908.0, 534.0), (862.0, 361.0), (528.0, 794.0), (220.0, 307.0), (436.0, 619.0), (437.0, 601.0), (704.0, 995.0), (724.0, 631.0), (101.0, 482.0), (98.0, 711.0), (643.0, 404.0), (929.0, 389.0), (628.0, 311.0), (213.0, 639.0), (345.0, 560.0)]",44,2,19000.993225140206
"[(708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (929.0, 389.0), (862.0, 361.0), (921.0, 964.0), (704.0, 995.0), (938.0, 646.0), (758.0, 405.0), (345.0, 560.0), (101.0, 482.0), (273.0, 105.0), (628.0, 311.0), (437.0, 601.0), (964.0, 726.0), (549.0, 329.0), (643.0, 404.0), (897.0, 324.0), (875.0, 407.0), (371.0, 429.0), (444.0, 428.0), (436.0, 619.0), (494.0, 898.0), (724.0, 631.0), (220.0, 307.0), (501.0, 287.0), (330.0, 410.0), (901.0, 639.0), (908.0, 534.0), (602.0, 68.0), (796.0, 310.0), (573.0, 903.0), (730.0, 742.0), (951.0, 209.0), (493.0, 970.0), (3.0, 517.0), (213.0, 639.0), (98.0, 711.0), (684.0, 273.0), (528.0, 794.0), (2.0, 897.0), (328.0, 489.0), (189.0, 739.0), (45.0, 549.0), (116.0, 69.0), (278.0, 434.0), (898.0, 898.0), (837.0, 787.0), (761.0, 772.0), (276.0, 666.0)]",50,3,19276.61792694515
"[(837.0, 787.0), (929.0, 389.0), (774.0, 130.0), (875.0, 407.0), (116.0, 69.0), (220.0, 307.0), (796.0, 310.0), (951.0, 209.0), (862.0, 361.0), (602.0, 68.0), (897.0, 324.0), (684.0, 273.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (371.0, 429.0), (278.0, 434.0), (494.0, 898.0), (921.0, 964.0), (908.0, 534.0), (730.0, 742.0), (189.0, 739.0), (98.0, 711.0), (330.0, 410.0), (508.0, 31.0), (213.0, 639.0), (101.0, 482.0), (345.0, 560.0), (276.0, 666.0), (328.0, 489.0), (273.0, 105.0), (761.0, 772.0), (901.0, 639.0), (708.0, 99.0), (45.0, 549.0), (528.0, 794.0), (493.0, 970.0), (704.0, 995.0), (898.0, 898.0), (938.0, 646.0), (437.0, 601.0), (436.0, 619.0), (628.0, 311.0), (3.0, 517.0), (573.0, 903.0), (758.0, 405.0), (964.0, 726.0), (444.0, 428.0), (2.0, 897.0), (724.0, 631.0)]",45,4,19384.203363675395
"[(213.0, 639.0), (2.0, 897.0), (101.0, 482.0), (3.0, 517.0), (371.0, 429.0), (273.0, 105.0), (573.0, 903.0), (730.0, 742.0), (278.0, 434.0), (45.0, 549.0), (436.0, 619.0), (345.0, 560.0), (116.0, 69.0), (837.0, 787.0), (898.0, 898.0), (901.0, 639.0), (921.0, 964.0), (761.0, 772.0), (684.0, 273.0), (508.0, 31.0), (774.0, 130.0), (708.0, 99.0), (643.0, 404.0), (220.0, 307.0), (98.0, 711.0), (875.0, 407.0), (704.0, 995.0), (328.0, 489.0), (494.0, 898.0), (528.0, 794.0), (724.0, 631.0), (437.0, 601.0), (189.0, 739.0), (938.0, 646.0), (549.0, 329.0), (758.0, 405.0), (493.0, 970.0), (276.0, 666.0), (330.0, 410.0), (897.0, 324.0), (796.0, 310.0), (862.0, 361.0), (501.0, 287.0), (628.0, 311.0), (602.0, 68.0), (929.0, 389.0), (951.0, 209.0), (908.0, 534.0), (444.0, 428.0), (964.0, 726.0)]",37,5,19392.064784413713
"[(549.0, 329.0), (908.0, 534.0), (494.0, 898.0), (493.0, 970.0), (724.0, 631.0), (761.0, 772.0), (528.0, 794.0), (796.0, 310.0), (684.0, 273.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (929.0, 389.0), (862.0, 361.0), (921.0, 964.0), (704.0, 995.0), (938.0, 646.0), (758.0, 405.0), (345.0, 560.0), (101.0, 482.0), (273.0, 105.0), (371.0, 429.0), (901.0, 639.0), (964.0, 726.0), (951.0, 209.0), (2.0, 897.0), (3.0, 517.0), (437.0, 601.0), (837.0, 787.0), (573.0, 903.0), (444.0, 428.0), (213.0, 639.0), (730.0, 742.0), (330.0, 410.0), (116.0, 69.0), (875.0, 407.0), (278.0, 434.0), (628.0, 311.0), (501.0, 287.0), (643.0, 404.0), (602.0, 68.0), (897.0, 324.0), (436.0, 619.0), (45.0, 549.0), (276.0, 666.0), (328.0, 489.0), (898.0, 898.0), (189.0, 739.0), (98.0, 711.0), (220.0, 307.0)]",40,6,19405.401907474305
"[(862.0, 361.0), (330.0, 410.0), (501.0, 287.0), (116.0, 69.0), (758.0, 405.0), (549.0, 329.0), (908.0, 534.0), (494.0, 898.0), (493.0, 970.0), (724.0, 631.0), (901.0, 639.0), (708.0, 99.0), (761.0, 772.0), (528.0, 794.0), (796.0, 310.0), (684.0, 273.0), (508.0, 31.0), (774.0, 130.0), (921.0, 964.0), (938.0, 646.0), (929.0, 389.0), (897.0, 324.0), (436.0, 619.0), (98.0, 711.0), (2.0, 897.0), (278.0, 434.0), (602.0, 68.0), (951.0, 209.0), (837.0, 787.0), (345.0, 560.0), (273.0, 105.0), (444.0, 428.0), (371.0, 429.0), (437.0, 601.0), (328.0, 489.0), (276.0, 666.0), (3.0, 517.0), (730.0, 742.0), (898.0, 898.0), (704.0, 995.0), (964.0, 726.0), (213.0, 639.0), (101.0, 482.0), (45.0, 549.0), (189.0, 739.0), (875.0, 407.0), (643.0, 404.0), (220.0, 307.0), (628.0, 311.0), (573.0, 903.0)]",48,7,19451.342816737408
"[(704.0, 995.0), (761.0, 772.0), (837.0, 787.0), (929.0, 389.0), (774.0, 130.0), (875.0, 407.0), (116.0, 69.0), (220.0, 307.0), (796.0, 310.0), (951.0, 209.0), (862.0, 361.0), (602.0, 68.0), (897.0, 324.0), (684.0, 273.0), (328.0, 489.0), (276.0, 666.0), (273.0, 105.0), (964.0, 726.0), (628.0, 311.0), (730.0, 742.0), (898.0, 898.0), (724.0, 631.0), (549.0, 329.0), (643.0, 404.0), (494.0, 898.0), (528.0, 794.0), (278.0, 434.0), (345.0, 560.0), (189.0, 739.0), (493.0, 970.0), (573.0, 903.0), (437.0, 601.0), (758.0, 405.0), (938.0, 646.0), (908.0, 534.0), (213.0, 639.0), (98.0, 711.0), (3.0, 517.0), (101.0, 482.0), (501.0, 287.0), (45.0, 549.0), (508.0, 31.0), (330.0, 410.0), (371.0, 429.0), (901.0, 639.0), (444.0, 428.0), (708.0, 99.0), (2.0, 897.0), (921.0, 964.0), (436.0, 619.0)]",32,8,19517.096893559377
"[(724.0, 631.0), (761.0, 772.0), (528.0, 794.0), (796.0, 310.0), (684.0, 273.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (921.0, 964.0), (704.0, 995.0), (901.0, 639.0), (964.0, 726.0), (929.0, 389.0), (875.0, 407.0), (116.0, 69.0), (220.0, 307.0), (951.0, 209.0), (862.0, 361.0), (602.0, 68.0), (897.0, 324.0), (328.0, 489.0), (345.0, 560.0), (437.0, 601.0), (98.0, 711.0), (493.0, 970.0), (444.0, 428.0), (189.0, 739.0), (276.0, 666.0), (898.0, 898.0), (494.0, 898.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (938.0, 646.0), (573.0, 903.0), (501.0, 287.0), (908.0, 534.0), (213.0, 639.0), (371.0, 429.0), (837.0, 787.0), (758.0, 405.0), (273.0, 105.0), (436.0, 619.0), (730.0, 742.0), (330.0, 410.0), (643.0, 404.0), (628.0, 311.0), (101.0, 482.0), (549.0, 329.0), (278.0, 434.0)]",45,9,19680.73811570147
"[(436.0, 619.0), (345.0, 560.0), (278.0, 434.0), (189.0, 739.0), (213.0, 639.0), (494.0, 898.0), (276.0, 666.0), (328.0, 489.0), (98.0, 711.0), (964.0, 726.0), (929.0, 389.0), (897.0, 324.0), (444.0, 428.0), (371.0, 429.0), (116.0, 69.0), (45.0, 549.0), (837.0, 787.0), (898.0, 898.0), (730.0, 742.0), (901.0, 639.0), (921.0, 964.0), (761.0, 772.0), (684.0, 273.0), (273.0, 105.0), (508.0, 31.0), (875.0, 407.0), (549.0, 329.0), (643.0, 404.0), (796.0, 310.0), (774.0, 130.0), (528.0, 794.0), (437.0, 601.0), (2.0, 897.0), (573.0, 903.0), (862.0, 361.0), (3.0, 517.0), (501.0, 287.0), (101.0, 482.0), (724.0, 631.0), (493.0, 970.0), (704.0, 995.0), (628.0, 311.0), (908.0, 534.0), (602.0, 68.0), (951.0, 209.0), (938.0, 646.0), (220.0, 307.0), (708.0, 99.0), (758.0, 405.0), (330.0, 410.0)]",31,10,19683.146527903747
