pos,generation,rank,score
"[(901.0, 639.0), (493.0, 970.0), (2.0, 897.0), (45.0, 549.0), (528.0, 794.0), (898.0, 898.0), (437.0, 601.0), (758.0, 405.0), (684.0, 273.0), (708.0, 99.0), (328.0, 489.0), (436.0, 619.0), (501.0, 287.0), (643.0, 404.0), (549.0, 329.0), (371.0, 429.0), (278.0, 434.0), (494.0, 898.0), (921.0, 964.0), (908.0, 534.0), (730.0, 742.0), (189.0, 739.0), (98.0, 711.0), (330.0, 410.0), (508.0, 31.0), (573.0, 903.0), (938.0, 646.0), (3.0, 517.0), (273.0, 105.0), (444.0, 428.0), (628.0, 311.0), (964.0, 726.0), (897.0, 324.0), (213.0, 639.0), (101.0, 482.0), (704.0, 995.0), (761.0, 772.0), (837.0, 787.0), (929.0, 389.0), (774.0, 130.0), (875.0, 407.0), (116.0, 69.0), (220.0, 307.0), (796.0, 310.0), (951.0, 209.0), (862.0, 361.0), (602.0, 68.0), (724.0, 631.0), (276.0, 666.0), (345.0, 560.0)]",21,11,19780.70375356812
"[(371.0, 429.0), (730.0, 742.0), (908.0, 534.0), (549.0, 329.0), (938.0, 646.0), (761.0, 772.0), (493.0, 970.0), (901.0, 639.0), (921.0, 964.0), (2.0, 897.0), (101.0, 482.0), (3.0, 517.0), (837.0, 787.0), (898.0, 898.0), (684.0, 273.0), (273.0, 105.0), (508.0, 31.0), (875.0, 407.0), (643.0, 404.0), (796.0, 310.0), (494.0, 898.0), (345.0, 560.0), (278.0, 434.0), (45.0, 549.0), (628.0, 311.0), (276.0, 666.0), (501.0, 287.0), (328.0, 489.0), (330.0, 410.0), (704.0, 995.0), (708.0, 99.0), (862.0, 361.0), (220.0, 307.0), (116.0, 69.0), (758.0, 405.0), (573.0, 903.0), (437.0, 601.0), (436.0, 619.0), (774.0, 130.0), (724.0, 631.0), (964.0, 726.0), (929.0, 389.0), (897.0, 324.0), (951.0, 209.0), (602.0, 68.0), (98.0, 711.0), (189.0, 739.0), (213.0, 639.0), (528.0, 794.0), (444.0, 428.0)]",37,12,19812.697190575807
"[(437.0, 601.0), (573.0, 903.0), (3.0, 517.0), (98.0, 711.0), (444.0, 428.0), (908.0, 534.0), (897.0, 324.0), (345.0, 560.0), (494.0, 898.0), (436.0, 619.0), (898.0, 898.0), (549.0, 329.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (901.0, 639.0), (116.0, 69.0), (602.0, 68.0), (628.0, 311.0), (964.0, 726.0), (929.0, 389.0), (951.0, 209.0), (684.0, 273.0), (2.0, 897.0), (213.0, 639.0), (761.0, 772.0), (189.0, 739.0), (45.0, 549.0), (328.0, 489.0), (276.0, 666.0), (101.0, 482.0), (528.0, 794.0), (921.0, 964.0), (724.0, 631.0), (938.0, 646.0), (875.0, 407.0), (758.0, 405.0), (862.0, 361.0), (730.0, 742.0), (704.0, 995.0), (501.0, 287.0), (796.0, 310.0), (273.0, 105.0), (643.0, 404.0), (371.0, 429.0), (493.0, 970.0), (837.0, 787.0), (278.0, 434.0), (330.0, 410.0), (220.0, 307.0)]",44,13,19828.458006099525
"[(276.0, 666.0), (328.0, 489.0), (98.0, 711.0), (964.0, 726.0), (929.0, 389.0), (897.0, 324.0), (444.0, 428.0), (371.0, 429.0), (116.0, 69.0), (45.0, 549.0), (837.0, 787.0), (898.0, 898.0), (708.0, 99.0), (704.0, 995.0), (724.0, 631.0), (758.0, 405.0), (951.0, 209.0), (774.0, 130.0), (220.0, 307.0), (3.0, 517.0), (345.0, 560.0), (213.0, 639.0), (573.0, 903.0), (494.0, 898.0), (730.0, 742.0), (273.0, 105.0), (549.0, 329.0), (938.0, 646.0), (761.0, 772.0), (901.0, 639.0), (602.0, 68.0), (875.0, 407.0), (508.0, 31.0), (501.0, 287.0), (189.0, 739.0), (2.0, 897.0), (921.0, 964.0), (628.0, 311.0), (796.0, 310.0), (862.0, 361.0), (908.0, 534.0), (101.0, 482.0), (643.0, 404.0), (493.0, 970.0), (528.0, 794.0), (330.0, 410.0), (278.0, 434.0), (684.0, 273.0), (437.0, 601.0), (436.0, 619.0)]",35,14,19833.634735585594
"[(45.0, 549.0), (116.0, 69.0), (494.0, 898.0), (684.0, 273.0), (189.0, 739.0), (213.0, 639.0), (330.0, 410.0), (276.0, 666.0), (2.0, 897.0), (3.0, 517.0), (328.0, 489.0), (345.0, 560.0), (220.0, 307.0), (938.0, 646.0), (704.0, 995.0), (921.0, 964.0), (436.0, 619.0), (278.0, 434.0), (98.0, 711.0), (528.0, 794.0), (573.0, 903.0), (908.0, 534.0), (628.0, 311.0), (508.0, 31.0), (437.0, 601.0), (964.0, 726.0), (549.0, 329.0), (643.0, 404.0), (897.0, 324.0), (875.0, 407.0), (371.0, 429.0), (708.0, 99.0), (273.0, 105.0), (444.0, 428.0), (101.0, 482.0), (837.0, 787.0), (929.0, 389.0), (951.0, 209.0), (758.0, 405.0), (724.0, 631.0), (901.0, 639.0), (602.0, 68.0), (774.0, 130.0), (501.0, 287.0), (730.0, 742.0), (761.0, 772.0), (493.0, 970.0), (862.0, 361.0), (796.0, 310.0), (898.0, 898.0)]",28,15,19884.627226280434
"[(278.0, 434.0), (444.0, 428.0), (371.0, 429.0), (116.0, 69.0), (45.0, 549.0), (837.0, 787.0), (898.0, 898.0), (730.0, 742.0), (901.0, 639.0), (921.0, 964.0), (761.0, 772.0), (684.0, 273.0), (189.0, 739.0), (213.0, 639.0), (437.0, 601.0), (494.0, 898.0), (276.0, 666.0), (328.0, 489.0), (98.0, 711.0), (938.0, 646.0), (964.0, 726.0), (929.0, 389.0), (897.0, 324.0), (628.0, 311.0), (643.0, 404.0), (501.0, 287.0), (549.0, 329.0), (528.0, 794.0), (796.0, 310.0), (101.0, 482.0), (2.0, 897.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (602.0, 68.0), (875.0, 407.0), (330.0, 410.0), (708.0, 99.0), (951.0, 209.0), (508.0, 31.0), (724.0, 631.0), (436.0, 619.0), (774.0, 130.0), (862.0, 361.0), (220.0, 307.0), (704.0, 995.0), (3.0, 517.0), (273.0, 105.0), (758.0, 405.0), (908.0, 534.0)]",29,16,19947.54128683127
"[(938.0, 646.0), (704.0, 995.0), (921.0, 964.0), (436.0, 619.0), (278.0, 434.0), (98.0, 711.0), (528.0, 794.0), (573.0, 903.0), (45.0, 549.0), (371.0, 429.0), (213.0, 639.0), (276.0, 666.0), (796.0, 310.0), (684.0, 273.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (901.0, 639.0), (964.0, 726.0), (220.0, 307.0), (328.0, 489.0), (862.0, 361.0), (758.0, 405.0), (761.0, 772.0), (494.0, 898.0), (897.0, 324.0), (908.0, 534.0), (837.0, 787.0), (898.0, 898.0), (628.0, 311.0), (549.0, 329.0), (730.0, 742.0), (493.0, 970.0), (345.0, 560.0), (444.0, 428.0), (3.0, 517.0), (724.0, 631.0), (875.0, 407.0), (501.0, 287.0), (330.0, 410.0), (602.0, 68.0), (643.0, 404.0), (951.0, 209.0), (116.0, 69.0), (273.0, 105.0), (189.0, 739.0), (437.0, 601.0), (101.0, 482.0), (929.0, 389.0), (2.0, 897.0)]",51,17,19997.855450594172
"[(837.0, 787.0), (628.0, 311.0), (862.0, 361.0), (330.0, 410.0), (501.0, 287.0), (116.0, 69.0), (758.0, 405.0), (549.0, 329.0), (908.0, 534.0), (494.0, 898.0), (493.0, 970.0), (724.0, 631.0), (761.0, 772.0), (528.0, 794.0), (796.0, 310.0), (684.0, 273.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (921.0, 964.0), (704.0, 995.0), (901.0, 639.0), (964.0, 726.0), (573.0, 903.0), (220.0, 307.0), (436.0, 619.0), (101.0, 482.0), (898.0, 898.0), (938.0, 646.0), (929.0, 389.0), (875.0, 407.0), (730.0, 742.0), (3.0, 517.0), (328.0, 489.0), (278.0, 434.0), (951.0, 209.0), (437.0, 601.0), (276.0, 666.0), (897.0, 324.0), (273.0, 105.0), (213.0, 639.0), (189.0, 739.0), (643.0, 404.0), (371.0, 429.0), (345.0, 560.0), (602.0, 68.0), (444.0, 428.0), (2.0, 897.0), (45.0, 549.0), (98.0, 711.0)]",33,18,20022.0795652257
"[(189.0, 739.0), (501.0, 287.0), (643.0, 404.0), (938.0, 646.0), (875.0, 407.0), (508.0, 31.0), (602.0, 68.0), (444.0, 428.0), (774.0, 130.0), (3.0, 517.0), (220.0, 307.0), (116.0, 69.0), (758.0, 405.0), (684.0, 273.0), (708.0, 99.0), (328.0, 489.0), (436.0, 619.0), (549.0, 329.0), (371.0, 429.0), (278.0, 434.0), (494.0, 898.0), (921.0, 964.0), (796.0, 310.0), (101.0, 482.0), (45.0, 549.0), (98.0, 711.0), (276.0, 666.0), (964.0, 726.0), (837.0, 787.0), (704.0, 995.0), (761.0, 772.0), (213.0, 639.0), (273.0, 105.0), (724.0, 631.0), (345.0, 560.0), (330.0, 410.0), (573.0, 903.0), (929.0, 389.0), (730.0, 742.0), (898.0, 898.0), (897.0, 324.0), (493.0, 970.0), (2.0, 897.0), (528.0, 794.0), (437.0, 601.0), (951.0, 209.0), (628.0, 311.0), (908.0, 534.0), (862.0, 361.0), (901.0, 639.0)]",26,19,20040.824396819396
"[(493.0, 970.0), (724.0, 631.0), (761.0, 772.0), (528.0, 794.0), (796.0, 310.0), (684.0, 273.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (921.0, 964.0), (704.0, 995.0), (901.0, 639.0), (444.0, 428.0), (330.0, 410.0), (437.0, 601.0), (897.0, 324.0), (929.0, 389.0), (549.0, 329.0), (875.0, 407.0), (837.0, 787.0), (213.0, 639.0), (2.0, 897.0), (101.0, 482.0), (3.0, 517.0), (371.0, 429.0), (273.0, 105.0), (573.0, 903.0), (730.0, 742.0), (278.0, 434.0), (45.0, 549.0), (436.0, 619.0), (345.0, 560.0), (862.0, 361.0), (898.0, 898.0), (643.0, 404.0), (951.0, 209.0), (602.0, 68.0), (494.0, 898.0), (116.0, 69.0), (98.0, 711.0), (938.0, 646.0), (220.0, 307.0), (189.0, 739.0), (276.0, 666.0), (328.0, 489.0), (908.0, 534.0), (964.0, 726.0), (758.0, 405.0), (628.0, 311.0), (501.0, 287.0)]",34,20,20048.836559750922
"[(837.0, 787.0), (573.0, 903.0), (436.0, 619.0), (444.0, 428.0), (437.0, 601.0), (493.0, 970.0), (724.0, 631.0), (897.0, 324.0), (602.0, 68.0), (501.0, 287.0), (528.0, 794.0), (643.0, 404.0), (549.0, 329.0), (371.0, 429.0), (278.0, 434.0), (98.0, 711.0), (929.0, 389.0), (628.0, 311.0), (273.0, 105.0), (45.0, 549.0), (116.0, 69.0), (494.0, 898.0), (684.0, 273.0), (189.0, 739.0), (213.0, 639.0), (330.0, 410.0), (276.0, 666.0), (2.0, 897.0), (3.0, 517.0), (328.0, 489.0), (345.0, 560.0), (951.0, 209.0), (508.0, 31.0), (761.0, 772.0), (901.0, 639.0), (875.0, 407.0), (774.0, 130.0), (796.0, 310.0), (921.0, 964.0), (704.0, 995.0), (730.0, 742.0), (220.0, 307.0), (758.0, 405.0), (908.0, 534.0), (898.0, 898.0), (938.0, 646.0), (964.0, 726.0), (708.0, 99.0), (101.0, 482.0), (862.0, 361.0)]",17,21,20115.37164134273
"[(98.0, 711.0), (964.0, 726.0), (929.0, 389.0), (897.0, 324.0), (444.0, 428.0), (371.0, 429.0), (116.0, 69.0), (45.0, 549.0), (837.0, 787.0), (898.0, 898.0), (730.0, 742.0), (901.0, 639.0), (549.0, 329.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (602.0, 68.0), (628.0, 311.0), (951.0, 209.0), (862.0, 361.0), (758.0, 405.0), (908.0, 534.0), (276.0, 666.0), (938.0, 646.0), (724.0, 631.0), (328.0, 489.0), (684.0, 273.0), (3.0, 517.0), (437.0, 601.0), (573.0, 903.0), (643.0, 404.0), (345.0, 560.0), (278.0, 434.0), (493.0, 970.0), (704.0, 995.0), (921.0, 964.0), (494.0, 898.0), (875.0, 407.0), (273.0, 105.0), (501.0, 287.0), (189.0, 739.0), (796.0, 310.0), (2.0, 897.0), (330.0, 410.0), (220.0, 307.0), (101.0, 482.0), (761.0, 772.0), (213.0, 639.0), (436.0, 619.0), (528.0, 794.0)]",43,22,20173.00295230564
"[(724.0, 631.0), (761.0, 772.0), (528.0, 794.0), (796.0, 310.0), (684.0, 273.0), (708.0, 99.0), (508.0, 31.0), (774.0, 130.0), (921.0, 964.0), (704.0, 995.0), (901.0, 639.0), (964.0, 726.0), (602.0, 68.0), (444.0, 428.0), (3.0, 517.0), (220.0, 307.0), (116.0, 69.0), (758.0, 405.0), (328.0, 489.0), (436.0, 619.0), (897.0, 324.0), (875.0, 407.0), (929.0, 389.0), (273.0, 105.0), (189.0, 739.0), (2.0, 897.0), (45.0, 549.0), (101.0, 482.0), (951.0, 209.0), (371.0, 429.0), (330.0, 410.0), (898.0, 898.0), (437.0, 601.0), (213.0, 639.0), (549.0, 329.0), (573.0, 903.0), (938.0, 646.0), (837.0, 787.0), (494.0, 898.0), (345.0, 560.0), (501.0, 287.0), (493.0, 970.0), (730.0, 742.0), (98.0, 711.0), (643.0, 404.0), (862.0, 361.0), (628.0, 311.0), (278.0, 434.0), (908.0, 534.0), (276.0, 666.0)]",42,23,20220.822292582183
"[(494.0, 898.0), (276.0, 666.0), (328.0, 489.0), (98.0, 711.0), (938.0, 646.0), (964.0, 726.0), (929.0, 389.0), (897.0, 324.0), (708.0, 99.0), (704.0, 995.0), (724.0, 631.0), (758.0, 405.0), (951.0, 209.0), (774.0, 130.0), (220.0, 307.0), (3.0, 517.0), (345.0, 560.0), (213.0, 639.0), (573.0, 903.0), (921.0, 964.0), (796.0, 310.0), (898.0, 898.0), (761.0, 772.0), (549.0, 329.0), (862.0, 361.0), (436.0, 619.0), (837.0, 787.0), (908.0, 534.0), (643.0, 404.0), (875.0, 407.0), (628.0, 311.0), (116.0, 69.0), (273.0, 105.0), (684.0, 273.0), (330.0, 410.0), (437.0, 601.0), (501.0, 287.0), (901.0, 639.0), (730.0, 742.0), (189.0, 739.0), (45.0, 549.0), (371.0, 429.0), (508.0, 31.0), (528.0, 794.0), (101.0, 482.0), (278.0, 434.0), (493.0, 970.0), (602.0, 68.0), (444.0, 428.0), (2.0, 897.0)]",30,24,20240.955360320415
"[(273.0, 105.0), (45.0, 549.0), (116.0, 69.0), (494.0, 898.0), (684.0, 273.0), (189.0, 739.0), (213.0, 639.0), (330.0, 410.0), (276.0, 666.0), (2.0, 897.0), (3.0, 517.0), (328.0, 489.0), (437.0, 601.0), (573.0, 903.0), (643.0, 404.0), (345.0, 560.0), (278.0, 434.0), (493.0, 970.0), (704.0, 995.0), (921.0, 964.0), (875.0, 407.0), (929.0, 389.0), (761.0, 772.0), (528.0, 794.0), (549.0, 329.0), (602.0, 68.0), (220.0, 307.0), (444.0, 428.0), (708.0, 99.0), (508.0, 31.0), (964.0, 726.0), (862.0, 361.0), (436.0, 619.0), (628.0, 311.0), (796.0, 310.0), (98.0, 711.0), (371.0, 429.0), (901.0, 639.0), (908.0, 534.0), (724.0, 631.0), (951.0, 209.0), (101.0, 482.0), (758.0, 405.0), (897.0, 324.0), (898.0, 898.0), (938.0, 646.0), (730.0, 742.0), (837.0, 787.0), (501.0, 287.0), (774.0, 130.0)]",49,25,20254.51587766998
"[(3.0, 517.0), (328.0, 489.0), (345.0, 560.0), (220.0, 307.0), (938.0, 646.0), (704.0, 995.0), (921.0, 964.0), (436.0, 619.0), (278.0, 434.0), (98.0, 711.0), (528.0, 794.0), (573.0, 903.0), (45.0, 549.0), (371.0, 429.0), (213.0, 639.0), (276.0, 666.0), (101.0, 482.0), (437.0, 601.0), (2.0, 897.0), (875.0, 407.0), (964.0, 726.0), (684.0, 273.0), (189.0, 739.0), (508.0, 31.0), (444.0, 428.0), (951.0, 209.0), (898.0, 898.0), (837.0, 787.0), (628.0, 311.0), (862.0, 361.0), (330.0, 410.0), (501.0, 287.0), (116.0, 69.0), (758.0, 405.0), (549.0, 329.0), (908.0, 534.0), (494.0, 898.0), (493.0, 970.0), (724.0, 631.0), (901.0, 639.0), (708.0, 99.0), (273.0, 105.0), (602.0, 68.0), (897.0, 324.0), (774.0, 130.0), (796.0, 310.0), (643.0, 404.0), (730.0, 742.0), (929.0, 389.0), (761.0, 772.0)]",29,26,20268.826204919777
"[(862.0, 361.0), (758.0, 405.0), (908.0, 534.0), (276.0, 666.0), (898.0, 898.0), (837.0, 787.0), (761.0, 772.0), (897.0, 324.0), (371.0, 429.0), (98.0, 711.0), (938.0, 646.0), (730.0, 742.0), (494.0, 898.0), (493.0, 970.0), (724.0, 631.0), (901.0, 639.0), (708.0, 99.0), (273.0, 105.0), (602.0, 68.0), (774.0, 130.0), (796.0, 310.0), (643.0, 404.0), (875.0, 407.0), (549.0, 329.0), (929.0, 389.0), (2.0, 897.0), (573.0, 903.0), (189.0, 739.0), (45.0, 549.0), (508.0, 31.0), (101.0, 482.0), (213.0, 639.0), (220.0, 307.0), (330.0, 410.0), (116.0, 69.0), (328.0, 489.0), (345.0, 560.0), (921.0, 964.0), (684.0, 273.0), (628.0, 311.0), (436.0, 619.0), (964.0, 726.0), (951.0, 209.0), (278.0, 434.0), (704.0, 995.0), (437.0, 601.0), (528.0, 794.0), (444.0, 428.0), (3.0, 517.0), (501.0, 287.0)]",49,27,20277.257553462437
