pos,generation,rank,score,id
"[(98.0, 711.0), (493.0, 970.0), (704.0, 995.0), (901.0, 639.0), (837.0, 787.0), (730.0, 742.0), (724.0, 631.0), (528.0, 794.0), (573.0, 903.0), (921.0, 964.0), (964.0, 726.0), (951.0, 209.0), (508.0, 31.0), (116.0, 69.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (2.0, 897.0), (101.0, 482.0), (494.0, 898.0), (328.0, 489.0), (213.0, 639.0), (189.0, 739.0), (549.0, 329.0), (330.0, 410.0), (371.0, 429.0), (276.0, 666.0), (437.0, 601.0), (758.0, 405.0), (897.0, 324.0), (938.0, 646.0), (273.0, 105.0), (220.0, 307.0), (929.0, 389.0), (643.0, 404.0), (628.0, 311.0), (436.0, 619.0), (345.0, 560.0), (444.0, 428.0), (908.0, 534.0), (761.0, 772.0), (602.0, 68.0), (501.0, 287.0), (862.0, 361.0), (875.0, 407.0), (796.0, 310.0), (774.0, 130.0), (684.0, 273.0), (708.0, 99.0), (898.0, 898.0)]",197,1,16194.587072259072,11844
"[(761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (938.0, 646.0), (837.0, 787.0), (730.0, 742.0), (724.0, 631.0), (528.0, 794.0), (493.0, 970.0), (921.0, 964.0), (494.0, 898.0), (330.0, 410.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (220.0, 307.0), (276.0, 666.0), (2.0, 897.0), (98.0, 711.0), (573.0, 903.0), (964.0, 726.0), (908.0, 534.0), (862.0, 361.0), (684.0, 273.0), (508.0, 31.0), (602.0, 68.0), (437.0, 601.0), (444.0, 428.0), (101.0, 482.0), (549.0, 329.0), (901.0, 639.0), (758.0, 405.0), (371.0, 429.0), (213.0, 639.0), (643.0, 404.0), (774.0, 130.0), (328.0, 489.0), (116.0, 69.0), (501.0, 287.0), (345.0, 560.0), (875.0, 407.0), (951.0, 209.0), (628.0, 311.0), (189.0, 739.0), (436.0, 619.0), (796.0, 310.0), (897.0, 324.0), (929.0, 389.0), (708.0, 99.0), (273.0, 105.0)]",162,2,16389.933027032508,9750
"[(796.0, 310.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (2.0, 897.0), (437.0, 601.0), (371.0, 429.0), (220.0, 307.0), (276.0, 666.0), (213.0, 639.0), (328.0, 489.0), (330.0, 410.0), (938.0, 646.0), (951.0, 209.0), (774.0, 130.0), (730.0, 742.0), (708.0, 99.0), (897.0, 324.0), (908.0, 534.0), (724.0, 631.0), (758.0, 405.0), (573.0, 903.0), (875.0, 407.0), (898.0, 898.0), (964.0, 726.0), (704.0, 995.0), (436.0, 619.0), (493.0, 970.0), (837.0, 787.0), (761.0, 772.0), (921.0, 964.0), (929.0, 389.0), (684.0, 273.0), (501.0, 287.0), (549.0, 329.0), (273.0, 105.0), (189.0, 739.0), (98.0, 711.0), (345.0, 560.0), (101.0, 482.0), (528.0, 794.0), (494.0, 898.0), (628.0, 311.0), (862.0, 361.0), (643.0, 404.0), (901.0, 639.0), (444.0, 428.0)]",119,3,16403.98548002964,7134
"[(573.0, 903.0), (921.0, 964.0), (964.0, 726.0), (951.0, 209.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (98.0, 711.0), (220.0, 307.0), (371.0, 429.0), (276.0, 666.0), (2.0, 897.0), (101.0, 482.0), (494.0, 898.0), (328.0, 489.0), (213.0, 639.0), (189.0, 739.0), (628.0, 311.0), (643.0, 404.0), (724.0, 631.0), (837.0, 787.0), (684.0, 273.0), (549.0, 329.0), (774.0, 130.0), (897.0, 324.0), (862.0, 361.0), (929.0, 389.0), (528.0, 794.0), (938.0, 646.0), (875.0, 407.0), (908.0, 534.0), (898.0, 898.0), (796.0, 310.0), (704.0, 995.0), (758.0, 405.0), (730.0, 742.0), (273.0, 105.0), (901.0, 639.0), (493.0, 970.0), (761.0, 772.0), (437.0, 601.0), (330.0, 410.0), (501.0, 287.0), (444.0, 428.0), (436.0, 619.0), (345.0, 560.0)]",174,4,16590.477066799453,10450
"[(493.0, 970.0), (573.0, 903.0), (921.0, 964.0), (964.0, 726.0), (951.0, 209.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (98.0, 711.0), (2.0, 897.0), (101.0, 482.0), (494.0, 898.0), (328.0, 489.0), (213.0, 639.0), (189.0, 739.0), (444.0, 428.0), (862.0, 361.0), (273.0, 105.0), (501.0, 287.0), (796.0, 310.0), (908.0, 534.0), (938.0, 646.0), (549.0, 329.0), (330.0, 410.0), (371.0, 429.0), (220.0, 307.0), (724.0, 631.0), (901.0, 639.0), (758.0, 405.0), (345.0, 560.0), (761.0, 772.0), (276.0, 666.0), (730.0, 742.0), (437.0, 601.0), (436.0, 619.0), (897.0, 324.0), (837.0, 787.0), (898.0, 898.0), (684.0, 273.0), (628.0, 311.0), (704.0, 995.0), (528.0, 794.0), (875.0, 407.0), (643.0, 404.0), (774.0, 130.0), (929.0, 389.0)]",170,5,16690.0163016429,10220
"[(724.0, 631.0), (528.0, 794.0), (493.0, 970.0), (573.0, 903.0), (921.0, 964.0), (964.0, 726.0), (951.0, 209.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (220.0, 307.0), (371.0, 429.0), (276.0, 666.0), (98.0, 711.0), (2.0, 897.0), (101.0, 482.0), (494.0, 898.0), (328.0, 489.0), (213.0, 639.0), (189.0, 739.0), (684.0, 273.0), (437.0, 601.0), (796.0, 310.0), (501.0, 287.0), (837.0, 787.0), (758.0, 405.0), (897.0, 324.0), (929.0, 389.0), (862.0, 361.0), (730.0, 742.0), (875.0, 407.0), (908.0, 534.0), (901.0, 639.0), (436.0, 619.0), (444.0, 428.0), (938.0, 646.0), (345.0, 560.0), (330.0, 410.0), (774.0, 130.0), (643.0, 404.0), (549.0, 329.0), (898.0, 898.0), (761.0, 772.0), (273.0, 105.0), (628.0, 311.0), (704.0, 995.0)]",179,6,16756.27497417692,10741
"[(2.0, 897.0), (98.0, 711.0), (493.0, 970.0), (704.0, 995.0), (901.0, 639.0), (837.0, 787.0), (730.0, 742.0), (724.0, 631.0), (528.0, 794.0), (573.0, 903.0), (921.0, 964.0), (964.0, 726.0), (708.0, 99.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (437.0, 601.0), (761.0, 772.0), (898.0, 898.0), (938.0, 646.0), (897.0, 324.0), (345.0, 560.0), (436.0, 619.0), (444.0, 428.0), (908.0, 534.0), (684.0, 273.0), (628.0, 311.0), (929.0, 389.0), (276.0, 666.0), (862.0, 361.0), (371.0, 429.0), (501.0, 287.0), (774.0, 130.0), (273.0, 105.0), (101.0, 482.0), (494.0, 898.0), (330.0, 410.0), (796.0, 310.0), (758.0, 405.0), (220.0, 307.0), (328.0, 489.0), (951.0, 209.0), (875.0, 407.0), (643.0, 404.0), (549.0, 329.0), (213.0, 639.0), (189.0, 739.0)]",159,7,16855.65822436488,9544
"[(875.0, 407.0), (761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (938.0, 646.0), (837.0, 787.0), (730.0, 742.0), (724.0, 631.0), (528.0, 794.0), (493.0, 970.0), (573.0, 903.0), (921.0, 964.0), (964.0, 726.0), (951.0, 209.0), (708.0, 99.0), (437.0, 601.0), (330.0, 410.0), (901.0, 639.0), (908.0, 534.0), (643.0, 404.0), (929.0, 389.0), (862.0, 361.0), (758.0, 405.0), (897.0, 324.0), (3.0, 517.0), (501.0, 287.0), (98.0, 711.0), (189.0, 739.0), (345.0, 560.0), (602.0, 68.0), (508.0, 31.0), (273.0, 105.0), (45.0, 549.0), (101.0, 482.0), (684.0, 273.0), (220.0, 307.0), (213.0, 639.0), (116.0, 69.0), (278.0, 434.0), (774.0, 130.0), (444.0, 428.0), (2.0, 897.0), (276.0, 666.0), (494.0, 898.0), (549.0, 329.0), (371.0, 429.0), (628.0, 311.0), (796.0, 310.0), (328.0, 489.0), (436.0, 619.0)]",135,8,16991.49309450482,8104
"[(273.0, 105.0), (758.0, 405.0), (549.0, 329.0), (371.0, 429.0), (213.0, 639.0), (328.0, 489.0), (436.0, 619.0), (724.0, 631.0), (938.0, 646.0), (761.0, 772.0), (875.0, 407.0), (897.0, 324.0), (796.0, 310.0), (602.0, 68.0), (508.0, 31.0), (116.0, 69.0), (278.0, 434.0), (3.0, 517.0), (45.0, 549.0), (220.0, 307.0), (276.0, 666.0), (2.0, 897.0), (98.0, 711.0), (493.0, 970.0), (704.0, 995.0), (901.0, 639.0), (528.0, 794.0), (189.0, 739.0), (837.0, 787.0), (494.0, 898.0), (862.0, 361.0), (774.0, 130.0), (708.0, 99.0), (684.0, 273.0), (444.0, 428.0), (643.0, 404.0), (101.0, 482.0), (330.0, 410.0), (437.0, 601.0), (964.0, 726.0), (730.0, 742.0), (898.0, 898.0), (908.0, 534.0), (628.0, 311.0), (345.0, 560.0), (929.0, 389.0), (501.0, 287.0), (951.0, 209.0), (573.0, 903.0), (921.0, 964.0)]",105,9,17006.168851867373,6297
"[(2.0, 897.0), (98.0, 711.0), (493.0, 970.0), (704.0, 995.0), (901.0, 639.0), (837.0, 787.0), (730.0, 742.0), (724.0, 631.0), (528.0, 794.0), (573.0, 903.0), (921.0, 964.0), (964.0, 726.0), (908.0, 534.0), (862.0, 361.0), (684.0, 273.0), (508.0, 31.0), (602.0, 68.0), (437.0, 601.0), (444.0, 428.0), (101.0, 482.0), (549.0, 329.0), (875.0, 407.0), (189.0, 739.0), (276.0, 666.0), (898.0, 898.0), (494.0, 898.0), (761.0, 772.0), (774.0, 130.0), (897.0, 324.0), (116.0, 69.0), (278.0, 434.0), (796.0, 310.0), (951.0, 209.0), (938.0, 646.0), (758.0, 405.0), (436.0, 619.0), (643.0, 404.0), (628.0, 311.0), (501.0, 287.0), (3.0, 517.0), (330.0, 410.0), (213.0, 639.0), (45.0, 549.0), (220.0, 307.0), (345.0, 560.0), (708.0, 99.0), (929.0, 389.0), (273.0, 105.0), (328.0, 489.0), (371.0, 429.0)]",177,10,17051.2044208679,10623
