pos,generation,rank,score,id
"[(761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (345.0, 560.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (276.0, 666.0), (2.0, 897.0), (213.0, 639.0), (45.0, 549.0), (189.0, 739.0), (493.0, 970.0), (921.0, 964.0), (964.0, 726.0), (901.0, 639.0), (796.0, 310.0), (328.0, 489.0), (929.0, 389.0), (708.0, 99.0), (508.0, 31.0), (730.0, 742.0), (444.0, 428.0), (436.0, 619.0), (220.0, 307.0), (875.0, 407.0), (724.0, 631.0), (628.0, 311.0), (501.0, 287.0), (643.0, 404.0), (528.0, 794.0), (897.0, 324.0), (278.0, 434.0), (371.0, 429.0), (837.0, 787.0), (549.0, 329.0), (273.0, 105.0), (116.0, 69.0), (684.0, 273.0), (938.0, 646.0), (908.0, 534.0), (862.0, 361.0), (758.0, 405.0), (951.0, 209.0), (774.0, 130.0), (602.0, 68.0), (330.0, 410.0), (437.0, 601.0)]",196,1,16154.310968562946,11748
"[(643.0, 404.0), (684.0, 273.0), (774.0, 130.0), (929.0, 389.0), (573.0, 903.0), (898.0, 898.0), (921.0, 964.0), (528.0, 794.0), (862.0, 361.0), (951.0, 209.0), (708.0, 99.0), (273.0, 105.0), (330.0, 410.0), (3.0, 517.0), (345.0, 560.0), (101.0, 482.0), (98.0, 711.0), (276.0, 666.0), (2.0, 897.0), (213.0, 639.0), (116.0, 69.0), (278.0, 434.0), (45.0, 549.0), (189.0, 739.0), (328.0, 489.0), (444.0, 428.0), (796.0, 310.0), (494.0, 898.0), (437.0, 601.0), (761.0, 772.0), (493.0, 970.0), (704.0, 995.0), (730.0, 742.0), (758.0, 405.0), (964.0, 726.0), (628.0, 311.0), (602.0, 68.0), (371.0, 429.0), (220.0, 307.0), (901.0, 639.0), (837.0, 787.0), (897.0, 324.0), (938.0, 646.0), (436.0, 619.0), (724.0, 631.0), (908.0, 534.0), (875.0, 407.0), (549.0, 329.0), (508.0, 31.0), (501.0, 287.0)]",166,2,16473.147126784086,9963
"[(189.0, 739.0), (493.0, 970.0), (921.0, 964.0), (964.0, 726.0), (901.0, 639.0), (761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (643.0, 404.0), (436.0, 619.0), (345.0, 560.0), (101.0, 482.0), (98.0, 711.0), (276.0, 666.0), (2.0, 897.0), (213.0, 639.0), (116.0, 69.0), (437.0, 601.0), (528.0, 794.0), (730.0, 742.0), (628.0, 311.0), (708.0, 99.0), (273.0, 105.0), (330.0, 410.0), (796.0, 310.0), (908.0, 534.0), (508.0, 31.0), (602.0, 68.0), (837.0, 787.0), (951.0, 209.0), (758.0, 405.0), (3.0, 517.0), (45.0, 549.0), (278.0, 434.0), (220.0, 307.0), (875.0, 407.0), (684.0, 273.0), (929.0, 389.0), (897.0, 324.0), (724.0, 631.0), (938.0, 646.0), (371.0, 429.0), (328.0, 489.0), (774.0, 130.0), (444.0, 428.0), (862.0, 361.0), (501.0, 287.0), (549.0, 329.0)]",157,3,16610.35276853621,9429
"[(189.0, 739.0), (493.0, 970.0), (921.0, 964.0), (964.0, 726.0), (901.0, 639.0), (761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (643.0, 404.0), (436.0, 619.0), (330.0, 410.0), (3.0, 517.0), (345.0, 560.0), (101.0, 482.0), (98.0, 711.0), (276.0, 666.0), (2.0, 897.0), (213.0, 639.0), (116.0, 69.0), (278.0, 434.0), (45.0, 549.0), (501.0, 287.0), (708.0, 99.0), (220.0, 307.0), (875.0, 407.0), (796.0, 310.0), (837.0, 787.0), (908.0, 534.0), (938.0, 646.0), (444.0, 428.0), (528.0, 794.0), (273.0, 105.0), (730.0, 742.0), (724.0, 631.0), (602.0, 68.0), (371.0, 429.0), (774.0, 130.0), (862.0, 361.0), (929.0, 389.0), (897.0, 324.0), (437.0, 601.0), (328.0, 489.0), (508.0, 31.0), (684.0, 273.0), (758.0, 405.0), (951.0, 209.0), (628.0, 311.0), (549.0, 329.0)]",116,4,16715.021330717453,6974
"[(189.0, 739.0), (493.0, 970.0), (921.0, 964.0), (964.0, 726.0), (901.0, 639.0), (761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (643.0, 404.0), (345.0, 560.0), (528.0, 794.0), (862.0, 361.0), (951.0, 209.0), (708.0, 99.0), (273.0, 105.0), (330.0, 410.0), (3.0, 517.0), (101.0, 482.0), (98.0, 711.0), (45.0, 549.0), (2.0, 897.0), (371.0, 429.0), (276.0, 666.0), (437.0, 601.0), (213.0, 639.0), (549.0, 329.0), (730.0, 742.0), (938.0, 646.0), (758.0, 405.0), (897.0, 324.0), (328.0, 489.0), (278.0, 434.0), (875.0, 407.0), (508.0, 31.0), (774.0, 130.0), (929.0, 389.0), (602.0, 68.0), (436.0, 619.0), (837.0, 787.0), (908.0, 534.0), (684.0, 273.0), (724.0, 631.0), (444.0, 428.0), (628.0, 311.0), (796.0, 310.0), (220.0, 307.0), (501.0, 287.0), (116.0, 69.0)]",193,5,16799.6979887342,11576
"[(45.0, 549.0), (189.0, 739.0), (493.0, 970.0), (921.0, 964.0), (964.0, 726.0), (901.0, 639.0), (761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (643.0, 404.0), (345.0, 560.0), (101.0, 482.0), (98.0, 711.0), (276.0, 666.0), (2.0, 897.0), (213.0, 639.0), (116.0, 69.0), (278.0, 434.0), (875.0, 407.0), (862.0, 361.0), (938.0, 646.0), (436.0, 619.0), (528.0, 794.0), (929.0, 389.0), (724.0, 631.0), (371.0, 429.0), (273.0, 105.0), (602.0, 68.0), (437.0, 601.0), (730.0, 742.0), (220.0, 307.0), (3.0, 517.0), (328.0, 489.0), (444.0, 428.0), (897.0, 324.0), (908.0, 534.0), (330.0, 410.0), (774.0, 130.0), (501.0, 287.0), (508.0, 31.0), (549.0, 329.0), (837.0, 787.0), (684.0, 273.0), (708.0, 99.0), (628.0, 311.0), (796.0, 310.0), (951.0, 209.0), (758.0, 405.0)]",123,6,16902.38887784435,7402
"[(45.0, 549.0), (189.0, 739.0), (493.0, 970.0), (921.0, 964.0), (964.0, 726.0), (901.0, 639.0), (796.0, 310.0), (929.0, 389.0), (862.0, 361.0), (708.0, 99.0), (444.0, 428.0), (436.0, 619.0), (628.0, 311.0), (758.0, 405.0), (908.0, 534.0), (761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (345.0, 560.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (437.0, 601.0), (724.0, 631.0), (276.0, 666.0), (602.0, 68.0), (897.0, 324.0), (643.0, 404.0), (951.0, 209.0), (328.0, 489.0), (116.0, 69.0), (273.0, 105.0), (684.0, 273.0), (371.0, 429.0), (2.0, 897.0), (528.0, 794.0), (774.0, 130.0), (213.0, 639.0), (220.0, 307.0), (875.0, 407.0), (837.0, 787.0), (730.0, 742.0), (938.0, 646.0), (549.0, 329.0), (330.0, 410.0), (278.0, 434.0), (508.0, 31.0), (501.0, 287.0)]",195,7,16997.399206063285,11690
"[(761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (643.0, 404.0), (436.0, 619.0), (330.0, 410.0), (3.0, 517.0), (345.0, 560.0), (101.0, 482.0), (98.0, 711.0), (276.0, 666.0), (2.0, 897.0), (213.0, 639.0), (116.0, 69.0), (278.0, 434.0), (45.0, 549.0), (189.0, 739.0), (493.0, 970.0), (921.0, 964.0), (964.0, 726.0), (901.0, 639.0), (437.0, 601.0), (684.0, 273.0), (862.0, 361.0), (501.0, 287.0), (758.0, 405.0), (508.0, 31.0), (951.0, 209.0), (708.0, 99.0), (938.0, 646.0), (908.0, 534.0), (444.0, 428.0), (549.0, 329.0), (528.0, 794.0), (730.0, 742.0), (220.0, 307.0), (724.0, 631.0), (875.0, 407.0), (897.0, 324.0), (774.0, 130.0), (796.0, 310.0), (837.0, 787.0), (371.0, 429.0), (328.0, 489.0), (628.0, 311.0), (929.0, 389.0), (273.0, 105.0), (602.0, 68.0)]",189,8,17061.273148294287,11374
"[(45.0, 549.0), (189.0, 739.0), (493.0, 970.0), (921.0, 964.0), (964.0, 726.0), (901.0, 639.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (643.0, 404.0), (436.0, 619.0), (345.0, 560.0), (101.0, 482.0), (98.0, 711.0), (276.0, 666.0), (2.0, 897.0), (213.0, 639.0), (116.0, 69.0), (278.0, 434.0), (371.0, 429.0), (929.0, 389.0), (875.0, 407.0), (437.0, 601.0), (508.0, 31.0), (3.0, 517.0), (724.0, 631.0), (908.0, 534.0), (796.0, 310.0), (328.0, 489.0), (444.0, 428.0), (528.0, 794.0), (730.0, 742.0), (501.0, 287.0), (774.0, 130.0), (761.0, 772.0), (938.0, 646.0), (862.0, 361.0), (897.0, 324.0), (684.0, 273.0), (602.0, 68.0), (220.0, 307.0), (628.0, 311.0), (549.0, 329.0), (273.0, 105.0), (330.0, 410.0), (837.0, 787.0), (951.0, 209.0), (758.0, 405.0), (708.0, 99.0)]",156,9,17091.358123767957,9376
"[(328.0, 489.0), (929.0, 389.0), (774.0, 130.0), (602.0, 68.0), (628.0, 311.0), (758.0, 405.0), (908.0, 534.0), (761.0, 772.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (573.0, 903.0), (345.0, 560.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (276.0, 666.0), (2.0, 897.0), (213.0, 639.0), (116.0, 69.0), (278.0, 434.0), (45.0, 549.0), (189.0, 739.0), (493.0, 970.0), (643.0, 404.0), (444.0, 428.0), (938.0, 646.0), (964.0, 726.0), (437.0, 601.0), (436.0, 619.0), (371.0, 429.0), (730.0, 742.0), (220.0, 307.0), (837.0, 787.0), (921.0, 964.0), (684.0, 273.0), (897.0, 324.0), (549.0, 329.0), (508.0, 31.0), (273.0, 105.0), (901.0, 639.0), (875.0, 407.0), (330.0, 410.0), (862.0, 361.0), (951.0, 209.0), (708.0, 99.0), (796.0, 310.0), (528.0, 794.0), (501.0, 287.0), (724.0, 631.0)]",174,10,17261.62227639044,10458
